name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar2_scheduler_CosineAnnealingLR,1,4.0583,0.0716,4.0282,0.0787,4.2008,0.0560,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,2,3.7810,0.1136,3.7532,0.1167,3.9328,0.0884,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,3,3.7326,0.1216,3.6616,0.1315,3.7949,0.1131,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,4,3.7586,0.1248,3.6689,0.1431,3.7070,0.1297,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,5,3.6206,0.1556,3.6078,0.1515,3.6669,0.1388,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,6,3.7480,0.1388,3.6504,0.1558,3.6289,0.1407,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,7,3.5535,0.1626,3.5138,0.1734,3.5871,0.1524,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,8,3.5712,0.1552,3.4846,0.1703,3.5659,0.1589,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,9,3.4907,0.1732,3.4090,0.1897,3.5303,0.1634,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,10,3.5502,0.1582,3.4447,0.1880,3.5034,0.1699,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,11,3.5164,0.1706,3.3920,0.1964,3.4883,0.1737,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,12,3.5484,0.1698,3.4820,0.1854,3.4454,0.1814,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,13,3.4118,0.1936,3.3541,0.2043,3.4462,0.1808,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,14,3.5565,0.1774,3.5076,0.1916,3.3939,0.1933,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,15,3.4522,0.1838,3.3286,0.2068,3.4088,0.1920,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,16,3.4721,0.1824,3.3495,0.2070,3.3856,0.1963,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,17,3.4872,0.1772,3.3549,0.2021,3.3766,0.1966,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,18,3.4681,0.2024,3.4593,0.2172,3.3596,0.2017,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,19,3.3246,0.2102,3.2466,0.2337,3.3227,0.2068,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,20,3.2980,0.2196,3.2380,0.2424,3.3090,0.2107,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,21,3.3311,0.2142,3.2746,0.2388,3.2738,0.2137,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,22,3.3603,0.2120,3.2493,0.2341,3.2656,0.2195,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,23,3.3474,0.2090,3.2230,0.2375,3.2409,0.2214,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,24,3.2663,0.2336,3.1754,0.2531,3.2299,0.2236,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,25,3.2372,0.2238,3.1522,0.2507,3.2141,0.2261,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,26,3.2223,0.2262,3.1029,0.2645,3.1833,0.2318,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,27,3.2479,0.2286,3.1923,0.2534,3.1643,0.2381,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,28,3.2323,0.2324,3.1058,0.2620,3.1631,0.2414,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,29,3.1708,0.2444,3.1004,0.2703,3.1186,0.2464,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,30,3.2716,0.2244,3.1552,0.2602,3.0860,0.2535,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,31,3.2010,0.2330,3.0931,0.2695,3.0595,0.2550,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,32,3.1101,0.2472,2.9761,0.2777,3.0374,0.2639,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,33,3.1544,0.2528,3.0240,0.2770,3.0105,0.2668,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,34,3.1218,0.2560,2.9998,0.2794,2.9873,0.2708,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,35,3.0675,0.2686,2.9513,0.2956,2.9596,0.2752,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,36,3.0775,0.2768,3.0260,0.2897,2.9345,0.2841,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,37,3.0235,0.2760,2.9413,0.2997,2.8892,0.2914,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,38,3.1112,0.2558,2.9626,0.2969,2.8796,0.2938,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,39,2.9832,0.2808,2.8980,0.3018,2.8521,0.2996,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,40,3.0038,0.2834,2.9186,0.3105,2.8146,0.3046,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingLR,41,2.9785,0.2896,2.8665,0.3169,2.7959,0.3066,-1.0000,-1.0000
