name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar2_scheduler_CosineAnnealingWarmRestarts,1,4.0731,0.0762,3.9924,0.0910,4.1692,0.0566,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,2,3.7956,0.1140,3.7557,0.1193,3.9111,0.0959,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,3,3.6314,0.1288,3.5667,0.1490,3.7096,0.1252,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,4,3.5020,0.1630,3.4573,0.1782,3.5580,0.1551,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,5,3.3994,0.2016,3.3150,0.2012,3.3706,0.1847,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,6,3.1190,0.2402,3.0154,0.2520,3.1717,0.2235,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,7,3.0079,0.2604,2.9083,0.2826,2.9600,0.2608,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,8,2.7625,0.3092,2.6914,0.3259,2.7318,0.3068,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,9,2.6536,0.3264,2.5751,0.3467,2.5290,0.3456,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,10,2.5883,0.3436,2.4905,0.3693,2.3866,0.3767,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,11,3.4337,0.1966,3.3789,0.1977,3.4424,0.1805,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,12,3.5257,0.1646,3.4191,0.1913,3.4992,0.1729,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,13,3.4936,0.1850,3.3964,0.2046,3.4845,0.1765,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,14,3.5169,0.1764,3.3971,0.1971,3.4160,0.1907,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,15,3.4620,0.1940,3.3881,0.2070,3.3775,0.1960,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,16,3.3325,0.2156,3.2317,0.2359,3.2826,0.2118,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,17,3.2008,0.2392,3.0751,0.2696,3.2269,0.2217,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,18,3.2144,0.2332,3.1162,0.2513,3.1236,0.2416,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,19,3.0510,0.2672,2.9604,0.2862,3.0184,0.2572,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,20,2.9783,0.2742,2.8866,0.2948,2.8958,0.2794,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,21,2.8973,0.2998,2.7747,0.3182,2.7707,0.3038,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,22,2.8083,0.3120,2.7078,0.3330,2.6498,0.3268,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,23,2.7376,0.3188,2.6528,0.3450,2.5168,0.3532,-1.0000,-1.0000
cifar2_scheduler_CosineAnnealingWarmRestarts,24,2.6110,0.3466,2.4816,0.3842,2.3970,0.3775,-1.0000,-1.0000
