name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar2_scheduler_OneCycleLR,1,3.9663,0.0840,3.9566,0.0829,4.3184,0.0478,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,2,3.6105,0.1392,3.5675,0.1534,3.8044,0.1112,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,3,3.3614,0.1866,3.3197,0.1977,3.4835,0.1646,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,4,3.0965,0.2274,3.0194,0.2496,3.2369,0.2087,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,5,3.0299,0.2548,2.8835,0.2860,3.0208,0.2447,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,6,2.8727,0.2766,2.7843,0.3022,2.8967,0.2729,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,7,2.7810,0.3024,2.6292,0.3305,2.7848,0.2953,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,8,2.7298,0.3112,2.6167,0.3282,2.7032,0.3117,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,9,2.7158,0.3220,2.5634,0.3489,2.6606,0.3218,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,10,2.7129,0.3164,2.5957,0.3447,2.6390,0.3246,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,11,2.6925,0.3310,2.5482,0.3592,2.6187,0.3366,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,12,2.8237,0.2970,2.6851,0.3348,2.6286,0.3317,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,13,2.7557,0.3166,2.5931,0.3463,2.6067,0.3389,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,14,2.8359,0.3102,2.7258,0.3372,2.6057,0.3417,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,15,2.8202,0.3142,2.6366,0.3485,2.6143,0.3368,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,16,2.7921,0.3202,2.6316,0.3506,2.6297,0.3385,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,17,2.7877,0.3180,2.6398,0.3475,2.6469,0.3349,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,18,2.7897,0.3202,2.6591,0.3521,2.6823,0.3265,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,19,2.8640,0.3112,2.7087,0.3453,2.6687,0.3335,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,20,2.8230,0.3130,2.7064,0.3396,2.6937,0.3290,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,21,2.8779,0.3024,2.7270,0.3408,2.7168,0.3271,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,22,2.9369,0.2980,2.8106,0.3208,2.7227,0.3275,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,23,2.9492,0.2908,2.8061,0.3259,2.7322,0.3229,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,24,2.8918,0.3064,2.7745,0.3407,2.7417,0.3212,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,25,2.9603,0.2874,2.7675,0.3365,2.7498,0.3200,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,26,2.9752,0.2832,2.7816,0.3257,2.7408,0.3241,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,27,3.0060,0.2838,2.8367,0.3181,2.7504,0.3240,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,28,3.0097,0.2854,2.8070,0.3190,2.7549,0.3227,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,29,2.9815,0.3156,2.8039,0.3456,2.7629,0.3222,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,30,2.9270,0.2970,2.7876,0.3348,2.7338,0.3284,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,31,2.9909,0.2980,2.9123,0.3319,2.7287,0.3279,-1.0000,-1.0000
cifar2_scheduler_OneCycleLR,32,2.8808,0.3164,2.7095,0.3597,2.7392,0.3288,-1.0000,-1.0000
