name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,1,3.9682,0.0846,3.9590,0.0792,4.1933,0.0532,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,2,3.7699,0.1116,3.7205,0.1329,3.9377,0.0891,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,3,3.7016,0.1352,3.6125,0.1545,3.7889,0.1153,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,4,3.6188,0.1488,3.5638,0.1563,3.6978,0.1317,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,5,3.6370,0.1416,3.5927,0.1539,3.6468,0.1421,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,6,3.5972,0.1464,3.5003,0.1698,3.5854,0.1514,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,7,3.5708,0.1596,3.4521,0.1737,3.5423,0.1617,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,8,3.5635,0.1638,3.4670,0.1844,3.5252,0.1619,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,9,3.4453,0.1840,3.3949,0.1986,3.4833,0.1733,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,10,3.4569,0.1850,3.3949,0.2016,3.4589,0.1772,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,11,3.4769,0.1730,3.3754,0.1986,3.4389,0.1824,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,12,3.4641,0.1870,3.3745,0.1979,3.4091,0.1886,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,13,3.4323,0.1826,3.3719,0.1983,3.3677,0.1964,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,14,3.3078,0.2096,3.2696,0.2273,3.3226,0.2042,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,15,3.3236,0.2128,3.2053,0.2346,3.2573,0.2147,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,16,3.2681,0.2318,3.1655,0.2452,3.2069,0.2227,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,17,3.2383,0.2348,3.1536,0.2549,3.1684,0.2312,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,18,3.1711,0.2432,3.0888,0.2631,3.1086,0.2415,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,19,3.1502,0.2452,3.0601,0.2651,3.0606,0.2529,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,20,3.1414,0.2418,3.0301,0.2751,3.0000,0.2652,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,21,3.0546,0.2576,2.9417,0.2832,2.9504,0.2720,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,22,3.0223,0.2644,2.9442,0.2897,2.8998,0.2824,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,23,2.9526,0.2826,2.8556,0.3068,2.8250,0.2989,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,24,2.9317,0.2868,2.8119,0.3159,2.7577,0.3072,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,25,2.8846,0.2980,2.7685,0.3229,2.6945,0.3212,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,26,2.8061,0.3018,2.6876,0.3425,2.6426,0.3321,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,27,2.7299,0.3284,2.6420,0.3479,2.5626,0.3470,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,28,2.7490,0.3124,2.6599,0.3477,2.4939,0.3607,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,29,2.7029,0.3398,2.5892,0.3695,2.4331,0.3739,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,30,2.6631,0.3516,2.5505,0.3738,2.3644,0.3876,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,31,2.5981,0.3576,2.4955,0.3849,2.2891,0.4064,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,32,2.6070,0.3600,2.4739,0.3945,2.2268,0.4140,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,33,2.5401,0.3744,2.4456,0.3956,2.1546,0.4288,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,34,2.4774,0.3870,2.3841,0.4073,2.0969,0.4441,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,35,2.4763,0.3820,2.3568,0.4147,2.0147,0.4594,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,36,2.4513,0.3870,2.2896,0.4326,1.9504,0.4726,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,37,2.4173,0.4090,2.3040,0.4281,1.8851,0.4892,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,38,2.3928,0.4102,2.3026,0.4372,1.8268,0.4996,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,39,2.3733,0.4174,2.2524,0.4448,1.7749,0.5114,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,40,2.3119,0.4318,2.2175,0.4512,1.7138,0.5279,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingWarmRestarts,41,2.2877,0.4358,2.2071,0.4599,1.6636,0.5376,-1.0000,-1.0000
