round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
1,4.6043,0.0092,4.6039,0.0127,4.6042,0.0116
2,4.6016,0.0096,4.6010,0.0130,4.6016,0.0119
3,4.5978,0.0120,4.5965,0.0143,4.5978,0.0132
4,4.5923,0.0154,4.5892,0.0163,4.5920,0.0151
5,4.5813,0.0178,4.5765,0.0198,4.5815,0.0176
6,4.5590,0.0270,4.5533,0.0240,4.5587,0.0260
7,4.5191,0.0312,4.5157,0.0299,4.5195,0.0290
8,4.4614,0.0364,4.4592,0.0363,4.4612,0.0366
9,4.4012,0.0450,4.3894,0.0461,4.3922,0.0430
10,4.3168,0.0612,4.3058,0.0537,4.3125,0.0564
11,4.2309,0.0630,4.2139,0.0632,4.2247,0.0620
12,4.1621,0.0744,4.1416,0.0750,4.1604,0.0679
13,4.1276,0.0704,4.0944,0.0782,4.1172,0.0741
14,4.0928,0.0786,4.0648,0.0816,4.0849,0.0798
15,4.0721,0.0842,4.0401,0.0859,4.0666,0.0808
16,4.0630,0.0880,4.0238,0.0897,4.0471,0.0853
17,4.0340,0.0886,4.0060,0.0922,4.0294,0.0865
18,4.0280,0.0886,3.9844,0.0974,4.0148,0.0895
19,4.0058,0.0916,3.9754,0.0978,3.9934,0.0926
20,4.0007,0.0968,3.9518,0.1064,3.9759,0.0984
21,3.9918,0.0998,3.9418,0.1081,3.9686,0.0991
22,3.9971,0.0978,3.9302,0.1102,3.9578,0.1016
23,3.9667,0.1070,3.9330,0.1145,3.9506,0.1057
24,3.9578,0.1096,3.9032,0.1159,3.9345,0.1090
25,3.9519,0.1070,3.8990,0.1213,3.9289,0.1117
26,3.9390,0.1164,3.8897,0.1232,3.9161,0.1135
27,3.9400,0.1068,3.8875,0.1244,3.9069,0.1152
28,3.9223,0.1120,3.8664,0.1294,3.8940,0.1185
29,3.9191,0.1160,3.8510,0.1313,3.8763,0.1231
30,3.8987,0.1202,3.8530,0.1310,3.8591,0.1232
31,3.9006,0.1274,3.8415,0.1351,3.8518,0.1282
32,3.8669,0.1248,3.8302,0.1395,3.8385,0.1298
33,3.8543,0.1294,3.8089,0.1421,3.8111,0.1340
34,3.8440,0.1372,3.8153,0.1433,3.8127,0.1356
35,3.8324,0.1330,3.8072,0.1443,3.8028,0.1363
