round,val_loss,val_acc,test_loss,test_acc
1,4.6039,0.0148,4.6037,0.0145
2,4.6003,0.0186,4.6005,0.0162
3,4.5952,0.0180,4.5955,0.0191
4,4.5867,0.0174,4.5873,0.0174
5,4.5714,0.0254,4.5720,0.0264
6,4.5438,0.0244,4.5463,0.0211
7,4.5051,0.0232,4.5048,0.0235
8,4.4458,0.0288,4.4446,0.0295
9,4.3603,0.0438,4.3587,0.0417
10,4.2589,0.0496,4.2561,0.0509
11,4.1796,0.0634,4.1648,0.0624
12,4.1171,0.0708,4.0998,0.0706
13,4.0969,0.0698,4.0765,0.0780
14,4.0668,0.0764,4.0567,0.0771
15,4.0418,0.0846,4.0325,0.0864
16,4.0439,0.0874,4.0228,0.0882
17,4.0122,0.0870,3.9969,0.0918
18,3.9863,0.0876,3.9817,0.0874
19,3.9828,0.0806,3.9641,0.0931
20,3.9495,0.0958,3.9375,0.1019
21,3.9515,0.0964,3.9222,0.1031
22,3.9356,0.0966,3.9166,0.1038
23,3.9095,0.1128,3.8829,0.1148
24,3.8794,0.1122,3.8623,0.1140
25,3.8564,0.1110,3.8508,0.1137
26,3.8381,0.1220,3.8161,0.1195
27,3.8358,0.1156,3.8097,0.1245
28,3.8219,0.1172,3.8038,0.1247
29,3.7863,0.1252,3.7605,0.1309
30,3.7754,0.1284,3.7557,0.1293
31,3.7589,0.1306,3.7452,0.1287
32,3.7317,0.1330,3.7220,0.1356
33,3.7116,0.1380,3.6884,0.1456
34,3.7007,0.1412,3.6889,0.1400
35,3.6925,0.1416,3.6691,0.1457
31,3.7642,0.1336,3.7253,0.1317
32,3.7337,0.1406,3.7224,0.1378
33,3.7176,0.1350,3.6881,0.1439
34,3.7176,0.1372,3.6886,0.1495
35,3.6863,0.1412,3.6607,0.1452
36,3.6797,0.1446,3.6642,0.1497
37,3.6674,0.1506,3.6456,0.1523
38,3.6464,0.1468,3.6241,0.1563
39,3.6436,0.1524,3.6167,0.1568
40,3.6260,0.1520,3.5917,0.1594
41,3.6203,0.1528,3.5978,0.1602
42,3.5948,0.1590,3.5873,0.1616
43,3.5926,0.1578,3.5605,0.1645
44,3.5775,0.1614,3.5562,0.1647
45,3.5628,0.1600,3.5431,0.1680
46,3.5586,0.1594,3.5382,0.1670
47,3.5297,0.1724,3.5194,0.1690
48,3.5677,0.1622,3.5320,0.1728
49,3.5043,0.1776,3.4806,0.1832
50,3.4886,0.1754,3.4675,0.1793
51,3.4901,0.1750,3.4627,0.1812
52,3.5156,0.1654,3.4762,0.1783
53,3.4807,0.1804,3.4477,0.1861
54,3.4599,0.1834,3.4397,0.1902
