round,val_loss,val_acc,test_loss,test_acc
1,4.6035,0.0100,4.6035,0.0087
2,4.5997,0.0122,4.6000,0.0102
3,4.5936,0.0178,4.5942,0.0188
4,4.5831,0.0168,4.5839,0.0164
5,4.5639,0.0172,4.5651,0.0147
6,4.5311,0.0202,4.5338,0.0190
7,4.4750,0.0320,4.4789,0.0328
8,4.4014,0.0374,4.4082,0.0371
9,4.3151,0.0510,4.3205,0.0510
10,4.2156,0.0636,4.2217,0.0631
11,4.1576,0.0716,4.1494,0.0690
12,4.1094,0.0814,4.1091,0.0769
13,4.0894,0.0788,4.0773,0.0829
14,4.0629,0.0808,4.0539,0.0840
15,4.0423,0.0902,4.0388,0.0908
16,4.0287,0.0886,4.0196,0.0935
17,4.0047,0.0950,3.9909,0.0973
18,3.9925,0.0986,3.9776,0.0996
19,3.9851,0.0982,3.9531,0.1044
20,3.9647,0.1040,3.9482,0.1058
21,3.9658,0.1082,3.9384,0.1094
22,3.9432,0.1112,3.9206,0.1103
23,3.9542,0.1092,3.9124,0.1151
24,3.9174,0.1188,3.9002,0.1160
25,3.8815,0.1236,3.8762,0.1221
26,3.8922,0.1206,3.8676,0.1239
27,3.8769,0.1174,3.8592,0.1262
28,3.8705,0.1236,3.8508,0.1288
29,3.8711,0.1304,3.8373,0.1331
30,3.8828,0.1282,3.8425,0.1310
31,3.8429,0.1334,3.8323,0.1385
32,3.8422,0.1288,3.8208,0.1383
33,3.8389,0.1366,3.8160,0.1401
34,3.8207,0.1426,3.8036,0.1426
35,3.8267,0.1450,3.8106,0.1468
36,3.8269,0.1378,3.8209,0.1418
37,3.8435,0.1416,3.8171,0.1499
38,3.8079,0.1426,3.8011,0.1489
39,3.8442,0.1430,3.8222,0.1488
40,3.8229,0.1484,3.7988,0.1498
41,3.8203,0.1518,3.8062,0.1542
42,3.8411,0.1490,3.8242,0.1519
43,3.8267,0.1482,3.8113,0.1537
44,3.8557,0.1446,3.8490,0.1517
45,3.8742,0.1460,3.8581,0.1538
46,3.8352,0.1478,3.8427,0.1536
47,3.8290,0.1588,3.8482,0.1600
48,3.8331,0.1536,3.8187,0.1580
49,3.8484,0.1590,3.8512,0.1631
50,3.8461,0.1568,3.8429,0.1615
51,3.8261,0.1604,3.8271,0.1627
52,3.8809,0.1592,3.8874,0.1628
53,3.8921,0.1584,3.8901,0.1643
54,3.8302,0.1618,3.8439,0.1662
55,3.8831,0.1576,3.8802,0.1700
56,3.8458,0.1654,3.8726,0.1690
57,3.8908,0.1608,3.8787,0.1700
58,3.8548,0.1596,3.8661,0.1729
59,3.9449,0.1666,3.9394,0.1693
60,3.9088,0.1632,3.9303,0.1719
61,3.9216,0.1656,3.9412,0.1742
62,3.9443,0.1634,3.9363,0.1705
63,3.9437,0.1724,3.9813,0.1744
64,3.9773,0.1708,3.9888,0.1748
65,3.9533,0.1684,3.9600,0.1744
66,4.0044,0.1736,4.0319,0.1725
67,3.9393,0.1702,3.9694,0.1736
68,4.0239,0.1706,4.0579,0.1785
69,4.0255,0.1652,4.0370,0.1740
70,4.0324,0.1710,4.0670,0.1768
71,4.0784,0.1706,4.1029,0.1763
72,4.0369,0.1700,4.0786,0.1772
73,4.0452,0.1794,4.0891,0.1786
74,4.1149,0.1704,4.1389,0.1790
75,4.0621,0.1728,4.1068,0.1784
76,4.1318,0.1680,4.1750,0.1770
77,4.1423,0.1750,4.1944,0.1766
78,4.2002,0.1666,4.2238,0.1764
79,4.1520,0.1786,4.1863,0.1833
80,4.1842,0.1746,4.2202,0.1836
81,4.2737,0.1714,4.2958,0.1827
82,4.2176,0.1730,4.2407,0.1791
83,4.2423,0.1780,4.3277,0.1797
84,4.2889,0.1732,4.3634,0.1811
85,4.2511,0.1846,4.3280,0.1833
86,4.3124,0.1736,4.3629,0.1824
87,4.3441,0.1738,4.4001,0.1826
88,4.3486,0.1796,4.4393,0.1785
89,4.3238,0.1800,4.3888,0.1848
90,4.3927,0.1740,4.4551,0.1848
91,4.4542,0.1718,4.5349,0.1874
92,4.4318,0.1804,4.4970,0.1816
93,4.4932,0.1766,4.5810,0.1857
94,4.5109,0.1800,4.5849,0.1846
95,4.5095,0.1784,4.5724,0.1859
96,4.5678,0.1846,4.6981,0.1839
97,4.5613,0.1772,4.6357,0.1838
98,4.5755,0.1728,4.6963,0.1823
99,4.6316,0.1766,4.7126,0.1864
100,4.6358,0.1710,4.7210,0.1860
101,4.7178,0.1722,4.7789,0.1830
102,4.6816,0.1800,4.8200,0.1891
103,4.7772,0.1782,4.8658,0.1879
104,4.7885,0.1758,4.8876,0.1887
105,4.7433,0.1794,4.8397,0.1864
106,4.7396,0.1830,4.8522,0.1910
107,4.8653,0.1812,4.9550,0.1896
108,4.8813,0.1760,4.9764,0.1842
109,4.9037,0.1696,5.0293,0.1850
110,4.8983,0.1788,5.0092,0.1880
111,4.9241,0.1796,5.0738,0.1866
112,4.9495,0.1796,5.0947,0.1897
113,4.9744,0.1764,5.1273,0.1840
114,5.0438,0.1788,5.1942,0.1885
115,5.0220,0.1730,5.1731,0.1875
116,5.0516,0.1810,5.1669,0.1915
117,5.0975,0.1790,5.2955,0.1865
118,5.0611,0.1796,5.2544,0.1866
119,5.1091,0.1744,5.2613,0.1830
120,5.1670,0.1886,5.3441,0.1870
121,5.2518,0.1824,5.4083,0.1890
122,5.1922,0.1772,5.3626,0.1852
123,5.1970,0.1838,5.3764,0.1901
124,5.2355,0.1792,5.4149,0.1887
125,5.3279,0.1814,5.4903,0.1865
126,5.3506,0.1834,5.5087,0.1871
127,5.4102,0.1854,5.6395,0.1875
128,5.3661,0.1766,5.5677,0.1825
129,5.3950,0.1816,5.6353,0.1869
130,5.4612,0.1822,5.6675,0.1875
131,5.4657,0.1758,5.6789,0.1881
132,5.5197,0.1782,5.7207,0.1883
133,5.5025,0.1858,5.6686,0.1874
134,5.6298,0.1830,5.8089,0.1871
135,5.5623,0.1856,5.7854,0.1895
136,5.5959,0.1802,5.8266,0.1864
137,5.6491,0.1792,5.8402,0.1894
138,5.6186,0.1812,5.7596,0.1868
139,5.7332,0.1892,5.9702,0.1905
140,5.7205,0.1828,5.9547,0.1882
141,5.7803,0.1736,5.9581,0.1872
142,5.8001,0.1832,6.0385,0.1863
143,5.7720,0.1786,5.9974,0.1873
144,5.9620,0.1756,6.1652,0.1892
145,5.8985,0.1858,6.1145,0.1893
146,5.9890,0.1768,6.2245,0.1906
147,5.9170,0.1776,6.1130,0.1847
148,6.0112,0.1818,6.2404,0.1867
149,5.9594,0.1840,6.1888,0.1861
150,6.0755,0.1814,6.2973,0.1874
151,6.0747,0.1842,6.2683,0.1865
152,6.0658,0.1838,6.3431,0.1900
153,6.0816,0.1728,6.3212,0.1865
154,6.1013,0.1854,6.3293,0.1834
155,6.1951,0.1820,6.5070,0.1875
156,6.2000,0.1892,6.4571,0.1881
157,6.2771,0.1858,6.5642,0.1885
158,6.1642,0.1804,6.4181,0.1840
159,6.3485,0.1830,6.6270,0.1873
160,6.2893,0.1832,6.5971,0.1851
161,6.3081,0.1770,6.5703,0.1884
162,6.2373,0.1804,6.6064,0.1870
163,6.3691,0.1884,6.7362,0.1867
164,6.4860,0.1822,6.7610,0.1875
165,6.3546,0.1874,6.6341,0.1914
166,6.4844,0.1784,6.8019,0.1849
167,6.5189,0.1850,6.7888,0.1905
168,6.5030,0.1840,6.7788,0.1875
169,6.5381,0.1816,6.8658,0.1865
170,6.6417,0.1782,6.9693,0.1853
171,6.5541,0.1808,6.8833,0.1858
172,6.6110,0.1762,6.8751,0.1867
173,6.6532,0.1812,6.9452,0.1872
174,6.6738,0.1868,7.0456,0.1839
175,6.6706,0.1896,7.0137,0.1884
176,6.7201,0.1846,7.0528,0.1870
177,6.7681,0.1838,7.0643,0.1890
178,6.7210,0.1852,7.1178,0.1874
179,6.8558,0.1760,7.1699,0.1862
180,6.7643,0.1792,7.1188,0.1871
181,6.8712,0.1764,7.1989,0.1902
182,6.9574,0.1816,7.3150,0.1859
183,6.9475,0.1850,7.2187,0.1892
184,6.9421,0.1894,7.2644,0.1899
185,6.9974,0.1822,7.3605,0.1860
186,6.9287,0.1860,7.2506,0.1914
187,7.0062,0.1820,7.3618,0.1874
188,7.1292,0.1842,7.4308,0.1877
189,6.9715,0.1842,7.4141,0.1915
190,7.0981,0.1866,7.4065,0.1879
191,7.2007,0.1818,7.5576,0.1861
192,7.1955,0.1764,7.5273,0.1867
193,7.1534,0.1826,7.5032,0.1891
194,7.2111,0.1864,7.5580,0.1873
195,7.1952,0.1880,7.6025,0.1859
196,7.2898,0.1852,7.6970,0.1861
197,7.2051,0.1830,7.5809,0.1862
198,7.3484,0.1802,7.7431,0.1876
199,7.2751,0.1872,7.6363,0.1892
200,7.3099,0.1804,7.6506,0.1896
201,7.2775,0.1800,7.6601,0.1826
202,7.3856,0.1762,7.7075,0.1846
203,7.4953,0.1752,7.8780,0.1847
204,7.4476,0.1798,7.8044,0.1859
205,7.5110,0.1802,7.8643,0.1834
206,7.4631,0.1854,7.8206,0.1848
207,7.5469,0.1816,7.9043,0.1881
208,7.5742,0.1822,7.9205,0.1870
209,7.6911,0.1814,8.0717,0.1887
210,7.6354,0.1828,8.0065,0.1858
211,7.7408,0.1890,8.1523,0.1860
212,7.6662,0.1804,7.9987,0.1865
213,7.6899,0.1846,8.1157,0.1843
214,7.7256,0.1830,8.0774,0.1882
215,7.7816,0.1852,8.1959,0.1916
216,7.8732,0.1822,8.2278,0.1877
217,7.8836,0.1836,8.2831,0.1875
218,7.7723,0.1808,8.1924,0.1865
219,7.6785,0.1868,8.0948,0.1872
220,7.9721,0.1842,8.3621,0.1909
221,7.7829,0.1854,8.2422,0.1884
222,7.9408,0.1774,8.2985,0.1857
223,7.9751,0.1852,8.3094,0.1894
224,7.9940,0.1808,8.4036,0.1882
225,8.0442,0.1834,8.4280,0.1900
226,8.1155,0.1744,8.4821,0.1879
227,8.0331,0.1830,8.4544,0.1891
228,8.0849,0.1796,8.5619,0.1907
229,8.1201,0.1858,8.5161,0.1918
230,8.1731,0.1876,8.5775,0.1853
231,8.2054,0.1796,8.4968,0.1908
232,8.1413,0.1764,8.4582,0.1893
233,8.1945,0.1838,8.5184,0.1899
234,8.1705,0.1892,8.6456,0.1909
235,8.3295,0.1852,8.6929,0.1901
236,8.3151,0.1874,8.6873,0.1889
237,8.3784,0.1890,8.7721,0.1864
238,8.3886,0.1856,8.8799,0.1891
239,8.4010,0.1844,8.8584,0.1865
240,8.4585,0.1860,8.8846,0.1899
241,8.4897,0.1820,8.8630,0.1867
242,8.4021,0.1904,8.8847,0.1870
243,8.3980,0.1826,8.8033,0.1872
244,8.4344,0.1824,8.8423,0.1859
245,8.4860,0.1828,8.9309,0.1858
246,8.7019,0.1874,9.0769,0.1931
247,8.5728,0.1878,9.0195,0.1899
248,8.6552,0.1898,9.0639,0.1926
249,8.5785,0.1892,9.0267,0.1870
250,8.6563,0.1826,9.0691,0.1882
251,8.5255,0.1864,8.9822,0.1889
252,8.5244,0.1830,8.9754,0.1879
253,8.5950,0.1784,9.0704,0.1884
254,8.6832,0.1866,9.0790,0.1901
255,8.6750,0.1852,9.0721,0.1858
256,8.6945,0.1842,9.1569,0.1884
257,8.7738,0.1772,9.2372,0.1853
258,8.7748,0.1822,9.3115,0.1899
259,8.8362,0.1792,9.2453,0.1897
260,8.7790,0.1844,9.2063,0.1904
261,8.8436,0.1854,9.3071,0.1881
262,8.8992,0.1820,9.3579,0.1873
263,8.9365,0.1790,9.3358,0.1910
264,9.0873,0.1810,9.5004,0.1860
265,8.9581,0.1852,9.4483,0.1887
266,8.8800,0.1814,9.3925,0.1867
267,8.8901,0.1836,9.3438,0.1857
268,8.9824,0.1848,9.4467,0.1850
269,9.0216,0.1800,9.4920,0.1873
