name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,1,4.6345,0.0118,4.6383,0.0100,4.6432,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,2,14.3185,0.0118,13.4191,0.0100,14.3266,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,3,4.8351,0.0086,4.8123,0.0100,4.8181,0.0102
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,4,6.8832,0.0120,6.2362,0.0100,6.9045,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,5,5.6675,0.0086,5.4509,0.0100,5.6045,0.0102
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,6,5.2737,0.0076,5.1835,0.0100,5.2472,0.0103
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,7,6.3288,0.0106,6.0970,0.0100,6.3194,0.0099
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,8,4.9418,0.0070,4.8644,0.0093,4.9326,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,9,4.8598,0.0126,4.8285,0.0111,4.8644,0.0120
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,10,13.0218,0.0086,12.0223,0.0100,12.9487,0.0102
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,11,4.6373,0.0130,4.6406,0.0157,4.6428,0.0131
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,12,44.5664,0.0080,38.5453,0.0100,44.5353,0.0102
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,13,4.6620,0.0116,4.6784,0.0100,4.6789,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,14,11.0511,0.0096,9.1223,0.0100,11.1897,0.0100
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,15,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,16,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,17,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,18,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,19,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,20,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,21,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,22,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,23,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,24,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,25,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,26,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,27,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,28,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,29,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,30,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,31,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,32,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,33,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,34,nan,0.0122,nan,0.0100,nan,0.0098
hetetogeneous_WD_1e-05_shard_non_iid_5_J_16_LR_0.01,35,nan,0.0122,nan,0.0100,nan,0.0098
