round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
1,4.5735,0.0194,4.5649,0.0222,4.5703,0.0193
2,4.2643,0.0574,4.2366,0.0656,4.2572,0.0578
3,4.1709,0.0748,4.1583,0.0850,4.1653,0.0761
4,4.1285,0.0946,4.1787,0.0990,4.1281,0.0962
5,4.1162,0.1090,4.1159,0.1142,4.0940,0.1051
6,4.1443,0.1130,4.1747,0.1231,4.1033,0.1147
7,4.1091,0.1246,4.1380,0.1322,4.0189,0.1310
8,4.0416,0.1458,4.1006,0.1448,3.9801,0.1424
9,4.2257,0.1442,4.2682,0.1533,4.1042,0.1501
10,4.1382,0.1486,4.1954,0.1563,4.0202,0.1562
11,4.1754,0.1584,4.2403,0.1609,4.0459,0.1646
12,4.1731,0.1574,4.2403,0.1635,4.0218,0.1674
13,4.2972,0.1704,4.3723,0.1714,4.0932,0.1755
14,4.1423,0.1700,4.2416,0.1694,3.9926,0.1753
15,4.3332,0.1728,4.4181,0.1754,4.1076,0.1807
16,4.2568,0.1742,4.3603,0.1702,4.0453,0.1811
17,4.2514,0.1894,4.3700,0.1837,4.0151,0.1904
18,4.2477,0.1862,4.3736,0.1881,4.0069,0.1926
19,4.3644,0.1782,4.4532,0.1883,4.0501,0.1956
20,4.3795,0.1878,4.4695,0.1913,4.0900,0.1997
21,4.2475,0.1900,4.3661,0.1911,3.9574,0.2000
22,4.4339,0.1858,4.5142,0.1924,4.0491,0.2069
23,4.3493,0.1902,4.4178,0.1949,3.9942,0.2116
24,4.3449,0.1956,4.4242,0.1986,3.9807,0.2122
25,4.3148,0.1958,4.4081,0.2006,3.9316,0.2136
26,4.3929,0.1982,4.4990,0.2006,3.9790,0.2181
27,4.3496,0.1956,4.4309,0.1998,3.9167,0.2217
28,4.3981,0.2024,4.5108,0.2022,3.9663,0.2214
29,4.3738,0.1948,4.4738,0.2021,3.8981,0.2248
30,4.4050,0.1998,4.4935,0.2050,3.9272,0.2277
31,4.3394,0.2048,4.4447,0.2099,3.8854,0.2280
32,4.3451,0.2010,4.4119,0.2087,3.8503,0.2326
33,4.3028,0.2000,4.3732,0.2106,3.8148,0.2348
34,4.3199,0.2048,4.3859,0.2133,3.7949,0.2406
35,4.4292,0.2020,4.4682,0.2130,3.8674,0.2347
36,4.3806,0.2084,4.4639,0.2136,3.8076,0.2417
37,4.4034,0.2052,4.4719,0.2139,3.8286,0.2402
38,4.3733,0.2052,4.4648,0.2148,3.7938,0.2442
39,4.3633,0.2096,4.4296,0.2171,3.7967,0.2425
40,4.3577,0.2120,4.4608,0.2182,3.7970,0.2493
41,4.3309,0.2132,4.4275,0.2157,3.7268,0.2477
42,4.3810,0.2086,4.4411,0.2155,3.7392,0.2513
43,4.4521,0.2058,4.4894,0.2197,3.7863,0.2557
44,4.3779,0.2134,4.4445,0.2228,3.7308,0.2592
45,4.3022,0.2134,4.4355,0.2169,3.6848,0.2568
46,4.3570,0.2166,4.4342,0.2213,3.7009,0.2584
47,4.5092,0.2084,4.5928,0.2213,3.8243,0.2555
48,4.4541,0.2030,4.4274,0.2238,3.6807,0.2583
49,4.4454,0.2268,4.4709,0.2230,3.7081,0.2628
50,4.3943,0.2146,4.4216,0.2253,3.6660,0.2647
