name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
hetetogeneous_shard_iid_J_8_LR_0.01,1,4.6009,0.0182,4.5999,0.0131,4.6014,0.0153
hetetogeneous_shard_iid_J_8_LR_0.01,2,4.5684,0.0238,4.5719,0.0219,4.5735,0.0223
hetetogeneous_shard_iid_J_8_LR_0.01,3,4.4698,0.0346,4.4874,0.0302,4.4770,0.0308
hetetogeneous_shard_iid_J_8_LR_0.01,4,4.3376,0.0466,4.3355,0.0464,4.3359,0.0481
hetetogeneous_shard_iid_J_8_LR_0.01,5,4.1881,0.0618,4.1864,0.0640,4.1855,0.0630
hetetogeneous_shard_iid_J_8_LR_0.01,6,4.1150,0.0824,4.1189,0.0765,4.1135,0.0727
hetetogeneous_shard_iid_J_8_LR_0.01,7,4.0762,0.0886,4.0701,0.0926,4.0710,0.0865
hetetogeneous_shard_iid_J_8_LR_0.01,8,4.0475,0.0906,4.0339,0.0971,4.0305,0.0898
hetetogeneous_shard_iid_J_8_LR_0.01,9,3.9814,0.1024,3.9871,0.1069,3.9884,0.0972
hetetogeneous_shard_iid_J_8_LR_0.01,10,3.9601,0.1050,3.9263,0.1118,3.9296,0.1038
hetetogeneous_shard_iid_J_8_LR_0.01,11,3.9214,0.1072,3.9150,0.1142,3.9114,0.1080
hetetogeneous_shard_iid_J_8_LR_0.01,12,3.8811,0.1174,3.8876,0.1253,3.8666,0.1162
hetetogeneous_shard_iid_J_8_LR_0.01,13,3.8266,0.1270,3.8232,0.1319,3.8186,0.1274
hetetogeneous_shard_iid_J_8_LR_0.01,14,3.7930,0.1354,3.7708,0.1425,3.7656,0.1341
hetetogeneous_shard_iid_J_8_LR_0.01,15,3.7561,0.1458,3.7504,0.1455,3.7249,0.1428
hetetogeneous_shard_iid_J_8_LR_0.01,16,3.7474,0.1422,3.7258,0.1505,3.7107,0.1440
hetetogeneous_shard_iid_J_8_LR_0.01,17,3.7113,0.1574,3.7058,0.1577,3.6664,0.1547
hetetogeneous_shard_iid_J_8_LR_0.01,18,3.7308,0.1550,3.7242,0.1611,3.6687,0.1545
