round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
1,34.8620,0.0102,29.8677,0.0100,34.7600,0.0100
2,4.6839,0.0108,4.6576,0.0117,4.6852,0.0102
3,48.6352,0.0094,45.6306,0.0100,48.0798,0.0101
4,5.3830,0.0088,5.4080,0.0092,5.3701,0.0094
5,20.1941,0.0084,21.7716,0.0081,19.9427,0.0089
6,4.8102,0.0116,4.8092,0.0083,4.8306,0.0097
7,21.6926,0.0096,19.6457,0.0100,21.8288,0.0100
8,5.2771,0.0084,5.1992,0.0100,5.2680,0.0102
9,13.5253,0.0106,13.1938,0.0100,13.4592,0.0099
10,10.2669,0.0100,10.5191,0.0100,10.1720,0.0100
11,5.3121,0.0108,5.1142,0.0097,5.2844,0.0101
12,5.9717,0.0094,5.4402,0.0101,5.9356,0.0102
13,4.7838,0.0086,4.7565,0.0077,4.7769,0.0084
14,7.4462,0.0084,7.3032,0.0101,7.3803,0.0102
15,5.0277,0.0104,4.9081,0.0110,5.0281,0.0103
16,5.7119,0.0102,5.3510,0.0100,5.6936,0.0100
17,4.9473,0.0102,4.8847,0.0090,4.9511,0.0098
18,5.4037,0.0104,5.1659,0.0099,5.3900,0.0100
19,5.6758,0.0094,5.2948,0.0100,5.6554,0.0101
20,4.8679,0.0092,4.8414,0.0100,4.8671,0.0101
21,4.8885,0.0100,4.8609,0.0100,4.8826,0.0100
22,5.0350,0.0094,4.9912,0.0094,5.0243,0.0095
23,5.1193,0.0100,5.0603,0.0100,5.1042,0.0100
24,5.0154,0.0080,4.9557,0.0100,4.9862,0.0102
25,5.0734,0.0100,5.0101,0.0100,5.0475,0.0101
26,4.8763,0.0118,4.8523,0.0126,4.8587,0.0125
27,5.1812,0.0094,5.1144,0.0117,5.1466,0.0115
28,5.3049,0.0092,5.2119,0.0100,5.2649,0.0101
29,5.0811,0.0074,5.0265,0.0100,5.0506,0.0103
30,4.9383,0.0080,4.8978,0.0100,4.9091,0.0102
31,5.3522,0.0098,5.2664,0.0100,5.3193,0.0100
32,4.9458,0.0098,4.9190,0.0101,4.9309,0.0100
33,5.1611,0.0106,5.1039,0.0100,5.1323,0.0099
34,5.2644,0.0090,5.1869,0.0103,5.2255,0.0117
35,4.8940,0.0096,4.8724,0.0100,4.8772,0.0100
36,5.0687,0.0072,5.0296,0.0076,5.0482,0.0069
37,5.1701,0.0094,5.0956,0.0105,5.1317,0.0114
38,4.9583,0.0132,4.9206,0.0128,4.9296,0.0122
39,5.1085,0.0092,5.0471,0.0100,5.0737,0.0101
40,5.3550,0.0100,5.2541,0.0068,5.3106,0.0087
41,4.9865,0.0092,4.9435,0.0100,4.9598,0.0101
42,5.0570,0.0102,5.0102,0.0101,5.0377,0.0100
43,5.1410,0.0066,5.0841,0.0074,5.1164,0.0085
44,5.3444,0.0074,5.2507,0.0091,5.3200,0.0091
45,4.9536,0.0102,4.9330,0.0100,4.9466,0.0100
46,4.9343,0.0106,4.9123,0.0091,4.9185,0.0091
47,5.2466,0.0090,5.1932,0.0100,5.2198,0.0101
48,5.1706,0.0098,5.1125,0.0100,5.1417,0.0100
49,5.0984,0.0084,5.0573,0.0100,5.0785,0.0102
50,4.9761,0.0100,4.9549,0.0100,4.9586,0.0100
