name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,1,25.5052,0.0106,21.4309,0.0100,25.4994,0.0099
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,2,4.6680,0.0118,4.6577,0.0100,4.6684,0.0098
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,3,15.1795,0.0092,16.0627,0.0106,14.9726,0.0105
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,4,4.9324,0.0104,4.9688,0.0100,4.9182,0.0108
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,5,23.2150,0.0092,23.9246,0.0100,23.1043,0.0101
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,6,5.1364,0.0122,5.0960,0.0100,5.1542,0.0098
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,7,10.6072,0.0106,10.4959,0.0100,10.5927,0.0099
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,8,4.8834,0.0110,4.7695,0.0107,4.8961,0.0107
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,9,12.0058,0.0092,9.7892,0.0100,12.0129,0.0101
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,10,4.7641,0.0106,4.7742,0.0100,4.7724,0.0099
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,11,16.3710,0.0100,15.2860,0.0100,16.2957,0.0100
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,12,4.7004,0.0074,4.6989,0.0099,4.7007,0.0098
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,13,48.7681,0.0100,44.1335,0.0100,48.6276,0.0100
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,14,4.7472,0.0108,4.7484,0.0082,4.7457,0.0105
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,15,5.4138,0.0118,5.2766,0.0105,5.3906,0.0103
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,16,10.5282,0.0072,9.8843,0.0090,10.4387,0.0098
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,17,4.8607,0.0114,4.8507,0.0108,4.8642,0.0114
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,18,4.7880,0.0102,4.7692,0.0100,4.7969,0.0099
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,19,7.0454,0.0108,6.5797,0.0100,7.0729,0.0099
hetetogeneous_shard_non_iid_50_J_8_LR_0.01,20,5.1864,0.0148,5.1015,0.0140,5.1851,0.0144
