client_id,unique_classes
0,3
1,2
2,3
3,3
4,3
5,3
6,3
7,2
8,1
9,1
10,4
11,2
12,1
13,2
14,2
15,2
16,12
17,2
18,1
19,2
20,2
21,2
22,2
23,1
24,1
25,2
26,3
27,4
28,3
29,2
30,3
31,2
32,2
33,2
34,3
35,3
36,2
37,2
38,3
39,3
40,2
41,1
42,2
43,2
44,2
45,3
46,2
47,2
48,3
49,2
50,3
51,2
52,2
53,2
54,1
55,3
56,2
57,3
58,3
59,1
60,2
61,2
62,2
63,2
64,2
65,2
66,1
67,2
68,4
69,2
70,1
71,2
72,2
73,3
74,2
75,2
76,2
77,3
78,3
79,3
80,2
81,3
82,3
83,2
84,2
85,2
86,1
87,2
88,1
89,2
90,2
91,2
92,2
93,3
94,2
95,2
96,3
97,2
98,2
99,1
