name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
shakespeare_CosineAnnealingLR,1,1.7218,0.4932,1.7173,0.4940,2.1350,0.4001,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,2,1.5444,0.5393,1.5399,0.5406,1.6352,0.5154,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,3,1.4747,0.5549,1.4713,0.5554,1.5215,0.5435,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,4,1.4271,0.5671,1.4234,0.5682,1.4619,0.5579,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,5,1.3997,0.5745,1.3952,0.5756,1.4234,0.5675,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,6,1.3809,0.5796,1.3766,0.5812,1.3961,0.5741,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,7,1.3628,0.5840,1.3594,0.5851,1.3752,0.5794,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,8,1.3526,0.5857,1.3485,0.5868,1.3581,0.5837,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,9,1.3430,0.5886,1.3400,0.5896,1.3438,0.5873,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,10,1.3332,0.5921,1.3301,0.5927,1.3316,0.5905,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,11,1.3263,0.5929,1.3230,0.5935,1.3210,0.5932,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,12,1.3209,0.5951,1.3183,0.5962,1.3115,0.5955,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,13,1.3163,0.5953,1.3129,0.5967,1.3028,0.5977,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,14,1.3089,0.5980,1.3056,0.5991,1.2948,0.6000,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,15,1.3032,0.5988,1.3004,0.6000,1.2872,0.6018,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,16,1.3001,0.5999,1.2972,0.6006,1.2803,0.6037,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,17,1.2957,0.6013,1.2937,0.6020,1.2737,0.6053,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,18,1.2918,0.6024,1.2896,0.6036,1.2672,0.6071,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,19,1.2883,0.6038,1.2855,0.6041,1.2615,0.6085,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,20,1.2840,0.6043,1.2815,0.6053,1.2558,0.6099,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,21,1.2829,0.6050,1.2807,0.6063,1.2504,0.6111,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,22,1.2801,0.6056,1.2781,0.6061,1.2453,0.6127,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,23,1.2768,0.6066,1.2740,0.6072,1.2406,0.6138,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,24,1.2745,0.6068,1.2721,0.6077,1.2360,0.6150,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,25,1.2740,0.6072,1.2717,0.6086,1.2318,0.6160,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,26,1.2711,0.6085,1.2696,0.6091,1.2275,0.6172,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,27,1.2704,0.6079,1.2680,0.6087,1.2237,0.6184,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,28,1.2690,0.6080,1.2671,0.6090,1.2201,0.6193,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,29,1.2679,0.6093,1.2660,0.6101,1.2162,0.6203,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,30,1.2661,0.6094,1.2644,0.6100,1.2129,0.6212,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,31,1.2652,0.6099,1.2631,0.6109,1.2096,0.6219,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,32,1.2649,0.6100,1.2626,0.6110,1.2066,0.6227,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,33,1.2639,0.6106,1.2619,0.6113,1.2034,0.6237,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,34,1.2614,0.6113,1.2595,0.6119,1.2007,0.6245,-1.0000,-1.0000
shakespeare_CosineAnnealingLR,35,1.2624,0.6109,1.2604,0.6117,1.1982,0.6253,-1.0000,-1.0000
