name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
checkpointed_shakespeare_StepLR,1,1.7187,0.4963,1.7160,0.4968,2.1453,0.3982,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,2,1.5528,0.5362,1.5499,0.5373,1.6372,0.5151,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,3,1.4754,0.5560,1.4722,0.5566,1.5240,0.5427,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,4,1.4358,0.5657,1.4310,0.5662,1.4649,0.5571,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,5,1.4043,0.5736,1.4010,0.5745,1.4268,0.5666,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,6,1.3827,0.5792,1.3796,0.5802,1.3983,0.5736,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,7,1.3654,0.5828,1.3623,0.5831,1.3760,0.5791,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,8,1.3511,0.5868,1.3483,0.5875,1.3581,0.5836,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,9,1.3409,0.5892,1.3377,0.5898,1.3434,0.5874,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,10,1.3314,0.5917,1.3282,0.5920,1.3309,0.5904,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,11,1.3099,0.5984,1.3075,0.5992,1.2961,0.6006,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,12,1.3078,0.5986,1.3053,0.5997,1.2903,0.6021,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,13,1.3062,0.5988,1.3038,0.5998,1.2880,0.6025,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,14,1.3050,0.5994,1.3026,0.6004,1.2860,0.6030,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,15,1.3040,0.5995,1.3017,0.6007,1.2845,0.6032,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,16,1.3028,0.6001,1.3004,0.6010,1.2830,0.6037,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,17,1.3027,0.6001,1.3002,0.6009,1.2816,0.6042,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,18,1.3013,0.6005,1.2988,0.6017,1.2801,0.6046,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,19,1.3005,0.6008,1.2983,0.6017,1.2789,0.6046,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,20,1.2996,0.6012,1.2972,0.6018,1.2774,0.6052,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,21,1.2981,0.6013,1.2957,0.6024,1.2734,0.6064,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,22,1.2980,0.6015,1.2956,0.6025,1.2727,0.6066,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,23,1.2978,0.6014,1.2954,0.6025,1.2726,0.6065,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,24,1.2977,0.6016,1.2954,0.6025,1.2724,0.6065,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,25,1.2977,0.6015,1.2953,0.6025,1.2720,0.6066,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,26,1.2975,0.6016,1.2951,0.6025,1.2720,0.6068,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,27,1.2974,0.6015,1.2951,0.6027,1.2718,0.6067,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,28,1.2973,0.6016,1.2949,0.6027,1.2717,0.6068,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,29,1.2973,0.6015,1.2949,0.6025,1.2715,0.6068,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,30,1.2972,0.6016,1.2948,0.6028,1.2711,0.6069,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,31,1.2971,0.6017,1.2947,0.6027,1.2708,0.6068,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,32,1.2971,0.6017,1.2947,0.6028,1.2708,0.6070,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,33,1.2971,0.6017,1.2947,0.6027,1.2708,0.6070,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,34,1.2971,0.6016,1.2947,0.6027,1.2708,0.6069,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,35,1.2971,0.6017,1.2947,0.6028,1.2708,0.6070,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,36,1.2971,0.6016,1.2947,0.6027,1.2709,0.6071,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,37,1.2970,0.6017,1.2946,0.6027,1.2706,0.6069,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,38,1.2970,0.6017,1.2946,0.6027,1.2709,0.6070,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,39,1.2970,0.6017,1.2946,0.6028,1.2708,0.6071,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,40,1.2970,0.6017,1.2946,0.6028,1.2706,0.6072,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,41,1.2970,0.6017,1.2946,0.6028,1.2707,0.6068,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,42,1.2970,0.6017,1.2946,0.6028,1.2706,0.6072,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,43,1.2970,0.6017,1.2946,0.6028,1.2706,0.6070,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,44,1.2970,0.6017,1.2946,0.6028,1.2705,0.6070,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,45,1.2970,0.6017,1.2946,0.6028,1.2704,0.6072,-1.0000,-1.0000
checkpointed_shakespeare_StepLR,46,1.2970,0.6017,1.2946,0.6028,1.2706,0.6070,-1.0000,-1.0000
