name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar_more_step_scheduler_CosineAnnealingLR,1,3.9185,0.0964,3.8993,0.0952,4.1899,0.0562,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,2,3.7804,0.1138,3.7497,0.1260,3.8964,0.0963,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,3,3.6840,0.1318,3.6111,0.1457,3.7597,0.1201,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,4,3.6646,0.1448,3.5817,0.1581,3.6595,0.1390,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,5,3.5683,0.1640,3.4964,0.1751,3.6311,0.1459,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,6,3.6677,0.1424,3.6017,0.1503,3.5757,0.1569,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,7,3.5558,0.1600,3.4809,0.1752,3.5597,0.1606,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,8,3.5522,0.1692,3.4454,0.1867,3.5321,0.1648,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,9,3.5258,0.1692,3.4779,0.1838,3.4961,0.1713,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,10,3.5850,0.1822,3.5443,0.1878,3.4933,0.1736,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,11,3.4330,0.1922,3.3677,0.2048,3.4749,0.1775,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,12,3.4963,0.1872,3.4471,0.2038,3.4682,0.1800,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,13,3.4165,0.2008,3.3303,0.2152,3.4394,0.1832,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,14,3.5258,0.1768,3.4343,0.1995,3.4155,0.1885,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,15,3.4055,0.1958,3.3076,0.2115,3.4158,0.1884,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,16,3.4842,0.1842,3.4040,0.2031,3.4212,0.1898,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,17,3.4104,0.1992,3.3349,0.2167,3.3979,0.1940,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,18,3.4693,0.1912,3.3570,0.2187,3.3917,0.1937,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,19,3.5259,0.1806,3.4242,0.1932,3.3996,0.1954,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,20,3.4082,0.1928,3.3127,0.2154,3.3841,0.1970,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,21,3.4946,0.2016,3.4008,0.2154,3.3770,0.1967,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,22,3.3731,0.2112,3.3193,0.2201,3.3530,0.2015,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,23,3.3905,0.2056,3.2862,0.2290,3.3568,0.2030,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,24,3.4030,0.2002,3.2885,0.2266,3.3691,0.2016,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,25,3.3639,0.2092,3.2848,0.2230,3.3480,0.2062,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,26,3.4431,0.1970,3.3378,0.2168,3.3472,0.2054,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,27,3.4264,0.1920,3.3129,0.2189,3.3345,0.2096,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,28,3.3546,0.2158,3.2750,0.2294,3.3184,0.2091,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,29,3.4424,0.1960,3.3642,0.2144,3.3437,0.2075,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,30,3.3787,0.2076,3.2762,0.2292,3.3341,0.2105,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,31,3.3450,0.2186,3.2868,0.2310,3.3026,0.2171,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,32,3.3680,0.2090,3.2708,0.2317,3.2955,0.2154,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,33,3.3608,0.2180,3.2504,0.2322,3.2877,0.2180,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,34,3.4362,0.1950,3.3212,0.2253,3.2768,0.2209,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,35,3.3237,0.2186,3.2236,0.2518,3.2770,0.2196,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,36,3.3653,0.2168,3.2709,0.2385,3.3294,0.2155,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,37,3.4021,0.2088,3.2887,0.2386,3.2900,0.2223,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,38,3.3985,0.2066,3.3059,0.2302,3.2768,0.2220,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,39,3.4640,0.1932,3.3161,0.2293,3.2784,0.2222,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,40,3.3683,0.2106,3.2669,0.2318,3.2795,0.2242,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,41,3.3845,0.2078,3.2532,0.2363,3.2750,0.2263,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,42,3.2874,0.2314,3.2361,0.2432,3.2753,0.2214,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,43,3.3391,0.2162,3.2330,0.2356,3.2545,0.2285,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,44,3.3993,0.2060,3.2653,0.2282,3.2610,0.2270,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,45,3.4552,0.1990,3.3142,0.2245,3.2552,0.2281,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,46,3.3811,0.2176,3.3182,0.2349,3.2549,0.2284,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,47,3.4249,0.1990,3.2840,0.2317,3.2415,0.2335,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,48,3.3645,0.2186,3.2411,0.2473,3.2572,0.2277,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,49,3.3469,0.2198,3.2535,0.2471,3.2512,0.2317,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,50,3.3429,0.2230,3.2650,0.2430,3.2412,0.2321,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,51,3.2970,0.2308,3.1656,0.2464,3.2289,0.2364,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,52,3.3363,0.2236,3.2458,0.2408,3.2101,0.2398,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,53,3.2994,0.2322,3.1894,0.2525,3.2287,0.2333,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,54,3.3907,0.2148,3.2030,0.2473,3.1924,0.2420,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,55,3.3056,0.2294,3.2479,0.2513,3.2128,0.2388,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,56,3.2989,0.2282,3.1921,0.2631,3.2329,0.2364,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,57,3.2830,0.2334,3.1859,0.2567,3.2059,0.2400,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,58,3.3098,0.2304,3.2139,0.2590,3.2075,0.2407,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,59,3.3109,0.2384,3.2120,0.2607,3.2194,0.2378,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,60,3.2775,0.2374,3.1324,0.2685,3.2007,0.2380,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,61,3.2305,0.2366,3.1633,0.2625,3.1950,0.2438,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,62,3.2835,0.2294,3.1756,0.2619,3.1756,0.2466,-1.0000,-1.0000
cifar_more_step_scheduler_CosineAnnealingLR,63,3.2775,0.2422,3.2431,0.2520,3.1964,0.2422,-1.0000,-1.0000
