client_id,selected_count
1,386
2,284
3,224
4,136
5,217
6,303
7,437
8,415
9,323
10,149
11,356
12,154
13,153
14,320
15,210
16,185
17,313
18,163
19,165
20,236
21,150
22,167
23,305
24,381
25,191
26,148
27,149
28,345
29,161
30,143
31,170
32,187
33,201
34,139
35,159
36,357
37,203
38,351
39,259
40,143
41,202
42,254
43,144
44,428
45,396
46,369
47,306
48,315
49,406
50,169
51,392
52,144
53,347
54,305
55,140
56,157
57,166
58,372
59,207
60,150
61,156
62,270
63,361
64,262
65,142
66,179
67,295
68,270
69,295
70,183
71,145
72,153
73,150
74,363
75,377
76,251
77,273
78,282
79,156
80,274
81,295
82,281
83,146
84,144
85,238
86,401
87,155
88,221
89,231
90,402
91,284
92,155
93,235
94,138
95,144
96,146
97,218
98,348
99,140
100,174
