name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
gamma_uniform_nc_50_J_8,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4.2995,0.1457,4.2988,0.1458,-1.0000,-1.0000
gamma_uniform_nc_50_J_8,2,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",4.1509,0.1900,4.1494,0.1910,-1.0000,-1.0000
gamma_uniform_nc_50_J_8,3,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",3.5514,0.1469,3.5456,0.1488,-1.0000,-1.0000
gamma_uniform_nc_50_J_8,4,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 2, 1, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0]",3.2844,0.1870,3.2763,0.1871,-1.0000,-1.0000
gamma_uniform_nc_50_J_8,5,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 2, 1, 2, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 2, 1, 1, 0, 0, 0]",3.1925,0.1870,3.1841,0.1871,-1.0000,-1.0000
gamma_uniform_nc_50_J_8,6,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 2, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 1, 1, 0, 2, 1, 2, 0, 1, 0, 2, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 2, 1, 1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 2, 0, 2, 1, 0, 1, 0, 1, 0, 2, 1, 1, 0, 0, 0]",3.1651,0.2025,3.1553,0.2024,-1.0000,-1.0000
gamma_uniform_nc_50_J_8,7,"[1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 3, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 2, 0, 1, 1, 0, 0, 1, 2, 2, 0, 0, 0, 1, 1, 0, 2, 2, 2, 0, 2, 0, 2, 0, 0, 2, 0, 1, 1, 1, 0, 1, 0, 2, 1, 1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 2, 1, 2, 1, 0, 1, 0, 1, 0, 2, 1, 1, 0, 0, 0]",3.1290,0.1870,3.1188,0.1871,-1.0000,-1.0000
gamma_uniform_nc_50_J_8,8,"[1, 0, 0, 2, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 3, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 2, 0, 1, 1, 0, 0, 1, 2, 2, 0, 0, 0, 1, 1, 1, 2, 2, 2, 0, 2, 0, 2, 0, 1, 2, 0, 1, 1, 1, 0, 1, 0, 2, 1, 1, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 3, 2, 0, 1, 1, 0, 2, 2, 2, 1, 0, 1, 0, 1, 0, 2, 2, 2, 0, 0, 0]",3.1169,0.1875,3.1054,0.1876,-1.0000,-1.0000
gamma_uniform_nc_50_J_8,9,"[2, 0, 0, 2, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 3, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 3, 0, 2, 0, 2, 1, 1, 0, 1, 2, 2, 0, 0, 0, 1, 1, 1, 2, 2, 2, 0, 2, 0, 2, 0, 1, 2, 0, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 4, 2, 0, 1, 1, 0, 2, 2, 2, 1, 0, 2, 1, 1, 0, 3, 2, 2, 0, 0, 0]",3.0939,0.1871,3.0832,0.1871,-1.0000,-1.0000
gamma_uniform_nc_50_J_8,10,"[2, 0, 0, 2, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 3, 1, 1, 0, 0, 1, 2, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 3, 0, 2, 0, 2, 1, 1, 0, 1, 2, 2, 1, 0, 0, 1, 1, 1, 3, 2, 2, 0, 2, 0, 2, 0, 1, 2, 0, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 2, 1, 0, 0, 1, 2, 0, 0, 0, 4, 3, 0, 1, 1, 0, 2, 3, 2, 1, 0, 3, 1, 1, 0, 3, 2, 2, 0, 0, 0]",3.0581,0.1871,3.0485,0.1871,3.0545,0.1874
