name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
split_by_role_gamma_uniform_nc_1_J_8,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",4.3005,0.0843,4.3006,0.0839,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_8,2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]",4.1200,0.1857,4.1195,0.1859,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_8,3,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]",3.3447,0.1870,3.3394,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_8,4,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 0]",3.2116,0.1870,3.2025,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_8,5,"[0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 1, 1, 0, 1, 2, 2, 0, 1, 2, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 2, 1, 2, 1, 0]",3.1683,0.1870,3.1580,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_8,6,"[0, 0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 1, 1, 0, 1, 2, 2, 0, 1, 2, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 2, 1, 3, 1, 0]",3.1414,0.1870,3.1304,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_8,7,"[0, 0, 0, 1, 0, 1, 1, 1, 2, 0, 1, 1, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 1, 1, 0, 1, 2, 2, 0, 1, 2, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 2, 1, 0, 0, 0, 3, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 1, 2, 1, 0, 1, 2, 1, 3, 1, 0]",3.1205,0.1870,3.1114,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_8,8,"[0, 1, 0, 1, 0, 1, 1, 1, 2, 0, 1, 1, 0, 1, 1, 0, 0, 3, 0, 0, 2, 0, 1, 1, 0, 1, 2, 2, 0, 1, 2, 1, 1, 1, 0, 2, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 2, 1, 0, 0, 0, 3, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 2, 1, 0, 0, 2, 0, 1, 2, 1, 0, 2, 2, 1, 3, 2, 0]",3.0964,0.1870,3.0862,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_8,9,"[1, 1, 0, 1, 0, 2, 1, 1, 2, 0, 1, 1, 0, 1, 1, 0, 0, 3, 0, 0, 2, 0, 1, 1, 0, 1, 2, 2, 0, 1, 3, 1, 2, 1, 0, 2, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 2, 1, 0, 0, 0, 3, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 0, 0, 2, 2, 0, 0, 2, 0, 1, 3, 2, 0, 2, 2, 1, 3, 2, 0]",3.0780,0.1870,3.0680,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_8,10,"[2, 1, 0, 1, 0, 2, 1, 1, 3, 0, 1, 1, 0, 1, 2, 0, 1, 3, 0, 0, 2, 0, 1, 1, 0, 1, 2, 3, 0, 1, 3, 1, 2, 1, 0, 2, 0, 3, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 2, 1, 0, 0, 1, 3, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 3, 0, 1, 1, 1, 0, 2, 2, 0, 0, 2, 0, 1, 3, 2, 0, 2, 2, 1, 4, 2, 0]",3.0569,0.1873,3.0476,0.1873,3.0531,0.1877
split_by_role_gamma_uniform_nc_1_J_8,11,"[2, 1, 0, 1, 0, 2, 2, 1, 3, 0, 1, 1, 0, 1, 2, 0, 1, 3, 0, 0, 2, 0, 1, 1, 1, 1, 2, 3, 0, 2, 3, 1, 2, 1, 0, 2, 0, 3, 0, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 2, 1, 0, 0, 1, 4, 1, 1, 2, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 1, 3, 0, 1, 2, 1, 0, 2, 2, 0, 0, 2, 0, 1, 3, 2, 0, 2, 2, 1, 4, 2, 1]",3.0351,0.1889,3.0256,0.1888,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_8,12,"[3, 1, 0, 1, 0, 2, 2, 1, 3, 0, 1, 1, 0, 1, 2, 0, 1, 3, 0, 0, 2, 0, 1, 1, 1, 1, 2, 3, 0, 2, 3, 1, 2, 1, 0, 2, 0, 3, 0, 1, 0, 0, 1, 2, 1, 1, 1, 0, 1, 1, 0, 0, 1, 3, 1, 0, 0, 2, 1, 0, 0, 1, 4, 1, 1, 2, 1, 1, 1, 2, 0, 0, 1, 1, 1, 2, 1, 1, 3, 0, 1, 2, 1, 0, 2, 2, 0, 0, 2, 0, 1, 4, 2, 0, 3, 3, 1, 4, 2, 2]",3.0193,0.1893,3.0098,0.1893,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_8,13,"[3, 1, 0, 1, 1, 2, 2, 1, 3, 0, 1, 1, 0, 1, 2, 0, 1, 3, 0, 0, 2, 0, 1, 1, 1, 1, 2, 3, 0, 2, 3, 1, 2, 1, 0, 2, 0, 4, 0, 1, 0, 0, 1, 2, 2, 1, 1, 0, 1, 1, 0, 0, 1, 3, 1, 0, 0, 2, 1, 0, 0, 1, 4, 2, 1, 2, 1, 1, 1, 2, 0, 1, 1, 2, 2, 2, 2, 1, 3, 0, 1, 2, 2, 0, 2, 2, 0, 0, 2, 0, 1, 4, 2, 0, 3, 3, 1, 4, 3, 2]",2.9981,0.2088,2.9880,0.2093,-1.0000,-1.0000
