name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar2_scheduler_ReduceLROnPlateau,1,3.9822,0.0898,3.9595,0.0867,4.1987,0.0550,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,2,3.8176,0.1072,3.7791,0.1093,3.9432,0.0891,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,3,3.8112,0.1166,3.7198,0.1276,3.8008,0.1123,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,4,3.6980,0.1400,3.6016,0.1470,3.7272,0.1247,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,5,3.6400,0.1496,3.5567,0.1522,3.6743,0.1356,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,6,3.6245,0.1430,3.5301,0.1652,3.6111,0.1430,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,7,3.5808,0.1586,3.4466,0.1781,3.5686,0.1581,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,8,3.5587,0.1668,3.4486,0.1875,3.5732,0.1564,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,9,3.5577,0.1638,3.4536,0.1835,3.5236,0.1643,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,10,3.5279,0.1630,3.4119,0.1877,3.5242,0.1662,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,11,3.5851,0.1666,3.4702,0.1883,3.4968,0.1724,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,12,3.5166,0.1778,3.3585,0.2060,3.4734,0.1758,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,13,3.5538,0.1640,3.3714,0.1958,3.4749,0.1778,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,14,3.4586,0.1840,3.3678,0.2086,3.4477,0.1837,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,15,3.4489,0.1932,3.3619,0.2083,3.4249,0.1849,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,16,3.4610,0.1880,3.3801,0.1994,3.4388,0.1856,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,17,3.4297,0.1946,3.3439,0.2124,3.4296,0.1886,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,18,3.4521,0.1992,3.3249,0.2198,3.4215,0.1875,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,19,3.4309,0.1858,3.3315,0.2084,3.3980,0.1945,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,20,3.5946,0.1820,3.4817,0.2044,3.3987,0.1946,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,21,3.4644,0.1882,3.3830,0.2149,3.4071,0.1929,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,22,3.4043,0.1944,3.3199,0.2179,3.3811,0.1973,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,23,3.5187,0.1778,3.4388,0.1920,3.3966,0.1957,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,24,3.5201,0.1936,3.4680,0.2090,3.3973,0.1961,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,25,3.4348,0.2046,3.3166,0.2257,3.3831,0.1988,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,26,3.5155,0.1804,3.4439,0.2121,3.3803,0.2005,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,27,3.4274,0.2014,3.3142,0.2177,3.3675,0.2029,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,28,3.5118,0.1842,3.4207,0.2030,3.3609,0.2030,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,29,3.4054,0.1964,3.2813,0.2230,3.3624,0.2079,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,30,3.3830,0.2120,3.3407,0.2247,3.3618,0.2067,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,31,3.3574,0.2062,3.2326,0.2338,3.3547,0.2080,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,32,3.5037,0.1856,3.3662,0.2152,3.3563,0.2096,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,33,3.4696,0.1952,3.3621,0.2186,3.3445,0.2096,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,34,3.3940,0.2096,3.2892,0.2304,3.3504,0.2099,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,35,3.4450,0.2034,3.3187,0.2242,3.3391,0.2118,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,36,3.4596,0.2002,3.3595,0.2273,3.3107,0.2163,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,37,3.4490,0.1942,3.3788,0.2122,3.3335,0.2140,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,38,3.3878,0.2026,3.2699,0.2287,3.3206,0.2145,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,39,3.3599,0.2140,3.2566,0.2303,3.3358,0.2130,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,40,3.3987,0.2160,3.3500,0.2334,3.2989,0.2191,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,41,3.3011,0.2188,3.2046,0.2408,3.3007,0.2215,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,42,3.4218,0.2056,3.2710,0.2310,3.2868,0.2197,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,43,3.3542,0.2196,3.2538,0.2383,3.2938,0.2221,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,44,3.4627,0.1982,3.3668,0.2225,3.3210,0.2215,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,45,3.3819,0.2210,3.2894,0.2393,3.3170,0.2205,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,46,3.3313,0.2258,3.2248,0.2503,3.2893,0.2229,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,47,3.3491,0.2186,3.2229,0.2602,3.2773,0.2249,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,48,3.2952,0.2366,3.2553,0.2467,3.2929,0.2240,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,49,3.3534,0.2184,3.2014,0.2527,3.2713,0.2276,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,50,3.5159,0.1984,3.3794,0.2241,3.2602,0.2304,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,51,3.3661,0.2194,3.2461,0.2433,3.2817,0.2282,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,52,3.3546,0.2190,3.2895,0.2392,3.2843,0.2265,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,53,3.3736,0.2174,3.2436,0.2464,3.2915,0.2266,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,54,3.4234,0.2050,3.2885,0.2401,3.2579,0.2300,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,55,3.3404,0.2182,3.2479,0.2455,3.2825,0.2256,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,56,3.3008,0.2464,3.2285,0.2607,3.2552,0.2302,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,57,3.3499,0.2246,3.2964,0.2387,3.2492,0.2328,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,58,3.4272,0.2224,3.3287,0.2395,3.2595,0.2323,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,59,3.3805,0.2150,3.2840,0.2448,3.2739,0.2297,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,60,2.9061,0.3042,2.8315,0.3236,2.8686,0.3020,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,61,2.8576,0.3134,2.7470,0.3413,2.6760,0.3360,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,62,2.8076,0.3240,2.6889,0.3488,2.5862,0.3501,-1.0000,-1.0000
cifar2_scheduler_ReduceLROnPlateau,63,2.7329,0.3346,2.6606,0.3558,2.5237,0.3644,-1.0000,-1.0000
