name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar_more_step_scheduler_OneCycleLR,1,4.0140,0.0824,3.9740,0.0816,4.3803,0.0379,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,2,3.6360,0.1378,3.6047,0.1444,3.8263,0.1073,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,3,3.3437,0.1948,3.3184,0.2010,3.5050,0.1618,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,4,3.1875,0.2146,3.1281,0.2317,3.2647,0.2010,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,5,3.0205,0.2438,2.9003,0.2720,3.0764,0.2368,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,6,2.8793,0.2726,2.7371,0.3064,2.9082,0.2695,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,7,2.7327,0.3072,2.6366,0.3235,2.7772,0.2950,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,8,2.6615,0.3286,2.5479,0.3483,2.6405,0.3217,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,9,2.5886,0.3346,2.5097,0.3569,2.5465,0.3419,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,10,2.5510,0.3504,2.3793,0.3850,2.4497,0.3622,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,11,2.4705,0.3574,2.3220,0.3996,2.3725,0.3782,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,12,2.4363,0.3734,2.2665,0.4090,2.3038,0.3968,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,13,2.3363,0.4044,2.2213,0.4174,2.2608,0.4008,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,14,2.3623,0.3922,2.2014,0.4159,2.1843,0.4210,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,15,2.3174,0.4026,2.1955,0.4267,2.1592,0.4239,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,16,2.3276,0.4016,2.2154,0.4317,2.0974,0.4419,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,17,2.3196,0.4000,2.1575,0.4367,2.0703,0.4449,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,18,2.3689,0.3880,2.1997,0.4334,2.0156,0.4555,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,19,2.3211,0.4092,2.1810,0.4460,1.9886,0.4656,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,20,2.2831,0.4150,2.1665,0.4468,1.9590,0.4716,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,21,2.3144,0.4102,2.1618,0.4471,1.9318,0.4754,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,22,2.3399,0.4038,2.2129,0.4333,1.9182,0.4811,-1.0000,-1.0000
cifar_more_step_scheduler_OneCycleLR,23,2.3195,0.4096,2.1967,0.4361,1.8821,0.4890,-1.0000,-1.0000
