name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar_scheduler_CosineAnnealingLR,1,3.9453,0.0886,3.9320,0.0953,4.1781,0.0574,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,2,3.8646,0.1046,3.8087,0.1069,3.9056,0.0950,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,3,3.8148,0.1136,3.7034,0.1382,3.7721,0.1177,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,4,3.7069,0.1390,3.6237,0.1491,3.6900,0.1329,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,5,3.5900,0.1646,3.5352,0.1763,3.6207,0.1448,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,6,3.5221,0.1658,3.4535,0.1799,3.5947,0.1502,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,7,3.6264,0.1556,3.5141,0.1772,3.5516,0.1587,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,8,3.5571,0.1738,3.4662,0.1900,3.5408,0.1623,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,9,3.5666,0.1682,3.4997,0.1869,3.4910,0.1726,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,10,3.5432,0.1660,3.4159,0.1877,3.4859,0.1752,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,11,3.5115,0.1816,3.3948,0.2006,3.4737,0.1768,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,12,3.5245,0.1814,3.4268,0.1933,3.4489,0.1843,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,13,3.4353,0.1934,3.3698,0.2080,3.4270,0.1885,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,14,3.4183,0.1948,3.3181,0.2073,3.3863,0.1927,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,15,3.4473,0.1910,3.3838,0.2067,3.3751,0.1945,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,16,3.3723,0.2016,3.2994,0.2243,3.3901,0.1937,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,17,3.4151,0.1910,3.3293,0.2033,3.3408,0.1996,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,18,3.3492,0.2048,3.2447,0.2304,3.3335,0.2026,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,19,3.4096,0.1982,3.2590,0.2239,3.3035,0.2127,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,20,3.3401,0.2172,3.2586,0.2361,3.2973,0.2132,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,21,3.3909,0.2160,3.2856,0.2365,3.2543,0.2206,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,22,3.3834,0.2050,3.2427,0.2402,3.2471,0.2210,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,23,3.3407,0.2134,3.2028,0.2453,3.2298,0.2245,-1.0000,-1.0000
cifar_scheduler_CosineAnnealingLR,24,3.2979,0.2158,3.1726,0.2440,3.2378,0.2235,-1.0000,-1.0000
