name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar2_scheduler_StepLR,1,3.8828,0.0930,3.8624,0.0993,4.1640,0.0603,-1.0000,-1.0000
cifar2_scheduler_StepLR,2,3.7557,0.1148,3.7052,0.1263,3.8586,0.1014,-1.0000,-1.0000
cifar2_scheduler_StepLR,3,3.7309,0.1272,3.6586,0.1434,3.7558,0.1211,-1.0000,-1.0000
cifar2_scheduler_StepLR,4,3.6465,0.1376,3.5897,0.1468,3.6950,0.1294,-1.0000,-1.0000
cifar2_scheduler_StepLR,5,3.6440,0.1486,3.6125,0.1511,3.6838,0.1333,-1.0000,-1.0000
cifar2_scheduler_StepLR,6,3.6085,0.1500,3.5385,0.1647,3.6386,0.1432,-1.0000,-1.0000
cifar2_scheduler_StepLR,7,3.6379,0.1588,3.5815,0.1635,3.6001,0.1528,-1.0000,-1.0000
cifar2_scheduler_StepLR,8,3.6313,0.1462,3.5017,0.1695,3.5737,0.1578,-1.0000,-1.0000
cifar2_scheduler_StepLR,9,3.5886,0.1650,3.4931,0.1771,3.5529,0.1608,-1.0000,-1.0000
cifar2_scheduler_StepLR,10,3.5784,0.1544,3.5087,0.1781,3.5368,0.1637,-1.0000,-1.0000
cifar2_scheduler_StepLR,11,3.6093,0.1644,3.4998,0.1786,3.5139,0.1659,-1.0000,-1.0000
cifar2_scheduler_StepLR,12,3.5131,0.1768,3.4028,0.1935,3.5283,0.1685,-1.0000,-1.0000
cifar2_scheduler_StepLR,13,3.5077,0.1752,3.4556,0.1903,3.4992,0.1736,-1.0000,-1.0000
cifar2_scheduler_StepLR,14,3.5600,0.1612,3.4365,0.1791,3.5100,0.1722,-1.0000,-1.0000
cifar2_scheduler_StepLR,15,3.5278,0.1700,3.4059,0.1885,3.4951,0.1765,-1.0000,-1.0000
cifar2_scheduler_StepLR,16,3.4560,0.1832,3.3663,0.1990,3.4779,0.1809,-1.0000,-1.0000
cifar2_scheduler_StepLR,17,3.4183,0.1968,3.3437,0.2107,3.4590,0.1824,-1.0000,-1.0000
cifar2_scheduler_StepLR,18,3.5596,0.1714,3.4615,0.1844,3.4599,0.1830,-1.0000,-1.0000
cifar2_scheduler_StepLR,19,3.4467,0.1864,3.3751,0.2021,3.4376,0.1873,-1.0000,-1.0000
cifar2_scheduler_StepLR,20,3.5723,0.1728,3.4582,0.1997,3.4396,0.1873,-1.0000,-1.0000
cifar2_scheduler_StepLR,21,3.5996,0.1734,3.5627,0.1870,3.4516,0.1882,-1.0000,-1.0000
cifar2_scheduler_StepLR,22,3.3632,0.2098,3.2837,0.2254,3.4261,0.1902,-1.0000,-1.0000
cifar2_scheduler_StepLR,23,3.5204,0.1788,3.4021,0.1972,3.4030,0.1932,-1.0000,-1.0000
cifar2_scheduler_StepLR,24,3.4441,0.1902,3.3126,0.2142,3.4027,0.1957,-1.0000,-1.0000
cifar2_scheduler_StepLR,25,3.5081,0.1936,3.3815,0.2182,3.4083,0.1937,-1.0000,-1.0000
cifar2_scheduler_StepLR,26,3.3928,0.2002,3.2941,0.2273,3.4198,0.1937,-1.0000,-1.0000
cifar2_scheduler_StepLR,27,3.4284,0.1996,3.2598,0.2254,3.3727,0.1992,-1.0000,-1.0000
cifar2_scheduler_StepLR,28,3.4962,0.1886,3.4072,0.2083,3.3626,0.2015,-1.0000,-1.0000
cifar2_scheduler_StepLR,29,3.4167,0.2090,3.2621,0.2347,3.3903,0.1974,-1.0000,-1.0000
cifar2_scheduler_StepLR,30,3.4306,0.1996,3.3255,0.2199,3.3661,0.2027,-1.0000,-1.0000
cifar2_scheduler_StepLR,31,2.9923,0.2746,2.9012,0.2938,2.9758,0.2726,-1.0000,-1.0000
cifar2_scheduler_StepLR,32,2.9452,0.2926,2.8109,0.3145,2.7918,0.3020,-1.0000,-1.0000
cifar2_scheduler_StepLR,33,2.8832,0.2958,2.7545,0.3241,2.6995,0.3229,-1.0000,-1.0000
cifar2_scheduler_StepLR,34,2.8270,0.3064,2.7194,0.3288,2.6503,0.3270,-1.0000,-1.0000
cifar2_scheduler_StepLR,35,2.7897,0.3134,2.6765,0.3413,2.5931,0.3412,-1.0000,-1.0000
cifar2_scheduler_StepLR,36,2.7964,0.3170,2.6443,0.3465,2.5464,0.3471,-1.0000,-1.0000
