round,val_loss,val_acc,test_loss,test_acc
1,4.6044,0.0132,4.6039,0.0146
2,4.6020,0.0138,4.6013,0.0170
3,4.5990,0.0166,4.5979,0.0198
4,4.5945,0.0082,4.5929,0.0103
5,4.5870,0.0150,4.5854,0.0178
6,4.5751,0.0194,4.5730,0.0191
7,4.5576,0.0234,4.5524,0.0289
8,4.5203,0.0278,4.5170,0.0308
9,4.4518,0.0406,4.4549,0.0428
10,4.3592,0.0518,4.3597,0.0496
11,4.2553,0.0530,4.2504,0.0592
12,4.1610,0.0658,4.1528,0.0719
13,4.1205,0.0700,4.1105,0.0747
14,4.0724,0.0760,4.0814,0.0749
15,4.0523,0.0852,4.0476,0.0820
16,4.0369,0.0854,4.0358,0.0829
17,4.0156,0.0842,3.9961,0.0914
18,4.0141,0.0864,3.9862,0.0883
19,3.9818,0.0910,3.9586,0.0962
20,3.9745,0.0912,3.9511,0.0956
21,3.9482,0.0908,3.9274,0.0995
22,3.9266,0.1028,3.9011,0.1022
23,3.9096,0.1006,3.8728,0.1119
24,3.8876,0.1086,3.8662,0.1107
25,3.8506,0.1064,3.8336,0.1129
26,3.8444,0.1120,3.8123,0.1206
27,3.8149,0.1158,3.7886,0.1237
28,3.8035,0.1176,3.7795,0.1236
29,3.7723,0.1236,3.7441,0.1279
30,3.7486,0.1306,3.7417,0.1290
31,3.7248,0.1314,3.7010,0.1385
32,3.7008,0.1370,3.6970,0.1352
33,3.6857,0.1366,3.6843,0.1399
34,3.6810,0.1428,3.6597,0.1439
35,3.6713,0.1346,3.6611,0.1409
36,3.6673,0.1392,3.6498,0.1465
37,3.6467,0.1398,3.6307,0.1524
38,3.6326,0.1518,3.6152,0.1514
39,3.6078,0.1492,3.5987,0.1525
40,3.6035,0.1514,3.5808,0.1610
41,3.5968,0.1560,3.5837,0.1608
42,3.5932,0.1560,3.5593,0.1656
43,3.5665,0.1688,3.5630,0.1629
44,3.5468,0.1614,3.5317,0.1699
45,3.5624,0.1612,3.5506,0.1653
46,3.5262,0.1678,3.5084,0.1776
47,3.5274,0.1688,3.4947,0.1783
48,3.5189,0.1698,3.4871,0.1776
49,3.5050,0.1722,3.4923,0.1720
50,3.4856,0.1790,3.4590,0.1841
51,3.4732,0.1830,3.4517,0.1844
52,3.4879,0.1762,3.4526,0.1792
53,3.4758,0.1782,3.4537,0.1796
54,3.4449,0.1776,3.4265,0.1888
55,3.4692,0.1864,3.4316,0.1863
56,3.4416,0.1890,3.4068,0.1953
57,3.4329,0.1844,3.4095,0.1942
58,3.4299,0.1920,3.4120,0.1939
59,3.3965,0.1948,3.3993,0.1933
60,3.3997,0.1928,3.3859,0.1998
61,3.4027,0.1856,3.3812,0.1935
62,3.3734,0.1996,3.3782,0.1978
63,3.3825,0.1986,3.3676,0.2062
64,3.3667,0.2026,3.3559,0.2057
65,3.3498,0.2008,3.3444,0.2073
66,3.3387,0.2034,3.3379,0.2067
67,3.3493,0.2064,3.3490,0.2061
68,3.3109,0.2066,3.3067,0.2075
69,3.3388,0.2078,3.3167,0.2062
70,3.3223,0.2074,3.3147,0.2146
71,3.3079,0.2140,3.3087,0.2092
72,3.3212,0.2066,3.3208,0.2115
73,3.2997,0.2138,3.2998,0.2164
74,3.3102,0.2120,3.2830,0.2189
75,3.3115,0.2140,3.2803,0.2210
76,3.2897,0.2120,3.2722,0.2214
77,3.2596,0.2214,3.2611,0.2278
78,3.2713,0.2226,3.2462,0.2252
79,3.2482,0.2348,3.2475,0.2257
80,3.2608,0.2210,3.2429,0.2264
81,3.2678,0.2246,3.2439,0.2241
82,3.2598,0.2260,3.2162,0.2296
83,3.2386,0.2302,3.2322,0.2237
84,3.2201,0.2322,3.2384,0.2259
85,3.2342,0.2286,3.2001,0.2335
86,3.2135,0.2304,3.1965,0.2323
87,3.2046,0.2342,3.1859,0.2327
