round,val_loss,val_acc,test_loss,test_acc
1,4.6035,0.0118,4.6039,0.0110
2,4.6008,0.0124,4.6012,0.0143
3,4.5973,0.0214,4.5973,0.0207
4,4.5917,0.0218,4.5908,0.0236
5,4.5819,0.0256,4.5804,0.0232
6,4.5629,0.0286,4.5615,0.0235
7,4.5317,0.0242,4.5301,0.0239
8,4.4842,0.0298,4.4838,0.0282
9,4.4022,0.0440,4.4017,0.0442
10,4.3090,0.0516,4.3127,0.0507
11,4.2031,0.0652,4.2115,0.0646
12,4.1501,0.0650,4.1426,0.0651
13,4.1054,0.0736,4.0911,0.0811
14,4.0981,0.0738,4.0789,0.0785
15,4.0780,0.0762,4.0696,0.0793
16,4.0535,0.0760,4.0315,0.0819
17,4.0287,0.0856,4.0105,0.0898
18,4.0073,0.0894,3.9972,0.0904
19,3.9933,0.0830,3.9649,0.0900
20,3.9775,0.0934,3.9710,0.0894
21,3.9573,0.0910,3.9395,0.0967
22,3.9387,0.1022,3.9151,0.1037
23,3.9164,0.1022,3.8987,0.1073
24,3.9154,0.1010,3.8864,0.1104
25,3.8866,0.0998,3.8556,0.1148
26,3.8645,0.1134,3.8230,0.1229
27,3.8551,0.1124,3.8234,0.1240
28,3.8327,0.1174,3.8071,0.1250
29,3.8181,0.1156,3.7859,0.1292
30,3.7939,0.1232,3.7676,0.1320
31,3.7938,0.1254,3.7627,0.1318
32,3.7707,0.1276,3.7399,0.1353
33,3.7440,0.1336,3.6981,0.1450
34,3.7447,0.1370,3.7160,0.1459
35,3.7250,0.1358,3.6991,0.1418
36,3.7040,0.1408,3.6690,0.1468
37,3.6804,0.1424,3.6368,0.1532
38,3.6767,0.1388,3.6336,0.1478
39,3.6623,0.1404,3.6320,0.1505
40,3.6396,0.1524,3.6018,0.1621
41,3.6414,0.1554,3.5924,0.1588
42,3.6122,0.1514,3.5876,0.1602
43,3.6035,0.1476,3.5871,0.1574
44,3.5909,0.1578,3.5615,0.1625
45,3.5790,0.1634,3.5577,0.1636
46,3.5742,0.1654,3.5335,0.1714
47,3.5604,0.1600,3.5359,0.1673
48,3.5292,0.1680,3.5194,0.1705
49,3.5240,0.1694,3.4957,0.1805
50,3.5214,0.1700,3.4974,0.1739
51,3.5160,0.1646,3.4950,0.1792
52,3.5034,0.1696,3.4798,0.1758
53,3.4879,0.1726,3.4699,0.1800
54,3.4885,0.1790,3.4617,0.1826
55,3.4643,0.1794,3.4485,0.1868
56,3.4665,0.1848,3.4297,0.1851
57,3.4460,0.1826,3.4221,0.1944
58,3.4320,0.1902,3.4138,0.1880
59,3.4403,0.1820,3.4108,0.1861
60,3.4227,0.1860,3.4028,0.1930
61,3.4193,0.1932,3.3931,0.1974
62,3.4249,0.1940,3.3951,0.1995
63,3.3827,0.1994,3.3645,0.2030
64,3.3877,0.2010,3.3680,0.1982
65,3.3682,0.2024,3.3608,0.2045
66,3.3741,0.2008,3.3689,0.1975
67,3.3576,0.1884,3.3449,0.2040
68,3.3497,0.2014,3.3126,0.2107
69,3.3343,0.2136,3.3142,0.2136
70,3.3196,0.2106,3.3288,0.2092
71,3.3127,0.2052,3.3265,0.2098
72,3.3058,0.2120,3.3082,0.2167
73,3.2789,0.2156,3.2765,0.2179
74,3.3237,0.2088,3.2858,0.2177
75,3.2647,0.2152,3.2700,0.2207
76,3.2771,0.2210,3.2799,0.2149
77,3.2742,0.2206,3.2585,0.2258
78,3.2455,0.2250,3.2337,0.2273
79,3.2491,0.2150,3.2500,0.2236
80,3.2782,0.2152,3.2358,0.2284
81,3.2449,0.2264,3.2488,0.2243
82,3.2428,0.2186,3.2430,0.2282
83,3.2361,0.2268,3.2121,0.2328
84,3.2317,0.2320,3.2116,0.2335
85,3.1991,0.2358,3.2276,0.2274
86,3.1942,0.2312,3.1857,0.2350
87,3.2125,0.2252,3.2024,0.2329
88,3.1961,0.2322,3.1880,0.2391
89,3.1750,0.2416,3.1783,0.2352
90,3.1999,0.2360,3.1998,0.2339
91,3.1867,0.2496,3.1580,0.2385
92,3.1519,0.2384,3.1270,0.2465
93,3.1791,0.2416,3.1722,0.2352
94,3.1451,0.2328,3.1478,0.2444
95,3.1700,0.2386,3.1734,0.2417
96,3.1405,0.2430,3.1444,0.2472
97,3.1302,0.2488,3.1210,0.2498
98,3.1546,0.2426,3.1512,0.2423
99,3.1454,0.2546,3.1430,0.2498
100,3.1270,0.2428,3.1108,0.2539
101,3.1196,0.2500,3.1131,0.2510
102,3.1182,0.2498,3.1075,0.2555
103,3.1295,0.2520,3.1066,0.2537
104,3.0920,0.2544,3.0979,0.2540
105,3.0814,0.2594,3.0998,0.2543
106,3.0972,0.2546,3.1189,0.2551
107,3.0714,0.2542,3.0728,0.2592
108,3.0789,0.2566,3.0673,0.2612
109,3.0975,0.2610,3.0653,0.2620
110,3.0848,0.2526,3.0946,0.2603
111,3.0694,0.2554,3.0505,0.2665
112,3.1028,0.2528,3.0865,0.2610
113,3.0681,0.2566,3.0433,0.2715
114,3.0928,0.2612,3.0569,0.2629
115,3.0744,0.2674,3.0649,0.2659
116,3.0734,0.2602,3.0589,0.2697
117,3.0651,0.2590,3.0621,0.2677
118,3.0490,0.2638,3.0157,0.2713
119,3.0322,0.2778,3.0274,0.2744
120,3.0456,0.2722,3.0269,0.2778
121,3.0662,0.2688,3.0344,0.2760
122,3.0440,0.2704,3.0169,0.2739
123,3.0652,0.2702,3.0202,0.2759
124,3.0459,0.2712,3.0190,0.2771
125,3.0483,0.2652,3.0153,0.2782
126,3.0481,0.2740,3.0136,0.2813
127,3.0509,0.2678,2.9907,0.2852
128,3.0615,0.2680,2.9961,0.2791
129,3.0328,0.2808,3.0075,0.2820
130,3.0735,0.2676,3.0353,0.2806
131,3.0788,0.2616,3.0135,0.2785
132,3.0503,0.2682,3.0105,0.2815
133,3.0591,0.2746,3.0005,0.2786
134,3.0112,0.2764,2.9899,0.2784
135,3.0167,0.2728,2.9747,0.2919
136,3.0277,0.2768,2.9972,0.2816
137,3.0107,0.2840,2.9804,0.2875
138,3.0192,0.2776,2.9780,0.2880
139,2.9975,0.2872,2.9850,0.2840
140,2.9657,0.2924,2.9509,0.2899
141,2.9963,0.2870,2.9613,0.2929
142,3.0116,0.2806,2.9422,0.2915
143,2.9777,0.2778,2.9336,0.2934
144,2.9944,0.2872,2.9513,0.2947
145,3.0016,0.2854,2.9392,0.2942
146,3.0012,0.2740,2.9537,0.2932
147,2.9998,0.2800,2.9568,0.2906
148,2.9731,0.2882,2.9447,0.2879
149,2.9693,0.2862,2.9179,0.2992
150,2.9936,0.2854,2.9260,0.2927
151,2.9805,0.2900,2.9225,0.2936
152,2.9956,0.2822,2.9366,0.2945
153,2.9677,0.2836,2.9305,0.2950
154,2.9938,0.2796,2.9373,0.2966
155,2.9483,0.2890,2.9021,0.2993
156,2.9667,0.2908,2.9134,0.3008
157,2.9731,0.2894,2.9471,0.2929
158,3.0173,0.2910,2.9236,0.3013
159,2.9666,0.2910,2.8864,0.3112
160,2.9939,0.2834,2.9169,0.3036
161,2.9476,0.2928,2.8758,0.3072
162,2.9363,0.2916,2.8950,0.3039
163,2.9634,0.2906,2.8998,0.3045
164,2.9621,0.2924,2.9061,0.3085
165,2.9818,0.2884,2.9130,0.3046
166,2.9460,0.2960,2.8914,0.3040
167,2.9261,0.2912,2.8704,0.3051
168,2.9512,0.2960,2.8911,0.3029
169,2.9460,0.2918,2.8764,0.3041
170,2.9182,0.3008,2.9056,0.3017
171,2.8901,0.3034,2.8709,0.3076
172,2.9688,0.2878,2.9018,0.3077
173,2.9154,0.2968,2.8627,0.3129
174,2.9932,0.2952,2.8985,0.3112
175,2.9039,0.3030,2.8427,0.3152
176,2.9388,0.3056,2.8790,0.3088
177,2.9422,0.2994,2.8845,0.3095
178,2.9158,0.2956,2.8776,0.3056
179,2.9038,0.3126,2.8638,0.3071
180,2.9397,0.3058,2.8794,0.3110
181,2.9441,0.2898,2.8620,0.3115
182,2.9160,0.3000,2.8311,0.3168
183,2.9315,0.2962,2.8707,0.3140
184,2.9217,0.3034,2.8714,0.3116
185,2.9263,0.3040,2.8529,0.3152
186,2.9134,0.3054,2.8554,0.3102
187,2.9235,0.3012,2.8637,0.3136
188,2.9047,0.3000,2.8422,0.3124
189,2.9403,0.3076,2.8513,0.3173
190,2.9286,0.3028,2.8403,0.3214
191,2.9007,0.3066,2.8381,0.3183
192,2.8691,0.3080,2.8122,0.3216
193,2.9573,0.3092,2.8468,0.3260
194,2.9056,0.2998,2.8086,0.3203
195,2.9005,0.3016,2.8267,0.3265
196,2.9275,0.3090,2.8248,0.3226
197,2.9356,0.3044,2.8528,0.3218
198,2.9125,0.3038,2.8416,0.3244
199,2.9106,0.3126,2.8122,0.3253
200,2.8879,0.3072,2.8017,0.3249
201,2.8648,0.3158,2.7890,0.3318
202,2.9166,0.3116,2.8284,0.3280
203,2.8800,0.3118,2.8133,0.3259
204,2.8935,0.3156,2.8161,0.3269
205,2.9143,0.3134,2.8153,0.3255
206,2.8973,0.3088,2.8311,0.3270
207,2.8634,0.3118,2.8294,0.3219
208,2.9405,0.3100,2.8492,0.3237
209,2.8862,0.3124,2.7801,0.3264
210,2.8787,0.3140,2.7930,0.3299
211,2.8724,0.3142,2.8278,0.3272
212,2.8795,0.3136,2.7926,0.3319
213,2.8981,0.3202,2.8018,0.3343
214,2.8598,0.3184,2.7814,0.3311
215,2.8852,0.3104,2.8105,0.3276
216,2.8619,0.3130,2.7705,0.3334
217,2.8873,0.3214,2.8074,0.3287
218,2.8797,0.3208,2.7852,0.3389
219,2.8885,0.3146,2.8036,0.3295
220,2.8343,0.3184,2.7715,0.3358
221,2.8746,0.3130,2.7634,0.3346
222,2.8612,0.3198,2.7954,0.3325
223,2.8508,0.3272,2.7843,0.3350
224,2.8414,0.3246,2.7532,0.3335
225,2.8916,0.3194,2.7943,0.3386
226,2.8548,0.3168,2.7490,0.3414
227,2.8410,0.3254,2.7784,0.3352
228,2.9252,0.3206,2.7933,0.3416
229,2.8644,0.3260,2.7795,0.3394
230,2.8723,0.3176,2.7757,0.3399
231,2.8876,0.3198,2.7824,0.3381
232,2.8457,0.3202,2.7505,0.3400
233,2.8629,0.3200,2.7917,0.3377
234,2.8831,0.3186,2.7636,0.3389
235,2.8398,0.3300,2.7565,0.3432
236,2.8537,0.3260,2.7579,0.3409
237,2.8395,0.3270,2.7491,0.3431
238,2.8584,0.3216,2.7651,0.3465
239,2.8608,0.3298,2.7441,0.3451
240,2.8356,0.3330,2.7595,0.3430
241,2.8198,0.3316,2.7271,0.3468
242,2.8154,0.3298,2.7318,0.3482
243,2.8437,0.3304,2.7244,0.3479
244,2.8448,0.3328,2.7718,0.3455
245,2.8328,0.3254,2.7590,0.3450
246,2.8333,0.3232,2.7358,0.3527
247,2.8198,0.3348,2.7322,0.3502
248,2.8426,0.3262,2.7192,0.3500
249,2.8103,0.3290,2.7450,0.3532
250,2.8433,0.3244,2.7208,0.3506
251,2.7983,0.3364,2.7349,0.3539
252,2.7950,0.3306,2.7088,0.3499
253,2.8250,0.3326,2.7272,0.3524
254,2.7846,0.3372,2.7268,0.3481
255,2.8036,0.3302,2.7491,0.3510
256,2.7821,0.3378,2.7074,0.3571
257,2.7853,0.3402,2.6952,0.3557
258,2.8415,0.3288,2.7223,0.3541
259,2.8139,0.3368,2.7274,0.3516
260,2.8234,0.3324,2.7181,0.3556
261,2.8115,0.3368,2.7105,0.3607
262,2.8346,0.3386,2.7232,0.3623
263,2.7954,0.3320,2.6985,0.3588
264,2.8475,0.3308,2.7288,0.3532
265,2.8201,0.3374,2.7098,0.3560
266,2.8410,0.3356,2.7412,0.3542
267,2.8173,0.3414,2.6937,0.3627
268,2.8108,0.3274,2.7214,0.3515
269,2.8015,0.3428,2.7130,0.3597
270,2.7559,0.3438,2.6785,0.3583
271,2.8293,0.3294,2.7163,0.3596
272,2.7584,0.3402,2.6893,0.3600
273,2.8376,0.3392,2.7323,0.3578
274,2.7602,0.3524,2.6832,0.3621
275,2.7670,0.3458,2.6985,0.3594
276,2.8011,0.3450,2.7124,0.3657
277,2.7955,0.3394,2.6792,0.3579
278,2.8006,0.3490,2.6902,0.3684
279,2.8052,0.3400,2.7156,0.3605
280,2.8130,0.3356,2.7371,0.3576
281,2.7631,0.3446,2.6788,0.3682
282,2.7519,0.3386,2.6800,0.3661
283,2.7864,0.3518,2.7083,0.3676
284,2.7965,0.3492,2.7061,0.3636
285,2.7857,0.3432,2.7130,0.3604
286,2.7817,0.3524,2.6927,0.3630
287,2.7714,0.3534,2.6850,0.3643
288,2.7716,0.3510,2.6674,0.3665
289,2.8065,0.3492,2.7002,0.3665
290,2.7816,0.3440,2.6712,0.3643
291,2.7807,0.3508,2.7008,0.3617
292,2.7690,0.3406,2.6931,0.3636
293,2.7982,0.3456,2.6695,0.3699
294,2.7806,0.3434,2.6884,0.3692
295,2.7821,0.3482,2.6791,0.3674
296,2.8119,0.3484,2.7076,0.3673
297,2.7714,0.3456,2.6775,0.3646
298,2.8092,0.3508,2.7005,0.3617
299,2.7824,0.3448,2.6953,0.3653
300,2.7634,0.3552,2.6606,0.3685
301,2.7839,0.3532,2.6956,0.3694
302,2.7419,0.3434,2.6420,0.3706
303,2.7663,0.3540,2.6538,0.3762
304,2.7745,0.3542,2.6875,0.3721
305,2.7081,0.3488,2.6237,0.3729
306,2.7496,0.3554,2.6789,0.3682
307,2.7643,0.3552,2.6945,0.3756
308,2.7659,0.3464,2.6531,0.3760
309,2.7685,0.3512,2.6571,0.3690
310,2.7460,0.3606,2.6426,0.3804
311,2.7611,0.3522,2.6542,0.3752
312,2.7701,0.3506,2.6844,0.3798
313,2.7733,0.3506,2.6673,0.3755
314,2.7597,0.3414,2.6941,0.3719
315,2.7704,0.3546,2.6565,0.3797
316,2.8080,0.3566,2.7074,0.3763
317,2.7541,0.3596,2.6593,0.3770
318,2.7987,0.3446,2.6669,0.3738
319,2.8011,0.3508,2.7097,0.3730
320,2.7918,0.3482,2.6899,0.3734
321,2.8298,0.3584,2.7088,0.3753
322,2.7961,0.3516,2.6997,0.3740
323,2.7520,0.3492,2.6488,0.3742
324,2.7459,0.3508,2.6178,0.3806
325,2.7510,0.3500,2.6707,0.3744
326,2.7712,0.3592,2.6681,0.3740
327,2.7597,0.3590,2.6747,0.3756
328,2.7556,0.3564,2.6570,0.3790
329,2.7808,0.3524,2.6874,0.3781
330,2.7801,0.3602,2.6766,0.3766
331,2.7427,0.3542,2.6355,0.3793
332,2.7977,0.3526,2.7058,0.3762
333,2.7521,0.3628,2.6697,0.3781
334,2.7954,0.3556,2.6776,0.3829
335,2.7760,0.3602,2.6571,0.3805
336,2.7931,0.3494,2.6684,0.3821
337,2.7339,0.3680,2.6376,0.3819
338,2.7803,0.3618,2.7237,0.3790
339,2.7740,0.3498,2.6451,0.3796
340,2.7480,0.3580,2.6680,0.3799
341,2.7624,0.3580,2.6369,0.3795
342,2.7909,0.3622,2.6575,0.3830
343,2.7662,0.3604,2.7049,0.3788
344,2.7835,0.3636,2.6971,0.3810
345,2.7581,0.3534,2.6466,0.3838
346,2.8094,0.3538,2.7035,0.3762
347,2.7981,0.3620,2.7096,0.3790
348,2.7585,0.3608,2.6561,0.3834
349,2.7783,0.3624,2.6857,0.3807
350,2.7693,0.3608,2.6674,0.3845
351,2.7599,0.3592,2.6623,0.3859
352,2.7533,0.3598,2.6465,0.3908
353,2.8050,0.3556,2.6924,0.3850
354,2.7943,0.3676,2.6840,0.3858
355,2.7651,0.3576,2.6705,0.3835
356,2.7888,0.3598,2.6802,0.3840
357,2.8259,0.3656,2.7166,0.3821
358,2.7711,0.3562,2.6560,0.3891
359,2.7901,0.3628,2.6703,0.3860
360,2.7733,0.3592,2.6753,0.3867
361,2.7824,0.3572,2.6806,0.3817
362,2.7798,0.3650,2.6964,0.3848
363,2.7930,0.3568,2.6841,0.3808
364,2.7903,0.3642,2.6908,0.3812
365,2.7631,0.3622,2.6795,0.3881
366,2.7139,0.3606,2.6439,0.3785
367,2.6975,0.3648,2.5985,0.3883
368,2.7680,0.3756,2.6718,0.3871
369,2.7507,0.3650,2.6588,0.3835
370,2.7366,0.3746,2.6657,0.3896
371,2.7190,0.3630,2.6205,0.3830
372,2.7476,0.3666,2.6519,0.3894
373,2.7656,0.3644,2.6547,0.3890
374,2.7741,0.3596,2.6508,0.3847
375,2.7626,0.3616,2.6512,0.3845
376,2.7742,0.3690,2.6510,0.3919
377,2.7396,0.3728,2.6790,0.3891
378,2.7535,0.3664,2.6330,0.3911
379,2.7714,0.3722,2.6640,0.3946
380,2.7912,0.3678,2.6635,0.3929
381,2.7288,0.3646,2.6195,0.3910
382,2.7695,0.3706,2.6277,0.3950
383,2.7198,0.3686,2.6408,0.3956
384,2.7527,0.3690,2.6336,0.3914
385,2.7868,0.3718,2.6572,0.3891
386,2.7617,0.3690,2.6109,0.3966
387,2.7393,0.3734,2.6320,0.3952
388,2.7331,0.3756,2.6449,0.3937
389,2.7804,0.3734,2.6270,0.3955
390,2.7732,0.3636,2.6303,0.3928
391,2.7624,0.3650,2.6318,0.3991
392,2.7288,0.3730,2.6515,0.3948
393,2.7579,0.3724,2.6414,0.3968
394,2.7790,0.3736,2.6859,0.3890
395,2.7818,0.3780,2.6500,0.3960
396,2.7129,0.3652,2.6409,0.3857
397,2.7777,0.3694,2.6658,0.3949
398,2.7835,0.3746,2.6874,0.3911
399,2.7785,0.3742,2.6911,0.3942
400,2.7442,0.3676,2.6662,0.3902
401,2.7916,0.3694,2.6812,0.3957
402,2.7865,0.3618,2.6645,0.3978
403,2.7607,0.3718,2.6482,0.3946
404,2.7740,0.3618,2.6906,0.3913
405,2.7896,0.3660,2.6987,0.3905
406,2.7215,0.3708,2.6528,0.3936
407,2.7439,0.3718,2.6588,0.3928
408,2.7370,0.3704,2.6358,0.3922
409,2.7877,0.3692,2.6779,0.3992
410,2.7623,0.3798,2.6550,0.3944
411,2.7808,0.3744,2.6786,0.4003
412,2.7924,0.3706,2.6814,0.3944
413,2.8026,0.3680,2.6857,0.3953
414,2.7840,0.3704,2.6652,0.3982
415,2.7637,0.3710,2.6651,0.3976
416,2.7182,0.3720,2.6480,0.3931
417,2.7479,0.3716,2.6592,0.3970
418,2.7877,0.3772,2.6995,0.3928
419,2.7307,0.3698,2.6730,0.3873
420,2.7545,0.3808,2.6747,0.3997
421,2.7531,0.3810,2.6455,0.4007
422,2.7797,0.3736,2.6809,0.3974
423,2.7259,0.3800,2.6571,0.3962
424,2.7795,0.3752,2.6721,0.4025
425,2.7535,0.3760,2.6524,0.3978
426,2.7655,0.3804,2.6591,0.3994
427,2.7845,0.3802,2.6924,0.3997
428,2.7675,0.3810,2.6641,0.3969
429,2.7665,0.3728,2.6668,0.3983
430,2.7691,0.3752,2.6685,0.3999
431,2.7521,0.3712,2.6760,0.3988
432,2.7278,0.3894,2.6713,0.4004
433,2.7594,0.3692,2.6679,0.3975
434,2.7529,0.3768,2.6908,0.3994
435,2.7620,0.3720,2.6923,0.4002
436,2.7657,0.3804,2.6750,0.4023
437,2.7411,0.3840,2.6764,0.4045
438,2.7138,0.3776,2.6633,0.4018
439,2.7495,0.3826,2.6622,0.4018
440,2.7585,0.3802,2.6600,0.4049
441,2.7882,0.3878,2.6966,0.4047
442,2.7532,0.3812,2.6625,0.4029
443,2.7122,0.3776,2.6457,0.4015
444,2.7988,0.3848,2.7280,0.4016
445,2.7816,0.3714,2.6660,0.4022
446,2.7746,0.3838,2.6842,0.4081
447,2.7671,0.3808,2.7096,0.4046
