round,val_loss,val_acc,test_loss,test_acc
1,4.6049,0.0072,4.6049,0.0093
2,4.6028,0.0128,4.6026,0.0122
3,4.6000,0.0146,4.5995,0.0145
4,4.5958,0.0160,4.5947,0.0175
5,4.5880,0.0236,4.5862,0.0212
6,4.5727,0.0230,4.5708,0.0242
7,4.5428,0.0260,4.5406,0.0250
8,4.4861,0.0356,4.4934,0.0325
9,4.4300,0.0374,4.4316,0.0434
10,4.3565,0.0508,4.3505,0.0542
11,4.2570,0.0626,4.2529,0.0656
12,4.1802,0.0684,4.1773,0.0700
13,4.1216,0.0768,4.1128,0.0809
14,4.0906,0.0894,4.0887,0.0846
15,4.0839,0.0826,4.0641,0.0875
16,4.0523,0.0884,4.0395,0.0864
17,4.0284,0.0954,4.0184,0.0923
18,3.9961,0.0970,3.9904,0.0935
19,3.9941,0.0976,3.9843,0.0972
20,3.9745,0.1010,3.9562,0.0992
21,3.9434,0.1070,3.9263,0.1092
22,3.9342,0.1082,3.9249,0.1053
23,3.9178,0.1114,3.8990,0.1141
24,3.9079,0.1078,3.8759,0.1164
25,3.8779,0.1128,3.8447,0.1237
26,3.8838,0.1214,3.8425,0.1282
27,3.8674,0.1232,3.8243,0.1290
28,3.8558,0.1270,3.8128,0.1312
29,3.8444,0.1234,3.8017,0.1362
30,3.8440,0.1356,3.8057,0.1337
31,3.8189,0.1298,3.7881,0.1368
32,3.8134,0.1344,3.7837,0.1402
33,3.8099,0.1364,3.7736,0.1431
34,3.8071,0.1418,3.7707,0.1437
35,3.8070,0.1442,3.7625,0.1471
36,3.8009,0.1434,3.7798,0.1504
37,3.7843,0.1444,3.7434,0.1482
38,3.7943,0.1534,3.7615,0.1516
39,3.7936,0.1466,3.7640,0.1503
40,3.7904,0.1502,3.7890,0.1530
41,3.7966,0.1574,3.7564,0.1574
42,3.7854,0.1552,3.7494,0.1590
43,3.7951,0.1488,3.7673,0.1560
44,3.7817,0.1534,3.7484,0.1589
45,3.8188,0.1566,3.7863,0.1564
46,3.8041,0.1570,3.7648,0.1639
47,3.8099,0.1572,3.7651,0.1663
48,3.8030,0.1600,3.7858,0.1652
49,3.8287,0.1580,3.8033,0.1636
50,3.8423,0.1600,3.7997,0.1675
51,3.8111,0.1632,3.8065,0.1629
52,3.8482,0.1632,3.8084,0.1705
53,3.8348,0.1664,3.8136,0.1680
54,3.8307,0.1656,3.8113,0.1666
55,3.8500,0.1662,3.8162,0.1702
56,3.8870,0.1678,3.8547,0.1693
57,3.8662,0.1704,3.8416,0.1741
58,3.9047,0.1656,3.8744,0.1701
59,3.8692,0.1724,3.8695,0.1701
60,3.9347,0.1684,3.8801,0.1732
61,3.9027,0.1688,3.8798,0.1727
62,3.9267,0.1668,3.9195,0.1712
63,3.9523,0.1746,3.9649,0.1756
64,3.9882,0.1742,3.9590,0.1749
65,3.9849,0.1720,3.9595,0.1737
66,4.0094,0.1728,3.9826,0.1765
67,4.0281,0.1676,4.0022,0.1771
68,4.0278,0.1714,4.0166,0.1758
69,4.0235,0.1748,4.0284,0.1745
70,4.0765,0.1676,4.0768,0.1730
71,4.0205,0.1772,4.0369,0.1791
72,4.0695,0.1726,4.0899,0.1706
73,4.1078,0.1740,4.1298,0.1786
74,4.1148,0.1732,4.1213,0.1794
75,4.1272,0.1718,4.1637,0.1788
76,4.1095,0.1718,4.1141,0.1783
77,4.2191,0.1748,4.2406,0.1807
78,4.2048,0.1752,4.1939,0.1785
79,4.2315,0.1720,4.2375,0.1807
80,4.2875,0.1676,4.2822,0.1789
81,4.2985,0.1746,4.3247,0.1782
82,4.2445,0.1694,4.2791,0.1758
83,4.2996,0.1760,4.3599,0.1800
84,4.3141,0.1728,4.3726,0.1791
85,4.3195,0.1768,4.3805,0.1799
86,4.4424,0.1746,4.4268,0.1803
87,4.4280,0.1740,4.4682,0.1846
88,4.4580,0.1642,4.4829,0.1804
89,4.4145,0.1792,4.4380,0.1872
90,4.4877,0.1728,4.5459,0.1792
91,4.4812,0.1796,4.5533,0.1834
92,4.5686,0.1724,4.5975,0.1797
93,4.6345,0.1734,4.6797,0.1798
94,4.5654,0.1766,4.6229,0.1848
95,4.5914,0.1738,4.6411,0.1825
96,4.6384,0.1740,4.6869,0.1842
97,4.6549,0.1776,4.7258,0.1832
98,4.6846,0.1798,4.7332,0.1864
99,4.7092,0.1720,4.7558,0.1848
100,4.7866,0.1722,4.8931,0.1828
101,4.6523,0.1792,4.8013,0.1839
102,4.7889,0.1830,4.8770,0.1894
103,4.7540,0.1804,4.8480,0.1859
104,4.8178,0.1734,4.9425,0.1816
105,4.8461,0.1768,4.9400,0.1854
106,4.8559,0.1808,4.9454,0.1857
107,4.9258,0.1806,5.0681,0.1868
108,4.8737,0.1772,4.9859,0.1838
