round,val_loss,val_acc,test_loss,test_acc
1,4.6038,0.0142,4.6037,0.0128
2,4.6002,0.0164,4.6006,0.0147
3,4.5949,0.0186,4.5956,0.0191
4,4.5861,0.0252,4.5869,0.0213
5,4.5696,0.0236,4.5707,0.0227
6,4.5410,0.0230,4.5437,0.0225
7,4.4907,0.0326,4.4938,0.0305
8,4.4167,0.0430,4.4172,0.0387
9,4.3200,0.0466,4.3207,0.0491
10,4.2161,0.0592,4.2141,0.0633
11,4.1658,0.0616,4.1586,0.0672
12,4.1264,0.0702,4.1165,0.0710
13,4.0927,0.0752,4.0883,0.0818
14,4.0779,0.0824,4.0685,0.0841
15,4.0529,0.0912,4.0417,0.0882
16,4.0465,0.0878,4.0317,0.0940
17,4.0207,0.0932,4.0006,0.0962
18,4.0128,0.0978,3.9912,0.0991
19,3.9979,0.0938,3.9674,0.1013
20,3.9804,0.1056,3.9521,0.1051
21,3.9654,0.1052,3.9424,0.1047
22,3.9685,0.1096,3.9286,0.1106
23,3.9713,0.1076,3.9272,0.1102
24,3.9407,0.1176,3.9203,0.1158
25,3.9107,0.1190,3.9022,0.1203
26,3.9174,0.1210,3.8923,0.1222
27,3.9000,0.1174,3.8772,0.1206
28,3.9006,0.1202,3.8795,0.1248
29,3.8926,0.1236,3.8699,0.1273
30,3.8998,0.1254,3.8560,0.1300
31,3.8647,0.1314,3.8484,0.1325
32,3.8484,0.1324,3.8293,0.1341
33,3.8547,0.1374,3.8590,0.1340
34,3.8186,0.1368,3.8139,0.1442
35,3.8678,0.1362,3.8510,0.1409
36,3.8072,0.1416,3.8091,0.1446
37,3.8343,0.1390,3.8379,0.1442
38,3.8089,0.1434,3.7912,0.1485
39,3.8287,0.1404,3.8379,0.1457
40,3.8208,0.1440,3.8051,0.1515
41,3.8222,0.1486,3.8111,0.1516
42,3.7916,0.1510,3.7967,0.1524
43,3.8173,0.1532,3.8157,0.1555
44,3.8094,0.1506,3.8063,0.1566
45,3.8163,0.1512,3.8051,0.1631
46,3.8180,0.1538,3.8105,0.1608
47,3.7757,0.1628,3.7826,0.1685
48,3.7836,0.1590,3.7988,0.1647
49,3.7960,0.1606,3.8224,0.1635
50,3.7984,0.1594,3.8084,0.1645
51,3.8159,0.1618,3.8131,0.1713
52,3.8269,0.1598,3.8232,0.1688
53,3.8305,0.1672,3.8538,0.1681
54,3.7935,0.1664,3.8088,0.1688
55,3.8317,0.1650,3.8757,0.1701
56,3.7971,0.1672,3.8245,0.1708
57,3.8596,0.1644,3.8858,0.1737
58,3.8417,0.1704,3.8574,0.1760
59,3.8383,0.1666,3.8664,0.1763
60,3.8763,0.1712,3.9066,0.1753
61,3.8340,0.1730,3.8559,0.1778
62,3.8857,0.1756,3.9243,0.1778
63,3.9022,0.1824,3.9401,0.1799
64,3.8797,0.1678,3.9154,0.1805
65,3.9305,0.1766,3.9525,0.1800
66,3.9009,0.1766,3.9396,0.1795
67,3.9226,0.1732,3.9757,0.1768
68,3.9453,0.1712,3.9946,0.1798
69,3.9892,0.1720,4.0297,0.1807
70,3.9548,0.1692,4.0168,0.1795
71,3.9735,0.1700,4.0405,0.1777
72,4.0504,0.1758,4.1116,0.1828
73,3.9784,0.1764,4.0390,0.1845
74,4.0490,0.1750,4.1365,0.1813
75,4.0318,0.1892,4.0947,0.1838
76,4.0434,0.1718,4.0991,0.1823
77,4.0895,0.1752,4.1699,0.1850
78,4.1243,0.1774,4.1721,0.1824
79,4.0878,0.1770,4.1835,0.1885
80,4.1796,0.1794,4.2567,0.1824
81,4.1864,0.1702,4.2382,0.1794
82,4.1798,0.1748,4.2644,0.1871
83,4.1954,0.1742,4.2816,0.1856
84,4.1937,0.1814,4.2998,0.1847
85,4.2319,0.1798,4.3605,0.1830
86,4.2652,0.1830,4.3762,0.1847
87,4.3028,0.1770,4.4024,0.1898
88,4.3500,0.1828,4.4723,0.1842
89,4.3023,0.1824,4.4009,0.1849
90,4.3863,0.1732,4.4748,0.1845
