round,val_loss,val_acc,test_loss,test_acc
1,4.6048,0.0100,4.6049,0.0124
2,4.6028,0.0122,4.6029,0.0129
3,4.6005,0.0112,4.6002,0.0120
4,4.5961,0.0116,4.5957,0.0127
5,4.5875,0.0150,4.5869,0.0149
6,4.5730,0.0180,4.5723,0.0191
7,4.5438,0.0226,4.5428,0.0226
8,4.4888,0.0300,4.4940,0.0310
9,4.4238,0.0402,4.4228,0.0427
10,4.3340,0.0566,4.3251,0.0581
11,4.2223,0.0664,4.2164,0.0688
12,4.1463,0.0726,4.1448,0.0749
13,4.1027,0.0746,4.0897,0.0823
14,4.0739,0.0838,4.0694,0.0815
15,4.0599,0.0826,4.0357,0.0850
16,4.0276,0.0884,4.0156,0.0881
17,4.0083,0.0878,3.9912,0.0939
18,3.9817,0.0914,3.9726,0.0956
19,3.9730,0.0966,3.9547,0.0977
20,3.9501,0.1002,3.9280,0.1042
21,3.9255,0.1048,3.9012,0.1071
22,3.9008,0.1078,3.8790,0.1151
23,3.8882,0.1100,3.8647,0.1164
24,3.8900,0.1172,3.8586,0.1189
25,3.8526,0.1166,3.8154,0.1264
26,3.8489,0.1236,3.8202,0.1303
27,3.8189,0.1326,3.7924,0.1353
28,3.8200,0.1334,3.7847,0.1339
29,3.8162,0.1260,3.7928,0.1365
30,3.7927,0.1294,3.7772,0.1390
31,3.8012,0.1338,3.7774,0.1415
32,3.7824,0.1340,3.7662,0.1444
33,3.7634,0.1412,3.7238,0.1530
34,3.7690,0.1452,3.7548,0.1509
35,3.7734,0.1430,3.7458,0.1517
36,3.7709,0.1432,3.7477,0.1518
37,3.7576,0.1518,3.7462,0.1577
38,3.7731,0.1456,3.7543,0.1579
39,3.7579,0.1528,3.7468,0.1603
40,3.7664,0.1466,3.7593,0.1575
41,3.7767,0.1516,3.7632,0.1601
42,3.7388,0.1574,3.7265,0.1641
43,3.7850,0.1478,3.7678,0.1659
44,3.7767,0.1544,3.7607,0.1669
45,3.7920,0.1552,3.7660,0.1662
46,3.7823,0.1636,3.7717,0.1700
47,3.7922,0.1624,3.7766,0.1660
48,3.8067,0.1602,3.7963,0.1697
49,3.8183,0.1628,3.8079,0.1692
50,3.8166,0.1708,3.8051,0.1735
51,3.8260,0.1632,3.8011,0.1753
52,3.8079,0.1688,3.8003,0.1755
53,3.8397,0.1602,3.8726,0.1703
54,3.8433,0.1648,3.8313,0.1787
55,3.8649,0.1686,3.8626,0.1774
56,3.8541,0.1704,3.8511,0.1763
57,3.8777,0.1734,3.8899,0.1794
58,3.8799,0.1780,3.8779,0.1788
59,3.8651,0.1716,3.8866,0.1785
60,3.8930,0.1694,3.8960,0.1783
61,3.9645,0.1784,3.9712,0.1802
62,3.9400,0.1738,3.9390,0.1837
63,3.9827,0.1706,3.9922,0.1764
64,3.9461,0.1774,3.9614,0.1823
65,4.0345,0.1746,4.0540,0.1793
66,3.9793,0.1804,4.0026,0.1865
67,4.0230,0.1770,4.0324,0.1817
68,4.0336,0.1796,4.0694,0.1858
69,3.9925,0.1866,4.0125,0.1861
70,4.0426,0.1866,4.0990,0.1846
71,4.0718,0.1840,4.1313,0.1821
72,4.0741,0.1784,4.1380,0.1848
73,4.1000,0.1802,4.1450,0.1895
74,4.1194,0.1898,4.1828,0.1884
75,4.0802,0.1754,4.1338,0.1862
76,4.1865,0.1858,4.2492,0.1883
77,4.1857,0.1824,4.2459,0.1863
78,4.2043,0.1766,4.2635,0.1839
79,4.2012,0.1778,4.2674,0.1873
80,4.2486,0.1818,4.3270,0.1891
81,4.2619,0.1786,4.3473,0.1878
82,4.3241,0.1780,4.3915,0.1850
83,4.3277,0.1810,4.3918,0.1907
84,4.3083,0.1856,4.4275,0.1879
85,4.3726,0.1816,4.4565,0.1903
86,4.3720,0.1784,4.4581,0.1876
87,4.4705,0.1814,4.5674,0.1884
88,4.4523,0.1760,4.5161,0.1901
89,4.5020,0.1804,4.5687,0.1873
90,4.4747,0.1794,4.5919,0.1878
91,4.4690,0.1840,4.5921,0.1909
92,4.5571,0.1840,4.6526,0.1918
93,4.5492,0.1830,4.6313,0.1914
94,4.5483,0.1864,4.6789,0.1899
95,4.6081,0.1826,4.7528,0.1921
96,4.5744,0.1782,4.6820,0.1904
97,4.6268,0.1882,4.7747,0.1911
98,4.6463,0.1872,4.7761,0.1909
