client_id,unique_classes
0,100
1,99
2,99
3,100
4,99
5,98
6,99
7,100
8,98
9,100
10,100
11,98
12,100
13,99
14,98
15,99
16,99
17,99
18,98
19,97
20,97
21,100
22,98
23,99
24,99
25,98
26,100
27,100
28,100
29,100
30,99
31,99
32,100
33,99
34,98
35,100
36,98
37,99
38,98
39,99
40,99
41,98
42,99
43,99
44,99
45,100
46,97
47,100
48,99
49,98
50,99
51,97
52,100
53,99
54,97
55,99
56,98
57,98
58,98
59,98
60,100
61,99
62,99
63,100
64,100
65,100
66,100
67,99
68,100
69,100
70,100
71,98
72,99
73,99
74,98
75,100
76,100
77,99
78,98
79,99
80,99
81,99
82,99
83,98
84,100
85,100
86,98
87,98
88,100
89,96
90,100
91,100
92,100
93,100
94,100
95,100
96,98
97,99
98,99
99,98
