round,val_loss,val_acc,test_loss,test_acc
1,4.6044,0.0124,4.6037,0.0138
2,4.6020,0.0130,4.6009,0.0136
3,4.5986,0.0136,4.5973,0.0137
4,4.5924,0.0148,4.5913,0.0146
5,4.5833,0.0100,4.5815,0.0122
6,4.5688,0.0108,4.5657,0.0119
7,4.5418,0.0188,4.5404,0.0185
8,4.5027,0.0362,4.5016,0.0339
9,4.4607,0.0346,4.4587,0.0334
10,4.3999,0.0410,4.3821,0.0451
11,4.3192,0.0500,4.3124,0.0542
12,4.2501,0.0494,4.2352,0.0546
13,4.1531,0.0678,4.1301,0.0681
14,4.1096,0.0738,4.1138,0.0712
15,4.0817,0.0824,4.0624,0.0782
16,4.0422,0.0808,4.0335,0.0829
17,4.0483,0.0810,4.0248,0.0832
18,4.0082,0.0900,3.9909,0.0875
19,4.0127,0.0872,3.9883,0.0884
20,3.9652,0.0934,3.9566,0.0925
21,3.9584,0.0940,3.9396,0.0991
22,3.9323,0.0964,3.9192,0.1010
23,3.9366,0.0938,3.9015,0.0970
24,3.9034,0.1012,3.8877,0.1076
25,3.8978,0.1118,3.8611,0.1126
26,3.8702,0.1082,3.8398,0.1215
27,3.8596,0.1128,3.8318,0.1163
28,3.8293,0.1194,3.7974,0.1223
29,3.8159,0.1142,3.7865,0.1187
30,3.7915,0.1250,3.7611,0.1263
31,3.8055,0.1170,3.7531,0.1257
32,3.7689,0.1258,3.7317,0.1376
33,3.7474,0.1320,3.7142,0.1354
34,3.7268,0.1294,3.6844,0.1409
35,3.7233,0.1360,3.6986,0.1427
36,3.7149,0.1324,3.6804,0.1401
37,3.6870,0.1358,3.6647,0.1452
38,3.6735,0.1382,3.6259,0.1517
39,3.6631,0.1422,3.6527,0.1484
40,3.6501,0.1428,3.6370,0.1548
41,3.6500,0.1468,3.6247,0.1579
42,3.6287,0.1490,3.5994,0.1600
43,3.6255,0.1568,3.5895,0.1616
44,3.5972,0.1604,3.5754,0.1596
45,3.5834,0.1624,3.5605,0.1708
46,3.5844,0.1614,3.5634,0.1656
47,3.5688,0.1644,3.5514,0.1703
48,3.5562,0.1672,3.5231,0.1744
49,3.5349,0.1670,3.5251,0.1717
50,3.5236,0.1746,3.5098,0.1770
51,3.5390,0.1610,3.5229,0.1709
52,3.5149,0.1736,3.4899,0.1800
53,3.4925,0.1772,3.4773,0.1798
54,3.4885,0.1824,3.4611,0.1889
55,3.4942,0.1804,3.4748,0.1842
56,3.4918,0.1708,3.4553,0.1835
57,3.4618,0.1824,3.4563,0.1857
58,3.4629,0.1852,3.4612,0.1879
59,3.4486,0.1936,3.4260,0.1937
60,3.4381,0.1874,3.4206,0.1913
61,3.4189,0.1950,3.4098,0.2014
62,3.4259,0.1894,3.4035,0.1967
63,3.4187,0.1900,3.3881,0.1953
64,3.3735,0.2016,3.3593,0.2027
65,3.3698,0.1990,3.3582,0.2033
66,3.3736,0.1974,3.3656,0.2032
67,3.3479,0.2036,3.3626,0.1992
68,3.3694,0.1988,3.3482,0.2057
69,3.3539,0.1990,3.3291,0.2092
70,3.3322,0.2010,3.3430,0.2070
71,3.3450,0.2106,3.3049,0.2159
72,3.3126,0.2092,3.3062,0.2141
73,3.3286,0.2048,3.2916,0.2162
74,3.3257,0.2068,3.3353,0.2101
75,3.3108,0.2074,3.2988,0.2144
76,3.3033,0.2142,3.2925,0.2161
77,3.3069,0.2104,3.2977,0.2176
