name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
checkpointed_shakespeare_ExponentialLR,1,1.7207,0.4939,1.7180,0.4942,2.1440,0.3991,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,2,1.5509,0.5369,1.5473,0.5375,1.6374,0.5150,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,3,1.4766,0.5566,1.4734,0.5566,1.5240,0.5429,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,4,1.4357,0.5665,1.4329,0.5669,1.4665,0.5571,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,5,1.4107,0.5725,1.4079,0.5730,1.4292,0.5664,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,6,1.3872,0.5782,1.3844,0.5793,1.4025,0.5731,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,7,1.3718,0.5818,1.3692,0.5825,1.3822,0.5781,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,8,1.3595,0.5856,1.3560,0.5856,1.3655,0.5824,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,9,1.3482,0.5882,1.3459,0.5883,1.3517,0.5859,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,10,1.3422,0.5895,1.3401,0.5903,1.3399,0.5886,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,11,1.3345,0.5923,1.3321,0.5925,1.3295,0.5915,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,12,1.3267,0.5937,1.3244,0.5941,1.3207,0.5936,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,13,1.3193,0.5960,1.3173,0.5961,1.3124,0.5958,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,14,1.3162,0.5961,1.3137,0.5967,1.3051,0.5974,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,15,1.3114,0.5983,1.3094,0.5986,1.2984,0.5993,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,16,1.3090,0.5990,1.3072,0.5996,1.2924,0.6009,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,17,1.3037,0.6004,1.3016,0.6007,1.2868,0.6025,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,18,1.3021,0.6008,1.3004,0.6010,1.2816,0.6038,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,19,1.2982,0.6011,1.2965,0.6017,1.2768,0.6051,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,20,1.2959,0.6014,1.2937,0.6024,1.2722,0.6062,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,21,1.2924,0.6029,1.2905,0.6037,1.2679,0.6072,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,22,1.2900,0.6029,1.2881,0.6038,1.2639,0.6082,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,23,1.2880,0.6039,1.2855,0.6044,1.2597,0.6093,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,24,1.2862,0.6043,1.2834,0.6057,1.2563,0.6100,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,25,1.2831,0.6054,1.2807,0.6059,1.2526,0.6110,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,26,1.2815,0.6059,1.2796,0.6061,1.2488,0.6120,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,27,1.2794,0.6063,1.2777,0.6069,1.2458,0.6129,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,28,1.2783,0.6067,1.2764,0.6072,1.2427,0.6136,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,29,1.2756,0.6067,1.2737,0.6073,1.2401,0.6142,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,30,1.2752,0.6072,1.2733,0.6078,1.2371,0.6151,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,31,1.2735,0.6073,1.2710,0.6085,1.2346,0.6156,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,32,1.2715,0.6086,1.2694,0.6089,1.2321,0.6165,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,33,1.2715,0.6083,1.2691,0.6093,1.2297,0.6170,-1.0000,-1.0000
checkpointed_shakespeare_ExponentialLR,34,1.2702,0.6088,1.2685,0.6095,1.2275,0.6175,-1.0000,-1.0000
