timestamp,model_name,parameters,train_max_acc,train_round,train_loss,val_max_acc,val_round,val_loss,test_max_acc,test_round,test_loss
2025-08-05 04:45:13,fed,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 4, ""GAMMA"": 0.15, ""momentum"": 0.9}",0.0176,4,4.59,0.0204,4,4.5891,0.0189,3,4.5964
2025-08-05 04:48:47,fed_gamma_0.23,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2, ""GAMMA"": 0.23, ""momentum"": 0.9}",0.0168,2,4.6024,0.0174,2,4.6031,0.0169,2,4.6024
2025-08-05 04:49:00,fed_gamma_0.11,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2, ""GAMMA"": 0.11, ""momentum"": 0.9}",0.0129,1,4.6039,0.0134,1,4.6045,0.015,2,4.6001
2025-08-05 04:49:13,fed_gamma_0.05,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2, ""GAMMA"": 0.05, ""momentum"": 0.9}",0.0158,2,4.5998,0.0128,1,4.6049,0.0171,1,4.6033
2025-08-05 04:49:26,fed_gamma_0.06,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2, ""GAMMA"": 0.06, ""momentum"": 0.9}",0.0101,1,4.6046,0.0074,1,4.6047,0.0098,2,4.6016
2025-08-05 04:49:39,fed_gamma_2,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2, ""GAMMA"": 2, ""momentum"": 0.9}",0.0111,1,4.6053,0.0118,1,4.6056,0.0101,1,4.6054
2025-08-05 05:06:35,fed_gamma_1,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2, ""GAMMA"": 1, ""momentum"": 0.9}",0.0137,1,4.6034,0.0136,1,4.6032,0.0152,1,4.6034
2025-08-05 05:18:42,fed_gamma_1_dirichlet1,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 100, ""GAMMA"": 1, ""momentum"": 0.9}",0.2657,99,2.9699,0.2496,100,3.1113,0.2612,100,3.0844
2025-08-05 05:32:24,fed_gamma_1_dirichlet2,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 100, ""GAMMA"": 1, ""momentum"": 0.9}",0.2018,99,4.3272,0.1808,83,4.2289,0.1865,99,4.7264
2025-08-05 06:19:11,fed_gamma_uniform_dirichlet2,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 10, ""GAMMA"": ""uniform"", ""momentum"": 0.9}",0.057,10,4.2176,0.0542,10,4.2139,0.0614,10,4.2084
2025-08-06 17:29:30,fed_gamma_0.01_dirichlet_new_version,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 200, ""GAMMA"": 0.01, ""momentum"": 0.9}",0.3685,199,2.4727,0.3152,196,2.8726,0.332,199,2.8027
