name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
hetetogeneous_shard_iid_J_16_LR_0.01,1,4.5368,0.0238,4.5398,0.0210,4.5421,0.0220
hetetogeneous_shard_iid_J_16_LR_0.01,2,4.2252,0.0670,4.2388,0.0658,4.2331,0.0650
hetetogeneous_shard_iid_J_16_LR_0.01,3,4.1825,0.0846,4.1988,0.0835,4.1799,0.0807
hetetogeneous_shard_iid_J_16_LR_0.01,4,4.0877,0.1048,4.0983,0.1092,4.0894,0.1002
hetetogeneous_shard_iid_J_16_LR_0.01,5,4.0841,0.1166,4.0893,0.1259,4.0685,0.1140
hetetogeneous_shard_iid_J_16_LR_0.01,6,4.0506,0.1250,4.0789,0.1319,4.0193,0.1222
hetetogeneous_shard_iid_J_16_LR_0.01,7,4.1175,0.1352,4.1248,0.1453,4.0538,0.1346
hetetogeneous_shard_iid_J_16_LR_0.01,8,4.0834,0.1416,4.1218,0.1508,4.0061,0.1445
hetetogeneous_shard_iid_J_16_LR_0.01,9,4.0890,0.1554,4.1247,0.1592,3.9985,0.1495
hetetogeneous_shard_iid_J_16_LR_0.01,10,4.1174,0.1588,4.1793,0.1594,4.0269,0.1547
hetetogeneous_shard_iid_J_16_LR_0.01,11,4.1633,0.1586,4.2274,0.1639,4.0368,0.1634
hetetogeneous_shard_iid_J_16_LR_0.01,12,4.2185,0.1534,4.2936,0.1646,4.0780,0.1626
hetetogeneous_shard_iid_J_16_LR_0.01,13,4.2014,0.1592,4.2502,0.1664,4.0256,0.1687
hetetogeneous_shard_iid_J_16_LR_0.01,14,4.2665,0.1678,4.3737,0.1663,4.1135,0.1727
hetetogeneous_shard_iid_J_16_LR_0.01,15,4.2145,0.1708,4.3281,0.1774,4.0286,0.1781
hetetogeneous_shard_iid_J_16_LR_0.01,16,4.2890,0.1752,4.3970,0.1827,4.1029,0.1801
hetetogeneous_shard_iid_J_16_LR_0.01,17,4.3380,0.1782,4.4211,0.1767,4.0819,0.1829
hetetogeneous_shard_iid_J_16_LR_0.01,18,4.2603,0.1798,4.3773,0.1803,4.0101,0.1871
hetetogeneous_shard_iid_J_16_LR_0.01,19,4.3695,0.1766,4.4312,0.1820,4.0580,0.1908
hetetogeneous_shard_iid_J_16_LR_0.01,20,4.3269,0.1928,4.4261,0.1897,4.0457,0.1992
hetetogeneous_shard_iid_J_16_LR_0.01,21,4.3966,0.1858,4.4265,0.1953,4.0461,0.2020
hetetogeneous_shard_iid_J_16_LR_0.01,22,4.3196,0.1882,4.3686,0.1941,3.9862,0.2049
hetetogeneous_shard_iid_J_16_LR_0.01,23,4.4302,0.1958,4.5250,0.1923,4.0796,0.2017
hetetogeneous_shard_iid_J_16_LR_0.01,24,4.3553,0.1978,4.3967,0.1968,3.9931,0.2079
hetetogeneous_shard_iid_J_16_LR_0.01,25,4.3869,0.1882,4.4178,0.1973,3.9927,0.2088
hetetogeneous_shard_iid_J_16_LR_0.01,26,4.5096,0.1872,4.5031,0.1979,4.0503,0.2095
hetetogeneous_shard_iid_J_16_LR_0.01,27,4.4539,0.1850,4.4922,0.1992,4.0095,0.2123
hetetogeneous_shard_iid_J_16_LR_0.01,28,4.5052,0.1986,4.5405,0.2083,4.0497,0.2187
hetetogeneous_shard_iid_J_16_LR_0.01,29,4.4316,0.1970,4.4698,0.2101,3.9745,0.2194
hetetogeneous_shard_iid_J_16_LR_0.01,30,4.4512,0.1990,4.4662,0.2033,3.9610,0.2183
hetetogeneous_shard_iid_J_16_LR_0.01,31,4.5469,0.1984,4.5584,0.2048,4.0182,0.2241
hetetogeneous_shard_iid_J_16_LR_0.01,32,4.4972,0.1902,4.5173,0.2039,3.9515,0.2271
hetetogeneous_shard_iid_J_16_LR_0.01,33,4.5088,0.2036,4.5444,0.2101,3.9858,0.2257
hetetogeneous_shard_iid_J_16_LR_0.01,34,4.4520,0.2050,4.5018,0.2109,3.9201,0.2309
hetetogeneous_shard_iid_J_16_LR_0.01,35,4.4689,0.1986,4.5203,0.2102,3.9240,0.2288
hetetogeneous_shard_iid_J_16_LR_0.01,36,4.4497,0.1956,4.4825,0.2057,3.8781,0.2292
hetetogeneous_shard_iid_J_16_LR_0.01,37,4.5289,0.2116,4.5899,0.2125,3.9389,0.2385
hetetogeneous_shard_iid_J_16_LR_0.01,38,4.5165,0.1980,4.5960,0.2103,3.9332,0.2324
hetetogeneous_shard_iid_J_16_LR_0.01,39,4.4125,0.2138,4.5226,0.2117,3.8661,0.2371
hetetogeneous_shard_iid_J_16_LR_0.01,40,4.5102,0.2086,4.5619,0.2130,3.8583,0.2433
hetetogeneous_shard_iid_J_16_LR_0.01,41,4.3875,0.2058,4.4362,0.2133,3.7786,0.2408
hetetogeneous_shard_iid_J_16_LR_0.01,42,4.4938,0.2162,4.6310,0.2141,3.8860,0.2470
hetetogeneous_shard_iid_J_16_LR_0.01,43,4.4341,0.2056,4.4770,0.2147,3.7817,0.2449
hetetogeneous_shard_iid_J_16_LR_0.01,44,4.4585,0.2152,4.5401,0.2161,3.8292,0.2464
hetetogeneous_shard_iid_J_16_LR_0.01,45,4.4173,0.2178,4.4773,0.2230,3.7842,0.2522
hetetogeneous_shard_iid_J_16_LR_0.01,46,4.4491,0.2178,4.4952,0.2198,3.7648,0.2524
hetetogeneous_shard_iid_J_16_LR_0.01,47,4.4301,0.2144,4.5244,0.2194,3.7668,0.2552
hetetogeneous_shard_iid_J_16_LR_0.01,48,4.5590,0.2068,4.6028,0.2213,3.8545,0.2528
hetetogeneous_shard_iid_J_16_LR_0.01,49,4.4599,0.2176,4.5148,0.2210,3.7836,0.2552
hetetogeneous_shard_iid_J_16_LR_0.01,50,4.5377,0.2122,4.5965,0.2218,3.8100,0.2588
hetetogeneous_shard_iid_J_16_LR_0.01,51,4.4765,0.2176,4.4981,0.2230,3.7591,0.2563
hetetogeneous_shard_iid_J_16_LR_0.01,52,4.4679,0.2226,4.5022,0.2250,3.7366,0.2589
hetetogeneous_shard_iid_J_16_LR_0.01,53,4.4976,0.2202,4.5432,0.2259,3.7399,0.2653
hetetogeneous_shard_iid_J_16_LR_0.01,54,4.3741,0.2302,4.4000,0.2293,3.6403,0.2667
hetetogeneous_shard_iid_J_16_LR_0.01,55,4.4040,0.2266,4.4070,0.2340,3.6468,0.2705
hetetogeneous_shard_iid_J_16_LR_0.01,56,4.4120,0.2212,4.4723,0.2330,3.6605,0.2712
hetetogeneous_shard_iid_J_16_LR_0.01,57,4.3882,0.2202,4.4268,0.2398,3.6386,0.2711
hetetogeneous_shard_iid_J_16_LR_0.01,58,4.3110,0.2266,4.3885,0.2339,3.5702,0.2740
hetetogeneous_shard_iid_J_16_LR_0.01,59,4.3238,0.2272,4.3550,0.2307,3.5739,0.2720
hetetogeneous_shard_iid_J_16_LR_0.01,60,4.3927,0.2284,4.3871,0.2267,3.5643,0.2757
hetetogeneous_shard_iid_J_16_LR_0.01,61,4.3443,0.2248,4.4072,0.2382,3.6010,0.2735
hetetogeneous_shard_iid_J_16_LR_0.01,62,4.4150,0.2268,4.5163,0.2307,3.6374,0.2771
hetetogeneous_shard_iid_J_16_LR_0.01,63,4.4054,0.2142,4.3868,0.2321,3.5672,0.2749
hetetogeneous_shard_iid_J_16_LR_0.01,64,4.3809,0.2250,4.4567,0.2330,3.5743,0.2798
hetetogeneous_shard_iid_J_16_LR_0.01,65,4.4547,0.2264,4.4944,0.2311,3.6160,0.2777
hetetogeneous_shard_iid_J_16_LR_0.01,66,4.3908,0.2296,4.4817,0.2310,3.5928,0.2788
hetetogeneous_shard_iid_J_16_LR_0.01,67,4.4136,0.2264,4.4321,0.2320,3.5666,0.2767
hetetogeneous_shard_iid_J_16_LR_0.01,68,4.4123,0.2278,4.4446,0.2410,3.5494,0.2848
hetetogeneous_shard_iid_J_16_LR_0.01,69,4.4555,0.2244,4.4397,0.2381,3.5735,0.2864
hetetogeneous_shard_iid_J_16_LR_0.01,70,4.3854,0.2208,4.3733,0.2369,3.5144,0.2837
hetetogeneous_shard_iid_J_16_LR_0.01,71,4.4009,0.2250,4.3860,0.2422,3.5105,0.2906
hetetogeneous_shard_iid_J_16_LR_0.01,72,4.3291,0.2374,4.4113,0.2395,3.4777,0.2922
hetetogeneous_shard_iid_J_16_LR_0.01,73,4.3569,0.2254,4.4024,0.2359,3.4847,0.2896
hetetogeneous_shard_iid_J_16_LR_0.01,74,4.3436,0.2310,4.3737,0.2365,3.4326,0.2944
hetetogeneous_shard_iid_J_16_LR_0.01,75,4.2860,0.2278,4.3281,0.2383,3.3963,0.2912
hetetogeneous_shard_iid_J_16_LR_0.01,76,4.2599,0.2454,4.3502,0.2465,3.4092,0.2991
hetetogeneous_shard_iid_J_16_LR_0.01,77,4.3672,0.2346,4.3875,0.2379,3.4151,0.2950
hetetogeneous_shard_iid_J_16_LR_0.01,78,4.2896,0.2396,4.3819,0.2423,3.3892,0.2997
hetetogeneous_shard_iid_J_16_LR_0.01,79,4.4283,0.2248,4.4062,0.2440,3.4502,0.2953
hetetogeneous_shard_iid_J_16_LR_0.01,80,4.3221,0.2330,4.3493,0.2399,3.3848,0.2959
hetetogeneous_shard_iid_J_16_LR_0.01,81,4.3692,0.2422,4.4246,0.2447,3.4262,0.3030
hetetogeneous_shard_iid_J_16_LR_0.01,82,4.4125,0.2410,4.4489,0.2449,3.4503,0.3010
hetetogeneous_shard_iid_J_16_LR_0.01,83,4.3595,0.2338,4.4154,0.2423,3.4212,0.3009
hetetogeneous_shard_iid_J_16_LR_0.01,84,4.3338,0.2398,4.3731,0.2453,3.3838,0.3064
hetetogeneous_shard_iid_J_16_LR_0.01,85,4.3171,0.2372,4.3486,0.2518,3.3594,0.3065
hetetogeneous_shard_iid_J_16_LR_0.01,86,4.3889,0.2430,4.4454,0.2486,3.4076,0.3087
hetetogeneous_shard_iid_J_16_LR_0.01,87,4.3419,0.2332,4.3664,0.2446,3.3820,0.3052
hetetogeneous_shard_iid_J_16_LR_0.01,88,4.2677,0.2386,4.3350,0.2508,3.3153,0.3122
hetetogeneous_shard_iid_J_16_LR_0.01,89,4.2859,0.2472,4.3422,0.2454,3.3136,0.3140
hetetogeneous_shard_iid_J_16_LR_0.01,90,4.3781,0.2456,4.3914,0.2453,3.3820,0.3079
hetetogeneous_shard_iid_J_16_LR_0.01,91,4.3409,0.2412,4.3493,0.2505,3.3145,0.3110
hetetogeneous_shard_iid_J_16_LR_0.01,92,4.2754,0.2498,4.3417,0.2414,3.3049,0.3115
hetetogeneous_shard_iid_J_16_LR_0.01,93,4.3193,0.2440,4.3432,0.2533,3.3074,0.3155
hetetogeneous_shard_iid_J_16_LR_0.01,94,4.3117,0.2424,4.3213,0.2465,3.2911,0.3125
hetetogeneous_shard_iid_J_16_LR_0.01,95,4.2435,0.2538,4.2912,0.2563,3.2591,0.3163
hetetogeneous_shard_iid_J_16_LR_0.01,96,4.2408,0.2464,4.3051,0.2556,3.2470,0.3187
hetetogeneous_shard_iid_J_16_LR_0.01,97,4.3276,0.2418,4.3104,0.2550,3.2613,0.3162
hetetogeneous_shard_iid_J_16_LR_0.01,98,4.2792,0.2486,4.3060,0.2578,3.2411,0.3217
hetetogeneous_shard_iid_J_16_LR_0.01,99,4.4648,0.2358,4.4428,0.2546,3.3478,0.3207
hetetogeneous_shard_iid_J_16_LR_0.01,100,4.2313,0.2514,4.2470,0.2546,3.2051,0.3187
hetetogeneous_shard_iid_J_16_LR_0.01,101,4.2794,0.2472,4.3056,0.2552,3.2347,0.3235
hetetogeneous_shard_iid_J_16_LR_0.01,102,4.3539,0.2472,4.3514,0.2567,3.2626,0.3228
hetetogeneous_shard_iid_J_16_LR_0.01,103,4.2957,0.2596,4.3119,0.2591,3.2555,0.3249
hetetogeneous_shard_iid_J_16_LR_0.01,104,4.2843,0.2578,4.3109,0.2575,3.2134,0.3241
hetetogeneous_shard_iid_J_16_LR_0.01,105,4.2718,0.2448,4.3201,0.2631,3.1825,0.3278
hetetogeneous_shard_iid_J_16_LR_0.01,106,4.2747,0.2552,4.3156,0.2575,3.1780,0.3246
hetetogeneous_shard_iid_J_16_LR_0.01,107,4.3759,0.2434,4.3599,0.2529,3.2138,0.3273
hetetogeneous_shard_iid_J_16_LR_0.01,108,4.2462,0.2526,4.3110,0.2593,3.1995,0.3284
hetetogeneous_shard_iid_J_16_LR_0.01,109,4.2665,0.2574,4.2769,0.2537,3.1483,0.3321
hetetogeneous_shard_iid_J_16_LR_0.01,110,4.2693,0.2614,4.3144,0.2625,3.1592,0.3338
hetetogeneous_shard_iid_J_16_LR_0.01,111,4.3769,0.2550,4.3412,0.2599,3.1846,0.3364
hetetogeneous_shard_iid_J_16_LR_0.01,112,4.1929,0.2616,4.3155,0.2588,3.1546,0.3323
hetetogeneous_shard_iid_J_16_LR_0.01,113,4.3293,0.2540,4.3285,0.2573,3.1546,0.3355
hetetogeneous_shard_iid_J_16_LR_0.01,114,4.3067,0.2572,4.3218,0.2617,3.1525,0.3378
hetetogeneous_shard_iid_J_16_LR_0.01,115,4.2843,0.2508,4.2987,0.2586,3.1373,0.3344
hetetogeneous_shard_iid_J_16_LR_0.01,116,4.2650,0.2522,4.2710,0.2603,3.1181,0.3378
hetetogeneous_shard_iid_J_16_LR_0.01,117,4.2751,0.2634,4.2527,0.2624,3.0706,0.3428
hetetogeneous_shard_iid_J_16_LR_0.01,118,4.2790,0.2566,4.2901,0.2612,3.0876,0.3410
hetetogeneous_shard_iid_J_16_LR_0.01,119,4.2247,0.2578,4.2565,0.2583,3.0584,0.3405
hetetogeneous_shard_iid_J_16_LR_0.01,120,4.2813,0.2612,4.3255,0.2659,3.0975,0.3418
hetetogeneous_shard_iid_J_16_LR_0.01,121,4.2752,0.2612,4.2970,0.2623,3.0901,0.3401
hetetogeneous_shard_iid_J_16_LR_0.01,122,4.2738,0.2552,4.2679,0.2634,3.0657,0.3446
hetetogeneous_shard_iid_J_16_LR_0.01,123,4.2886,0.2602,4.3438,0.2647,3.1030,0.3450
hetetogeneous_shard_iid_J_16_LR_0.01,124,4.1940,0.2614,4.2425,0.2635,3.0161,0.3497
hetetogeneous_shard_iid_J_16_LR_0.01,125,4.2101,0.2630,4.2789,0.2657,3.0233,0.3472
hetetogeneous_shard_iid_J_16_LR_0.01,126,4.1748,0.2628,4.1952,0.2679,2.9917,0.3499
