name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,1,13.0315,0.0076,10.8903,0.0100,12.9424,0.0103
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,2,4.9088,0.0092,4.8917,0.0100,4.9280,0.0101
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,3,30.1435,0.0098,28.5237,0.0100,30.1727,0.0100
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,4,4.7261,0.0090,4.7300,0.0068,4.7327,0.0079
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,5,44.5088,0.0094,35.5968,0.0100,44.8549,0.0101
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,6,6.0893,0.0100,6.3975,0.0100,6.0945,0.0100
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,7,29.5719,0.0094,32.8813,0.0100,29.5918,0.0101
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,8,5.0590,0.0118,4.9982,0.0100,5.0671,0.0098
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,9,5.5299,0.0118,5.3939,0.0100,5.5538,0.0098
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,10,11.6926,0.0120,11.7336,0.0111,11.7312,0.0121
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,11,4.9307,0.0108,4.9144,0.0110,4.9460,0.0111
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,12,18.7680,0.0096,15.6112,0.0100,18.9959,0.0100
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,13,4.9646,0.0084,4.9156,0.0107,4.9937,0.0104
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,14,18.9193,0.0084,16.4080,0.0100,19.2661,0.0102
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,15,4.8828,0.0116,4.8877,0.0122,4.9068,0.0118
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,16,17.5673,0.0092,19.2721,0.0100,17.7578,0.0101
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,17,5.2559,0.0072,5.1856,0.0089,5.2766,0.0083
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,18,10.3825,0.0092,10.8523,0.0100,10.4196,0.0101
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,19,5.4780,0.0106,5.3590,0.0115,5.4790,0.0114
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,20,7.2501,0.0086,7.0637,0.0101,7.2292,0.0102
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,21,5.5881,0.0098,5.4755,0.0100,5.6010,0.0100
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,22,6.1054,0.0100,5.9104,0.0100,6.1286,0.0100
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,23,4.8721,0.0102,4.8450,0.0105,4.8962,0.0100
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,24,6.5589,0.0100,6.3902,0.0100,6.6134,0.0100
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,25,5.2851,0.0092,5.1975,0.0100,5.3142,0.0101
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,26,6.2394,0.0124,6.0311,0.0124,6.2860,0.0122
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,27,5.3044,0.0114,5.2234,0.0101,5.3329,0.0101
hetetogeneous_shard_non_iid_5_J_4_LR_0.01,28,5.8002,0.0108,5.6397,0.0101,5.8239,0.0099
