round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
1,5.5478,0.0112,5.2214,0.0100,5.5509,0.0099
2,6.7374,0.0090,6.2422,0.0100,6.7430,0.0101
3,4.7390,0.0110,4.7018,0.0100,4.7379,0.0099
4,11.8475,0.0098,10.1539,0.0100,11.8070,0.0100
5,4.7277,0.0100,4.7347,0.0100,4.7278,0.0100
6,5.2311,0.0108,5.2815,0.0100,5.2221,0.0099
7,6.8087,0.0100,6.3527,0.0100,6.7785,0.0100
8,4.7872,0.0094,4.7648,0.0100,4.7891,0.0101
9,10.2323,0.0100,9.2549,0.0100,10.2274,0.0100
10,4.7960,0.0098,4.7747,0.0100,4.7903,0.0100
11,12.0723,0.0090,11.7380,0.0100,12.0019,0.0101
12,4.6612,0.0116,4.6671,0.0100,4.6632,0.0098
13,4.6390,0.0152,4.6369,0.0133,4.6469,0.0115
14,22.0845,0.0116,19.9033,0.0100,22.1485,0.0098
15,4.6908,0.0100,4.6751,0.0100,4.6812,0.0100
16,14.4780,0.0098,14.5444,0.0100,14.3211,0.0100
17,6.3024,0.0100,6.3110,0.0100,6.2601,0.0100
18,5.7912,0.0104,5.6472,0.0100,5.7733,0.0100
19,5.8407,0.0098,5.6563,0.0100,5.8078,0.0100
20,5.9714,0.0100,5.7452,0.0100,5.9463,0.0100
21,5.1148,0.0104,5.0292,0.0114,5.1201,0.0115
22,6.9689,0.0096,6.6482,0.0102,6.9357,0.0102
23,4.7960,0.0106,4.7764,0.0098,4.8036,0.0098
24,7.7937,0.0096,7.5712,0.0100,7.7624,0.0100
25,4.8478,0.0050,4.8113,0.0066,4.8503,0.0051
26,6.3290,0.0102,6.0624,0.0100,6.3105,0.0100
27,4.9687,0.0096,4.9085,0.0100,4.9669,0.0100
28,7.8759,0.0098,7.2791,0.0100,7.8434,0.0100
29,4.9825,0.0120,4.9129,0.0105,4.9802,0.0109
30,6.1868,0.0108,5.9398,0.0100,6.1752,0.0099
31,5.4853,0.0094,5.3072,0.0107,5.4602,0.0107
32,5.1429,0.0106,5.0570,0.0100,5.1495,0.0099
33,6.0530,0.0080,5.7961,0.0100,6.0377,0.0102
34,5.5419,0.0084,5.3636,0.0100,5.5428,0.0102
35,5.8437,0.0096,5.6308,0.0100,5.8335,0.0100
36,4.7995,0.0102,4.7880,0.0100,4.8154,0.0100
37,6.8362,0.0108,6.5661,0.0100,6.8575,0.0099
38,4.7404,0.0128,4.7263,0.0140,4.7463,0.0127
39,5.6655,0.0116,5.5539,0.0100,5.6887,0.0098
40,8.1611,0.0112,6.7662,0.0100,8.1424,0.0099
41,6.9103,0.0094,6.0750,0.0100,6.8947,0.0101
42,5.0203,0.0124,4.9377,0.0111,5.0045,0.0100
43,9.3112,0.0092,8.3681,0.0100,9.2012,0.0101
44,4.8548,0.0128,4.8229,0.0120,4.8540,0.0124
45,5.6418,0.0104,5.4451,0.0101,5.6274,0.0102
46,5.3269,0.0080,5.1595,0.0100,5.3114,0.0102
47,4.9833,0.0100,4.9072,0.0100,4.9889,0.0100
48,5.6494,0.0102,5.4071,0.0100,5.6530,0.0100
49,4.9425,0.0106,4.8752,0.0101,4.9440,0.0099
50,5.2596,0.0118,5.1453,0.0126,5.2585,0.0131
51,6.6088,0.0124,6.0200,0.0140,6.5902,0.0133
52,5.2592,0.0140,5.1347,0.0127,5.2440,0.0140
53,5.6699,0.0096,5.4666,0.0100,5.6495,0.0100
54,5.2422,0.0090,5.1243,0.0100,5.2338,0.0101
55,5.6594,0.0118,5.4491,0.0101,5.6375,0.0114
56,5.3415,0.0096,5.2107,0.0100,5.3213,0.0100
57,5.5212,0.0090,5.3693,0.0100,5.4969,0.0101
58,5.3608,0.0076,5.2250,0.0100,5.3257,0.0103
59,5.0736,0.0090,4.9943,0.0100,5.0518,0.0101
60,5.3323,0.0084,5.2094,0.0100,5.3274,0.0102
61,4.7773,0.0094,4.7696,0.0098,4.7880,0.0100
62,5.3252,0.0172,5.2116,0.0167,5.3365,0.0160
63,5.2804,0.0114,5.1832,0.0105,5.2866,0.0114
64,4.9881,0.0100,4.9436,0.0099,5.0000,0.0098
65,5.6417,0.0100,5.4877,0.0100,5.6557,0.0100
66,5.1360,0.0116,5.0533,0.0116,5.1315,0.0114
67,5.1037,0.0122,5.0304,0.0135,5.1026,0.0133
68,5.2151,0.0100,5.1058,0.0100,5.2100,0.0100
69,5.0380,0.0110,4.9661,0.0117,5.0294,0.0102
70,5.2783,0.0096,5.1642,0.0115,5.2695,0.0106
71,4.9743,0.0094,4.9217,0.0100,4.9645,0.0101
72,5.2474,0.0094,5.1678,0.0100,5.2338,0.0101
73,5.7424,0.0118,5.6192,0.0133,5.7201,0.0128
74,5.0911,0.0152,5.0092,0.0142,5.0923,0.0141
75,5.1558,0.0124,5.0794,0.0126,5.1654,0.0117
76,5.1546,0.0092,5.0761,0.0100,5.1604,0.0100
77,5.2656,0.0104,5.1756,0.0109,5.2721,0.0106
78,5.2140,0.0106,5.1224,0.0109,5.2095,0.0120
79,4.8679,0.0140,4.8357,0.0140,4.8668,0.0142
80,5.3652,0.0108,5.2442,0.0116,5.3664,0.0109
81,5.1248,0.0154,5.0726,0.0170,5.1309,0.0161
82,5.2379,0.0128,5.1638,0.0142,5.2522,0.0144
83,4.8520,0.0120,4.8277,0.0115,4.8579,0.0127
84,5.2959,0.0096,5.2151,0.0100,5.2988,0.0100
85,4.9970,0.0164,4.9530,0.0148,5.0156,0.0155
86,5.2750,0.0112,5.1974,0.0133,5.2802,0.0122
87,4.9053,0.0104,4.9014,0.0128,4.9201,0.0131
88,5.2003,0.0090,5.1307,0.0100,5.2096,0.0101
89,5.5654,0.0176,5.4428,0.0190,5.5654,0.0173
90,5.1067,0.0110,5.0580,0.0131,5.1007,0.0119
91,5.4906,0.0112,5.3574,0.0127,5.4586,0.0118
92,5.0285,0.0104,4.9818,0.0124,5.0178,0.0118
93,5.0330,0.0130,4.9841,0.0143,5.0209,0.0133
94,4.9953,0.0168,4.9558,0.0186,4.9907,0.0185
95,5.2039,0.0082,5.1232,0.0094,5.1867,0.0104
96,4.8797,0.0188,4.9099,0.0156,4.8708,0.0160
97,5.8654,0.0094,5.7051,0.0104,5.8607,0.0106
98,6.2147,0.0104,6.2888,0.0104,6.2023,0.0105
99,4.9983,0.0140,4.9702,0.0161,4.9914,0.0136
100,5.0428,0.0118,5.0182,0.0126,5.0460,0.0117
