name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
gamma_uniform_nc_iid_J_8,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",4.3035,0.0822,4.3026,0.0846,-1.0000,-1.0000
gamma_uniform_nc_iid_J_8,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]",4.0592,0.1908,4.0568,0.1918,-1.0000,-1.0000
gamma_uniform_nc_iid_J_8,3,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 2]",3.3291,0.1870,3.3188,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_8,4,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 2, 1, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2]",3.2003,0.1870,3.1904,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_8,5,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 1, 0, 2, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 3, 1, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2]",3.1557,0.1870,3.1462,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_8,6,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 1, 0, 2, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 1, 1, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 2, 1, 3, 1, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2]",3.1347,0.1870,3.1250,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_8,7,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2, 1, 0, 0, 0, 4, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 2, 0, 1, 0, 1, 0, 2, 0, 1, 1, 0, 1, 1, 0, 1, 0, 2, 0, 0, 0, 2, 1, 1, 0, 1, 2, 0, 2, 2, 1, 1, 1, 0, 0, 0, 0, 2, 1, 3, 1, 0, 0, 2, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2]",3.1149,0.1870,3.1050,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_8,8,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 2, 1, 0, 0, 0, 4, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 2, 1, 2, 0, 1, 0, 2, 0, 1, 1, 0, 1, 1, 0, 1, 0, 2, 0, 0, 0, 2, 1, 1, 0, 2, 2, 0, 2, 2, 2, 1, 1, 0, 0, 0, 0, 2, 1, 3, 1, 1, 0, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 3]",3.0888,0.1870,3.0793,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_8,9,"[0, 1, 0, 0, 1, 1, 2, 1, 1, 0, 1, 0, 1, 2, 0, 1, 1, 0, 2, 1, 0, 0, 0, 4, 1, 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 1, 2, 0, 2, 1, 2, 0, 1, 0, 2, 0, 1, 1, 0, 1, 1, 0, 1, 0, 2, 0, 0, 1, 2, 1, 1, 1, 2, 2, 0, 2, 2, 2, 1, 1, 0, 0, 0, 0, 2, 1, 3, 1, 1, 0, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 1, 1, 3]",3.0741,0.1870,3.0644,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_8,10,"[0, 1, 0, 0, 1, 1, 3, 1, 1, 0, 1, 0, 1, 2, 0, 1, 1, 0, 2, 1, 0, 0, 0, 4, 1, 0, 1, 1, 0, 1, 1, 3, 0, 0, 0, 2, 2, 0, 2, 1, 2, 0, 1, 0, 2, 0, 1, 1, 0, 1, 1, 0, 1, 0, 2, 0, 0, 1, 2, 1, 1, 1, 2, 2, 0, 2, 2, 2, 2, 1, 0, 0, 0, 0, 2, 2, 3, 1, 2, 0, 2, 1, 1, 2, 3, 0, 0, 0, 1, 0, 1, 2, 2, 2, 1, 0, 0, 1, 1, 3]",3.0583,0.1870,3.0480,0.1871,3.0538,0.1874
