name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
checkpointed_shakespeare_OneCycleLR,1,2.7182,0.2705,2.7242,0.2693,3.0278,0.2136,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,2,2.2958,0.3577,2.3003,0.3574,2.4733,0.3176,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,3,2.0233,0.4268,2.0245,0.4279,2.1648,0.3947,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,4,1.8349,0.4706,1.8344,0.4707,1.9366,0.4458,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,5,1.7121,0.5004,1.7110,0.5011,1.7897,0.4800,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,6,1.6244,0.5209,1.6223,0.5222,1.6879,0.5043,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,7,1.5578,0.5368,1.5547,0.5377,1.6131,0.5222,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,8,1.5105,0.5463,1.5079,0.5476,1.5561,0.5359,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,9,1.4731,0.5572,1.4704,0.5579,1.5115,0.5464,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,10,1.4444,0.5643,1.4423,0.5650,1.4763,0.5552,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,11,1.4219,0.5696,1.4199,0.5699,1.4484,0.5621,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,12,1.4060,0.5734,1.4039,0.5743,1.4254,0.5677,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,13,1.3879,0.5773,1.3862,0.5782,1.4062,0.5723,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,14,1.3759,0.5802,1.3743,0.5813,1.3898,0.5763,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,15,1.3653,0.5842,1.3642,0.5846,1.3752,0.5800,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,16,1.3559,0.5856,1.3545,0.5864,1.3623,0.5832,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,17,1.3473,0.5883,1.3461,0.5888,1.3511,0.5860,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,18,1.3402,0.5898,1.3391,0.5900,1.3411,0.5884,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,19,1.3324,0.5918,1.3312,0.5922,1.3322,0.5907,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,20,1.3306,0.5917,1.3286,0.5924,1.3235,0.5930,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,21,1.3224,0.5938,1.3209,0.5951,1.3162,0.5948,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,22,1.3204,0.5947,1.3193,0.5951,1.3091,0.5967,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,23,1.3142,0.5964,1.3135,0.5974,1.3022,0.5982,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,24,1.3098,0.5977,1.3087,0.5979,1.2961,0.5999,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,25,1.3064,0.5987,1.3046,0.5995,1.2902,0.6015,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,26,1.3033,0.5990,1.3017,0.6000,1.2846,0.6027,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,27,1.3004,0.6009,1.3001,0.6009,1.2790,0.6043,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,28,1.2956,0.6014,1.2943,0.6022,1.2740,0.6054,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,29,1.2942,0.6019,1.2927,0.6030,1.2685,0.6069,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,30,1.2902,0.6028,1.2888,0.6034,1.2636,0.6080,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,31,1.2874,0.6040,1.2867,0.6040,1.2589,0.6093,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,32,1.2849,0.6043,1.2837,0.6042,1.2544,0.6104,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,33,1.2825,0.6051,1.2810,0.6057,1.2498,0.6115,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,34,1.2814,0.6056,1.2801,0.6056,1.2455,0.6127,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,35,1.2791,0.6063,1.2770,0.6071,1.2413,0.6138,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,36,1.2770,0.6060,1.2747,0.6068,1.2372,0.6150,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,37,1.2761,0.6067,1.2746,0.6073,1.2331,0.6161,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,38,1.2744,0.6070,1.2726,0.6073,1.2291,0.6171,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,39,1.2720,0.6081,1.2699,0.6087,1.2252,0.6181,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,40,1.2708,0.6083,1.2691,0.6089,1.2213,0.6191,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,41,1.2687,0.6095,1.2673,0.6094,1.2174,0.6203,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,42,1.2672,0.6088,1.2659,0.6098,1.2138,0.6211,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,43,1.2661,0.6100,1.2645,0.6102,1.2102,0.6223,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,44,1.2655,0.6099,1.2636,0.6103,1.2072,0.6232,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,45,1.2645,0.6105,1.2629,0.6108,1.2041,0.6239,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,46,1.2635,0.6106,1.2618,0.6111,1.2014,0.6248,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,47,1.2631,0.6106,1.2618,0.6113,1.1990,0.6254,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,48,1.2627,0.6106,1.2613,0.6113,1.1973,0.6259,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,49,1.2625,0.6107,1.2611,0.6114,1.1958,0.6264,-1.0000,-1.0000
checkpointed_shakespeare_OneCycleLR,50,1.2626,0.6108,1.2611,0.6113,1.1950,0.6267,-1.0000,-1.0000
