name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar_more_step_scheduler_ExponentialLR,1,3.9138,0.0840,3.8934,0.0967,4.1742,0.0571,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,2,3.7398,0.1206,3.6601,0.1401,3.8694,0.0996,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,3,3.7433,0.1276,3.6465,0.1395,3.7260,0.1266,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,4,3.7587,0.1186,3.6669,0.1410,3.6798,0.1340,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,5,3.6030,0.1510,3.5263,0.1620,3.6189,0.1464,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,6,3.5524,0.1634,3.4209,0.1808,3.5582,0.1577,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,7,3.4459,0.1814,3.3530,0.2004,3.5126,0.1651,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,8,3.5352,0.1854,3.4492,0.1979,3.4569,0.1772,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,9,3.4336,0.1906,3.3198,0.2134,3.4458,0.1805,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,10,3.4693,0.1880,3.4084,0.2029,3.3954,0.1913,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,11,3.4868,0.1826,3.3550,0.2042,3.3722,0.1956,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,12,3.3451,0.2006,3.2564,0.2265,3.3364,0.1996,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,13,3.3391,0.2064,3.2114,0.2322,3.3338,0.2049,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,14,3.3009,0.2174,3.1982,0.2359,3.2870,0.2112,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,15,3.3075,0.2138,3.1960,0.2438,3.2570,0.2171,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,16,3.3031,0.2142,3.1855,0.2414,3.2403,0.2214,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,17,3.2747,0.2304,3.2092,0.2488,3.2188,0.2232,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,18,3.2699,0.2204,3.1715,0.2482,3.2227,0.2247,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,19,3.3235,0.2292,3.2377,0.2504,3.1814,0.2333,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,20,3.2080,0.2344,3.0692,0.2663,3.1909,0.2318,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,21,3.2211,0.2322,3.0758,0.2689,3.1549,0.2381,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,22,3.3289,0.2238,3.1951,0.2533,3.1312,0.2446,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,23,3.1851,0.2468,3.1330,0.2667,3.1234,0.2473,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,24,3.2784,0.2288,3.1581,0.2605,3.1099,0.2483,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,25,3.2425,0.2336,3.1722,0.2463,3.1217,0.2484,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,26,3.2633,0.2294,3.1333,0.2563,3.0650,0.2573,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,27,3.1001,0.2638,2.9973,0.2855,3.0488,0.2593,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,28,3.1378,0.2544,3.0679,0.2755,3.0310,0.2618,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,29,3.1507,0.2498,3.0381,0.2774,3.0119,0.2701,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,30,3.1595,0.2506,3.0311,0.2770,2.9965,0.2697,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,31,3.1609,0.2632,3.0304,0.2946,2.9868,0.2726,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,32,3.1558,0.2592,2.9775,0.2966,2.9523,0.2793,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,33,3.0330,0.2748,2.9451,0.3017,2.9203,0.2878,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,34,3.1282,0.2630,3.0156,0.2907,2.9134,0.2891,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,35,3.1054,0.2714,2.9220,0.3063,2.8925,0.2929,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,36,3.0619,0.2744,2.9785,0.3033,2.8656,0.2984,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,37,3.0196,0.2868,2.9007,0.3091,2.8459,0.3008,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,38,3.0752,0.2732,3.0017,0.2953,2.8188,0.3067,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,39,3.0292,0.2768,2.8860,0.3122,2.8292,0.3071,-1.0000,-1.0000
cifar_more_step_scheduler_ExponentialLR,40,2.9960,0.2938,2.9149,0.3220,2.8122,0.3106,-1.0000,-1.0000
