name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar_more_step_scheduler_ReduceLROnPlateau,1,3.9465,0.0900,3.8933,0.0990,4.1773,0.0571,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,2,3.9006,0.0920,3.8201,0.1029,3.8759,0.0998,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,3,3.6807,0.1348,3.6126,0.1425,3.7588,0.1172,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,4,3.6509,0.1426,3.5896,0.1467,3.6852,0.1328,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,5,3.6417,0.1432,3.5739,0.1567,3.6473,0.1412,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,6,3.6501,0.1624,3.6220,0.1736,3.6228,0.1460,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,7,3.6309,0.1466,3.4986,0.1666,3.5882,0.1539,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,8,3.4789,0.1720,3.3693,0.1951,3.5454,0.1608,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,9,3.5157,0.1696,3.3898,0.1907,3.5310,0.1654,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,10,3.6462,0.1562,3.5222,0.1776,3.5298,0.1655,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,11,3.5829,0.1668,3.4643,0.1883,3.4883,0.1735,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,12,3.5121,0.1722,3.4265,0.1936,3.4971,0.1741,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,13,3.6371,0.1624,3.5627,0.1736,3.4823,0.1771,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,14,3.4645,0.1910,3.3557,0.2045,3.4728,0.1802,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,15,3.5011,0.1864,3.3486,0.2127,3.4548,0.1814,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,16,3.4549,0.1916,3.3872,0.1984,3.4523,0.1830,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,17,3.4429,0.1952,3.3133,0.2147,3.4496,0.1859,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,18,3.4741,0.1780,3.3286,0.2136,3.4325,0.1880,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,19,3.4077,0.2038,3.3130,0.2097,3.4295,0.1883,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,20,3.4726,0.1854,3.3733,0.1992,3.4176,0.1901,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,21,3.4581,0.1924,3.3141,0.2194,3.4125,0.1931,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,22,3.4183,0.1990,3.3241,0.2211,3.4171,0.1956,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,23,3.4401,0.1986,3.3519,0.2096,3.4159,0.1951,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,24,3.4675,0.1904,3.4013,0.2059,3.4102,0.1957,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,25,3.4275,0.2006,3.3484,0.2266,3.3938,0.1974,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,26,3.3525,0.2138,3.2661,0.2317,3.3737,0.1982,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,27,3.4494,0.1896,3.3510,0.2032,3.3786,0.2002,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,28,3.4123,0.2012,3.2973,0.2259,3.3479,0.2035,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,29,3.4543,0.1910,3.3235,0.2206,3.3664,0.2053,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,30,3.3680,0.2058,3.2691,0.2296,3.3493,0.2090,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,31,3.4227,0.1958,3.3366,0.2167,3.3450,0.2072,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,32,3.4409,0.2018,3.3108,0.2225,3.3572,0.2052,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,33,3.4555,0.1940,3.3704,0.2126,3.3576,0.2067,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,34,3.4124,0.2012,3.3112,0.2252,3.3544,0.2092,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,35,3.3857,0.2104,3.3001,0.2318,3.3370,0.2110,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,36,3.3610,0.2184,3.2484,0.2398,3.3179,0.2133,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,37,3.4419,0.2090,3.3311,0.2222,3.3413,0.2116,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,38,2.9925,0.2902,2.9422,0.2915,2.9997,0.2686,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,39,2.9789,0.2812,2.8949,0.3025,2.8494,0.2934,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,40,2.9258,0.2976,2.8179,0.3213,2.7658,0.3089,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,41,2.8725,0.3052,2.7774,0.3228,2.7184,0.3177,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,42,2.8610,0.2996,2.7849,0.3291,2.6692,0.3281,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,43,2.8408,0.3038,2.6957,0.3420,2.6429,0.3296,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,44,2.8139,0.3168,2.6940,0.3471,2.6017,0.3432,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,45,2.7703,0.3214,2.6817,0.3540,2.5854,0.3470,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,46,2.8194,0.3172,2.6859,0.3504,2.5456,0.3529,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,47,2.8203,0.3194,2.6978,0.3499,2.5128,0.3593,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,48,2.7651,0.3380,2.6549,0.3618,2.5040,0.3624,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,49,2.8094,0.3142,2.6950,0.3492,2.4792,0.3679,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,50,2.7522,0.3326,2.6285,0.3614,2.4673,0.3698,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,51,2.7494,0.3388,2.6417,0.3629,2.4336,0.3765,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,52,2.7469,0.3314,2.6414,0.3655,2.4382,0.3771,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,53,2.7738,0.3308,2.6168,0.3658,2.4080,0.3819,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,54,2.7437,0.3376,2.6599,0.3699,2.3915,0.3873,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,55,2.6791,0.3366,2.5497,0.3764,2.4016,0.3852,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,56,2.7270,0.3396,2.6046,0.3839,2.3550,0.3943,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,57,2.7578,0.3462,2.6071,0.3860,2.3537,0.3961,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,58,2.6743,0.3506,2.5514,0.3862,2.3553,0.3948,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,59,2.6464,0.3460,2.5351,0.3856,2.3481,0.3982,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,60,2.6999,0.3592,2.5272,0.3901,2.3211,0.4005,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,61,2.6563,0.3564,2.5177,0.3964,2.3186,0.4050,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,62,2.6479,0.3504,2.4971,0.3932,2.2954,0.4089,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,63,2.7638,0.3402,2.5902,0.3801,2.3032,0.4088,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,64,2.6883,0.3544,2.5702,0.3897,2.2793,0.4141,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,65,2.6841,0.3594,2.6006,0.3854,2.2791,0.4111,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,66,2.6522,0.3616,2.5496,0.3948,2.2781,0.4116,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,67,2.6966,0.3526,2.5847,0.3866,2.2554,0.4194,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,68,2.7596,0.3456,2.5827,0.3852,2.2757,0.4144,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,69,2.6446,0.3640,2.5184,0.3984,2.2483,0.4202,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,70,2.7360,0.3524,2.6381,0.3844,2.2583,0.4192,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,71,2.7319,0.3548,2.6156,0.3927,2.2552,0.4218,-1.0000,-1.0000
cifar_more_step_scheduler_ReduceLROnPlateau,72,2.6945,0.3614,2.5422,0.3961,2.2311,0.4261,-1.0000,-1.0000
