name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
cifar_more_step_scheduler_StepLR,1,3.9445,0.0848,3.9048,0.0872,4.1930,0.0555,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,2,3.8919,0.1038,3.8330,0.1106,3.9417,0.0894,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,3,3.7398,0.1264,3.6572,0.1379,3.8228,0.1079,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,4,3.6487,0.1444,3.5896,0.1576,3.7489,0.1218,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,5,3.7178,0.1318,3.6746,0.1469,3.6983,0.1319,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,6,3.6651,0.1372,3.6038,0.1511,3.6681,0.1395,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,7,3.6508,0.1496,3.5541,0.1640,3.6183,0.1471,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,8,3.6519,0.1616,3.5634,0.1661,3.5915,0.1511,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,9,3.5734,0.1598,3.4753,0.1785,3.5487,0.1605,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,10,3.5004,0.1708,3.4527,0.1817,3.5487,0.1617,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,11,3.6013,0.1624,3.4652,0.1817,3.5459,0.1652,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,12,3.5868,0.1620,3.4994,0.1755,3.5289,0.1681,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,13,3.4168,0.1846,3.2923,0.2093,3.4791,0.1772,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,14,3.5335,0.1752,3.4058,0.1988,3.4570,0.1826,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,15,3.6361,0.1630,3.4691,0.1924,3.4791,0.1782,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,16,3.5830,0.1706,3.5058,0.1950,3.4524,0.1810,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,17,3.5082,0.1746,3.4055,0.2009,3.4456,0.1873,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,18,3.4825,0.1758,3.3775,0.1983,3.4486,0.1850,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,19,3.4489,0.1926,3.3931,0.2087,3.4325,0.1888,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,20,3.4758,0.1894,3.4150,0.2031,3.4285,0.1910,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,21,3.4495,0.1870,3.3385,0.2077,3.4248,0.1878,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,22,3.4547,0.1924,3.3567,0.2137,3.4172,0.1928,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,23,3.3956,0.2070,3.3437,0.2160,3.4074,0.1954,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,24,3.4024,0.2024,3.3287,0.2153,3.3999,0.1953,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,25,3.4629,0.1928,3.3811,0.2146,3.3925,0.1970,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,26,3.4267,0.2030,3.3069,0.2260,3.4049,0.1956,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,27,3.4404,0.1900,3.3233,0.2145,3.3760,0.2018,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,28,3.4785,0.1882,3.4111,0.2024,3.3694,0.2036,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,29,3.4063,0.2078,3.3107,0.2243,3.3763,0.2029,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,30,3.3798,0.2024,3.2907,0.2240,3.3612,0.2054,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,31,3.3724,0.2032,3.2820,0.2253,3.3648,0.2044,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,32,3.4114,0.2082,3.3323,0.2319,3.3658,0.2062,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,33,3.4729,0.2036,3.3470,0.2232,3.3482,0.2091,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,34,3.4789,0.2000,3.4271,0.2148,3.3648,0.2048,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,35,3.4250,0.2052,3.3453,0.2175,3.3732,0.2051,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,36,3.4387,0.1996,3.3523,0.2216,3.3564,0.2056,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,37,3.3806,0.2078,3.2790,0.2312,3.3426,0.2096,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,38,3.4099,0.2020,3.3093,0.2234,3.3388,0.2141,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,39,3.3619,0.2112,3.2648,0.2317,3.3270,0.2116,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,40,3.3769,0.2068,3.2943,0.2297,3.3063,0.2173,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,41,3.4584,0.1968,3.3526,0.2242,3.3039,0.2201,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,42,3.4129,0.2008,3.2815,0.2285,3.3552,0.2134,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,43,3.4713,0.1964,3.3669,0.2257,3.3351,0.2139,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,44,3.3881,0.2104,3.3267,0.2270,3.3116,0.2178,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,45,3.4994,0.1886,3.3850,0.2186,3.3074,0.2187,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,46,3.3743,0.2172,3.2718,0.2406,3.3243,0.2166,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,47,3.4616,0.1958,3.3931,0.2173,3.3111,0.2193,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,48,3.3364,0.2338,3.2513,0.2484,3.3075,0.2214,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,49,3.4014,0.2100,3.3162,0.2349,3.2954,0.2266,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,50,3.4052,0.2016,3.2706,0.2346,3.2998,0.2228,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,51,3.3860,0.2122,3.2504,0.2460,3.3160,0.2211,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,52,3.4284,0.2154,3.2605,0.2402,3.3033,0.2228,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,53,3.3440,0.2128,3.2674,0.2465,3.3197,0.2199,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,54,3.3075,0.2266,3.2246,0.2502,3.3144,0.2205,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,55,3.3648,0.2254,3.2570,0.2461,3.3070,0.2218,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,56,3.3859,0.2138,3.2504,0.2496,3.3065,0.2221,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,57,3.4354,0.2114,3.3585,0.2388,3.2804,0.2262,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,58,3.3199,0.2226,3.2121,0.2534,3.3140,0.2218,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,59,3.3414,0.2210,3.2334,0.2528,3.2575,0.2313,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,60,3.3998,0.2172,3.3187,0.2451,3.2966,0.2234,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,61,3.3902,0.2132,3.3108,0.2332,3.2961,0.2230,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,62,3.4315,0.2114,3.4096,0.2360,3.2862,0.2270,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,63,3.3274,0.2304,3.2525,0.2554,3.3165,0.2234,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,64,3.4196,0.2048,3.2820,0.2383,3.3230,0.2228,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,65,3.3834,0.2158,3.3406,0.2359,3.2836,0.2241,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,66,3.4423,0.2244,3.3088,0.2552,3.2678,0.2333,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,67,3.3795,0.2244,3.2994,0.2536,3.2764,0.2304,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,68,3.3559,0.2164,3.2593,0.2499,3.2931,0.2269,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,69,3.3143,0.2396,3.2235,0.2611,3.2803,0.2273,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,70,3.3893,0.2110,3.2620,0.2392,3.2685,0.2320,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,71,3.4096,0.2056,3.3094,0.2406,3.2649,0.2322,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,72,3.4458,0.2116,3.3371,0.2389,3.2898,0.2295,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,73,3.3208,0.2268,3.1863,0.2665,3.2710,0.2318,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,74,3.3257,0.2292,3.2010,0.2587,3.2696,0.2328,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,75,3.3873,0.2278,3.2681,0.2510,3.2834,0.2321,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,76,3.3945,0.2120,3.2332,0.2462,3.2510,0.2352,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,77,3.3751,0.2248,3.2430,0.2513,3.2641,0.2366,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,78,3.3424,0.2240,3.1961,0.2600,3.2630,0.2325,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,79,3.3682,0.2228,3.2612,0.2481,3.2725,0.2317,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,80,3.3867,0.2188,3.2830,0.2502,3.2649,0.2344,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,81,3.5140,0.2100,3.4744,0.2325,3.2695,0.2339,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,82,3.3103,0.2290,3.1832,0.2614,3.2450,0.2407,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,83,3.3281,0.2334,3.2481,0.2583,3.2432,0.2380,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,84,3.4081,0.2228,3.2605,0.2595,3.2349,0.2391,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,85,3.3142,0.2310,3.1822,0.2621,3.2351,0.2401,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,86,3.3792,0.2204,3.2406,0.2519,3.2604,0.2333,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,87,3.3532,0.2176,3.2844,0.2532,3.2371,0.2381,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,88,3.3095,0.2340,3.2155,0.2644,3.2176,0.2455,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,89,3.3113,0.2350,3.1787,0.2730,3.2288,0.2395,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,90,3.4446,0.2178,3.2493,0.2545,3.2450,0.2368,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,91,3.3343,0.2418,3.2189,0.2579,3.2342,0.2408,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,92,3.3422,0.2264,3.1907,0.2545,3.2260,0.2413,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,93,3.3356,0.2366,3.1953,0.2703,3.2243,0.2429,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,94,3.3563,0.2268,3.2457,0.2567,3.2382,0.2388,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,95,3.5561,0.1926,3.3394,0.2298,3.2422,0.2392,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,96,3.3258,0.2216,3.2056,0.2605,3.2205,0.2444,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,97,3.4133,0.2108,3.2366,0.2591,3.2231,0.2460,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,98,3.3586,0.2334,3.1979,0.2642,3.2074,0.2457,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,99,3.3141,0.2360,3.1937,0.2701,3.2053,0.2464,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,100,3.3664,0.2230,3.2721,0.2531,3.1977,0.2507,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,101,3.3763,0.2176,3.2229,0.2521,3.2135,0.2452,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,102,3.2570,0.2450,3.1472,0.2763,3.2177,0.2451,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,103,3.3047,0.2476,3.1993,0.2769,3.2262,0.2435,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,104,3.4215,0.2232,3.2647,0.2598,3.2242,0.2448,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,105,3.3584,0.2392,3.1979,0.2663,3.2252,0.2453,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,106,3.3270,0.2310,3.1763,0.2735,3.2326,0.2447,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,107,3.2692,0.2406,3.1814,0.2658,3.1977,0.2488,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,108,3.4099,0.2254,3.3078,0.2522,3.2034,0.2457,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,109,3.3416,0.2418,3.2207,0.2643,3.1999,0.2522,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,110,3.3171,0.2344,3.2513,0.2639,3.2259,0.2434,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,111,3.3131,0.2362,3.2170,0.2688,3.2227,0.2450,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,112,3.4274,0.2104,3.2540,0.2511,3.2083,0.2480,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,113,3.4400,0.2222,3.3050,0.2436,3.2222,0.2469,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,114,3.3034,0.2272,3.1612,0.2696,3.2341,0.2443,-1.0000,-1.0000
cifar_more_step_scheduler_StepLR,115,3.4443,0.2122,3.3464,0.2459,3.2085,0.2466,-1.0000,-1.0000
