name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
gamma_uniform_nc_iid_J_4,1,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.3401,0.0441,4.3402,0.0434,-1.0000,-1.0000
gamma_uniform_nc_iid_J_4,2,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4.2815,0.1303,4.2814,0.1296,-1.0000,-1.0000
gamma_uniform_nc_iid_J_4,3,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4.1831,0.1767,4.1825,0.1762,-1.0000,-1.0000
gamma_uniform_nc_iid_J_4,4,"[0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",3.9215,0.1870,3.9197,0.1869,-1.0000,-1.0000
gamma_uniform_nc_iid_J_4,5,"[1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 2, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",3.4629,0.1870,3.4587,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_4,6,"[1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 3, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 0, 0, 0, 2, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 1, 1, 0, 1, 0, 2, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]",3.3220,0.1870,3.3156,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_4,7,"[2, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 3, 1, 0, 2, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 2, 0, 1, 0, 2, 0, 0, 0, 2, 0, 2, 1, 1, 0, 0, 1, 2, 0, 0, 2, 1, 0, 0, 1, 1, 0, 2, 0, 3, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1]",3.2526,0.1870,3.2455,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_4,8,"[2, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 3, 1, 0, 2, 2, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 2, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 2, 0, 1, 0, 2, 0, 1, 1, 2, 0, 2, 1, 1, 0, 0, 1, 2, 0, 0, 3, 1, 0, 0, 2, 1, 0, 2, 0, 3, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1]",3.2109,0.1870,3.2033,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_4,9,"[2, 0, 2, 1, 1, 1, 0, 0, 1, 0, 0, 1, 3, 1, 0, 2, 2, 2, 1, 1, 0, 1, 0, 0, 0, 0, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 2, 1, 1, 0, 0, 1, 1, 2, 0, 0, 1, 2, 0, 1, 1, 2, 0, 1, 1, 2, 0, 2, 2, 1, 0, 0, 1, 3, 0, 0, 3, 1, 0, 1, 2, 1, 0, 2, 0, 3, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1]",3.1883,0.1870,3.1798,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_4,10,"[2, 0, 2, 2, 1, 1, 0, 0, 1, 0, 0, 1, 3, 1, 0, 2, 2, 2, 1, 1, 0, 1, 0, 0, 0, 0, 2, 1, 1, 2, 1, 1, 1, 1, 4, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 2, 2, 2, 0, 0, 1, 2, 3, 0, 0, 1, 2, 0, 1, 1, 2, 1, 1, 1, 2, 0, 2, 2, 1, 0, 0, 1, 3, 0, 0, 3, 1, 0, 1, 2, 1, 0, 2, 1, 3, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1]",3.1704,0.1870,3.1617,0.1871,3.1666,0.1874
