name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc,local_train_mean,local_train_std
test_sampled_uniform_50_J_4,1,4.6073,0.0080,4.6052,0.0054,-1.0000,-1.0000,0.0280,0.0195
test_sampled_uniform_50_J_4,2,4.6084,0.0102,4.6051,0.0108,-1.0000,-1.0000,0.0191,0.0068
test_sampled_uniform_50_J_4,3,4.6164,0.0154,4.6071,0.0138,-1.0000,-1.0000,0.0376,0.0250
test_sampled_uniform_50_J_4,4,4.6675,0.0132,4.6316,0.0130,-1.0000,-1.0000,0.0233,0.0134
test_sampled_uniform_50_J_4,5,4.8010,0.0124,4.7167,0.0130,-1.0000,-1.0000,0.0302,0.0214
test_sampled_uniform_50_J_4,6,4.7724,0.0116,4.6896,0.0126,-1.0000,-1.0000,0.0307,0.0171
test_sampled_uniform_50_J_4,7,4.7156,0.0154,4.6768,0.0187,-1.0000,-1.0000,0.0322,0.0052
test_sampled_uniform_50_J_4,8,4.8064,0.0180,4.7103,0.0202,-1.0000,-1.0000,0.0589,0.0278
test_sampled_uniform_50_J_4,9,4.6847,0.0304,4.6265,0.0328,-1.0000,-1.0000,0.0722,0.0291
test_sampled_uniform_50_J_4,10,4.5555,0.0294,4.5025,0.0306,-1.0000,-1.0000,0.0764,0.0173
test_sampled_uniform_50_J_4,11,4.5855,0.0352,4.5179,0.0431,-1.0000,-1.0000,0.0929,0.0238
test_sampled_uniform_50_J_4,12,4.5262,0.0464,4.4643,0.0523,-1.0000,-1.0000,0.0951,0.0152
test_sampled_uniform_50_J_4,13,4.4551,0.0490,4.3766,0.0566,-1.0000,-1.0000,0.1096,0.0130
test_sampled_uniform_50_J_4,14,4.4425,0.0408,4.3623,0.0531,-1.0000,-1.0000,0.1158,0.0102
test_sampled_uniform_50_J_4,15,4.4367,0.0544,4.4148,0.0520,-1.0000,-1.0000,0.1276,0.0128
test_sampled_uniform_50_J_4,16,4.3430,0.0560,4.2940,0.0582,-1.0000,-1.0000,0.1231,0.0160
test_sampled_uniform_50_J_4,17,4.2691,0.0702,4.2407,0.0707,-1.0000,-1.0000,0.1398,0.0388
test_sampled_uniform_50_J_4,18,4.3578,0.0596,4.2269,0.0724,-1.0000,-1.0000,0.1409,0.0178
test_sampled_uniform_50_J_4,19,4.3668,0.0608,4.3208,0.0629,-1.0000,-1.0000,0.1360,0.0107
test_sampled_uniform_50_J_4,20,4.1700,0.0580,4.1296,0.0673,-1.0000,-1.0000,0.1351,0.0134
test_sampled_uniform_50_J_4,21,4.2224,0.0788,4.1888,0.0837,-1.0000,-1.0000,0.1493,0.0226
test_sampled_uniform_50_J_4,22,4.2327,0.0688,4.1734,0.0805,-1.0000,-1.0000,0.1422,0.0196
test_sampled_uniform_50_J_4,23,4.2556,0.0668,4.1806,0.0677,-1.0000,-1.0000,0.1567,0.0192
test_sampled_uniform_50_J_4,24,4.2179,0.0712,4.1708,0.0742,-1.0000,-1.0000,0.1531,0.0119
test_sampled_uniform_50_J_4,25,4.1252,0.0762,4.0939,0.0843,-1.0000,-1.0000,0.1651,0.0113
test_sampled_uniform_50_J_4,26,4.1863,0.0840,4.0829,0.1018,-1.0000,-1.0000,0.1804,0.0485
test_sampled_uniform_50_J_4,27,4.1231,0.0884,4.0592,0.0930,-1.0000,-1.0000,0.1818,0.0272
test_sampled_uniform_50_J_4,28,4.0392,0.0944,4.0133,0.0952,-1.0000,-1.0000,0.1700,0.0201
