timestamp,model_name,parameters,train_max_acc,train_round,train_loss,val_max_acc,val_round,val_loss,test_max_acc,test_round,test_loss
2025-08-08 19:16:20,hetetogeneous_shard_iid_J_4_LR_0.01,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2000, ""GAMMA"": ""uniform"", ""momentum"": 0.9}",0.8723,1995,0.4008,0.4374,1961,4.0792,0.4539,1878,4.1963
2025-08-08 22:36:49,hetetogeneous_shard_non_iid_1_J_4_LR_0.01,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2000, ""GAMMA"": ""uniform"", ""momentum"": 0.9}",0.2034,1993,3.1512,0.1926,1951,3.3638,0.2134,1993,3.1206
2025-08-09 06:09:38,hetetogeneous_shard_iid_J_8_LR_0.01,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 8, ""ROUNDS"": 1000, ""GAMMA"": ""uniform"", ""momentum"": 0.9}",0.7609,998,0.821,0.3952,996,4.2132,0.4023,922,4.3965
2025-08-09 08:24:13,hetetogeneous_shard_iid_J_16_LR_0.01,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 16, ""ROUNDS"": 500, ""GAMMA"": ""uniform"", ""momentum"": 0.9}",0.5878,495,1.6257,0.3442,500,4.2168,0.3494,500,4.3507
2025-08-09 11:02:10,hetetogeneous_shard_non_iid_1_J_8_LR_0.01,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 8, ""ROUNDS"": 1000, ""GAMMA"": ""uniform"", ""momentum"": 0.9}",0.1176,984,3.7846,0.1224,913,3.7992,0.1362,913,3.7161
2025-08-09 13:16:13,hetetogeneous_shard_non_iid_1_J_16_LR_0.01,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 16, ""ROUNDS"": 500, ""GAMMA"": ""uniform"", ""momentum"": 0.9}",0.065,464,4.219,0.0672,450,4.1788,0.0723,450,4.1493
2025-08-09 17:50:23,hetetogeneous_shard_non_iid_5_J_4_LR_0.01,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2000, ""GAMMA"": ""uniform"", ""momentum"": 0.9}",0.1548,1856,3.5123,0.1578,1856,3.5536,0.1734,1916,3.4405
2025-08-09 20:59:35,hetetogeneous_shard_non_iid_5_J_8_LR_0.01,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 8, ""ROUNDS"": 1000, ""GAMMA"": ""uniform"", ""momentum"": 0.9}",0.117,947,3.7847,0.1158,947,3.8085,0.1307,947,3.7172
2025-08-10 04:19:04,hetetogeneous_shard_non_iid_5_J_4_LR_0.01,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2000, ""GAMMA"": ""uniform"", ""momentum"": 0.9}",0.1548,1856,3.5123,0.1578,1856,3.5536,0.1734,1916,3.4405
2025-08-10 04:20:40,hetetogeneous_shard_non_iid_5_J_4_LR_0.01,"{""lr"": 0.01, ""weight_decay"": 0.0001, ""batch_size"": 128, ""K"": 100, ""C"": 0.1, ""J"": 4, ""ROUNDS"": 2000, ""GAMMA"": ""uniform"", ""momentum"": 0.9}",0.1548,1856,3.5123,0.1578,1856,3.5536,0.1734,1916,3.4405
