name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
shakespeare_iid,1,4.3721,0.0079,4.3720,0.0081,-1.0000,-1.0000
shakespeare_iid,2,4.3714,0.0099,4.3713,0.0101,-1.0000,-1.0000
shakespeare_iid,3,4.3706,0.0128,4.3705,0.0129,-1.0000,-1.0000
shakespeare_iid,4,4.3699,0.0160,4.3698,0.0162,-1.0000,-1.0000
shakespeare_iid,5,4.3691,0.0198,4.3690,0.0200,-1.0000,-1.0000
shakespeare_iid,6,4.3684,0.0236,4.3683,0.0239,-1.0000,-1.0000
shakespeare_iid,7,4.3676,0.0277,4.3675,0.0281,-1.0000,-1.0000
shakespeare_iid,8,4.3669,0.0316,4.3668,0.0319,-1.0000,-1.0000
shakespeare_iid,9,4.3662,0.0354,4.3661,0.0356,-1.0000,-1.0000
shakespeare_iid,10,4.3654,0.0395,4.3653,0.0396,4.3653,0.0395
shakespeare_iid,11,4.3647,0.0434,4.3646,0.0434,-1.0000,-1.0000
shakespeare_iid,12,4.3639,0.0470,4.3639,0.0471,-1.0000,-1.0000
shakespeare_iid,13,4.3632,0.0495,4.3631,0.0496,-1.0000,-1.0000
shakespeare_iid,14,4.3624,0.0520,4.3624,0.0521,-1.0000,-1.0000
shakespeare_iid,15,4.3617,0.0545,4.3616,0.0542,-1.0000,-1.0000
shakespeare_iid,16,4.3609,0.0564,4.3609,0.0562,-1.0000,-1.0000
shakespeare_iid,17,4.3602,0.0580,4.3601,0.0580,-1.0000,-1.0000
shakespeare_iid,18,4.3595,0.0594,4.3594,0.0592,-1.0000,-1.0000
shakespeare_iid,19,4.3587,0.0603,4.3587,0.0601,-1.0000,-1.0000
shakespeare_iid,20,4.3580,0.0610,4.3579,0.0608,4.3580,0.0610
shakespeare_iid,21,4.3573,0.0615,4.3572,0.0613,-1.0000,-1.0000
shakespeare_iid,22,4.3565,0.0618,4.3565,0.0615,-1.0000,-1.0000
shakespeare_iid,23,4.3558,0.0619,4.3557,0.0617,-1.0000,-1.0000
shakespeare_iid,24,4.3550,0.0620,4.3550,0.0618,-1.0000,-1.0000
shakespeare_iid,25,4.3543,0.0621,4.3543,0.0618,-1.0000,-1.0000
shakespeare_iid,26,4.3536,0.0621,4.3535,0.0619,-1.0000,-1.0000
shakespeare_iid,27,4.3528,0.0621,4.3528,0.0619,-1.0000,-1.0000
shakespeare_iid,28,4.3521,0.0621,4.3521,0.0619,-1.0000,-1.0000
