timestamp,model_name,parameters,train_max_acc,train_round,train_loss,val_max_acc,val_round,val_loss,test_max_acc,test_round,test_loss
2025-08-31 19:24:59,split_by_role_gamma_uniform_nc_10_J_4,{},0.3731,500,2.3911,0.371,500,2.3972,0.3752,500,2.3849
2025-08-31 19:24:59,split_by_role_gamma_uniform_nc_1_J_8,{},0.381,240,2.3212,0.3823,243,2.3214,0.3861,245,2.3091
2025-08-31 19:24:59,gamma_uniform_nc_iid_J_16,{},0.3827,120,2.2763,0.3847,123,2.276,0.3874,123,2.264
2025-08-31 19:24:59,split_by_role_gamma_uniform_nc_50_J_4,{},0.3706,500,2.3904,0.3701,499,2.3975,0.3741,499,2.385
2025-08-31 19:24:59,split_by_role_gamma_uniform_nc_50_J_8,{},0.3797,250,2.3221,0.3781,250,2.3275,0.3819,250,2.3145
2025-08-31 19:24:59,gamma_1_nc_iid_J_8,{},-1.0,1,-1.0,0.1866,2,4.0525,0.1878,2,4.0499
2025-08-31 19:24:59,gamma_0.01_nc_iid_J_8,{},0.3809,250,2.3236,0.3807,241,2.3354,0.3847,241,2.3225
2025-08-31 19:24:59,split_by_role_gamma_uniform_nc_5_J_16,{},0.3869,120,2.2772,0.3864,122,2.2799,0.3892,122,2.2673
2025-08-31 19:24:59,gamma_1_nc_iid_J_4,{},0.3712,500,2.3945,0.3702,476,2.4089,0.3734,476,2.3964
2025-08-31 19:24:59,split_by_role_gamma_uniform_nc_1_J_16,{},0.3766,110,2.3143,0.3799,121,2.3055,0.3835,124,2.2897
2025-08-31 19:24:59,split_by_role_gamma_uniform_nc_10_J_8,{},0.3837,250,2.3191,0.3829,249,2.3254,0.3864,249,2.3125
2025-08-31 19:24:59,split_by_role_gamma_uniform_nc_50_J_16,{},0.383,120,2.2817,0.3857,125,2.2774,0.388,125,2.2643
2025-08-31 19:24:59,split_by_role_gamma_uniform_nc_5_J_4,{},0.3725,500,2.3807,0.3718,482,2.3968,0.3751,482,2.3839
2025-08-31 19:24:59,gamma_uniform_nc_10_J_16,{},0.2268,110,3.2562,0.2466,124,2.9956,0.2458,124,2.9887
2025-08-31 19:24:59,split_by_role_gamma_uniform_nc_5_J_8,{},0.382,250,2.3145,0.3812,248,2.3207,0.3845,248,2.3086
2025-08-31 19:24:59,gamma_uniform_nc_10_J_8,{},0.2548,220,2.9472,0.254,220,2.9509,0.2565,204,3.0521
2025-08-31 19:24:59,gamma_uniform_nc_1_J_8,{},0.1875,120,3.4215,0.2071,53,4.0226,0.2071,53,4.0183
2025-08-31 19:24:59,gamma_0.01_nc_iid_J_16,{},0.3814,120,2.2799,0.3848,125,2.2801,0.3874,125,2.2667
2025-08-31 19:24:59,gamma_uniform_nc_10_J_4,{},0.2764,480,2.9969,0.2868,477,2.9095,0.2902,477,2.8968
2025-08-31 19:24:59,gamma_uniform_nc_50_J_16,{},0.3683,120,2.37,0.3738,125,2.3434,0.3765,125,2.3309
2025-08-31 19:24:59,gamma_uniform_nc_50_J_4,{},0.3536,500,2.4368,0.3573,485,2.4533,0.361,485,2.4417
2025-08-31 19:25:00,gamma_0.01_nc_iid_J_4,{},0.3719,500,2.3914,0.3698,500,2.3974,0.3739,500,2.384
2025-08-31 19:25:00,gamma_uniform_nc_iid_J_8,{},0.3777,240,2.3261,0.3792,243,2.3299,0.3817,243,2.3174
2025-08-31 19:25:00,gamma_uniform_nc_1_J_4,{},0.2011,370,3.4614,0.2208,456,3.2907,0.2223,456,3.2812
2025-08-31 19:25:00,split_by_role_gamma_uniform_nc_10_J_16,{},0.3823,120,2.2804,0.3853,125,2.276,0.3878,125,2.2636
2025-08-31 19:25:00,split_by_role_gamma_uniform_nc_1_J_4,{},0.3721,500,2.3912,0.3725,492,2.3994,0.3759,492,2.3861
2025-08-31 19:25:00,gamma_uniform_nc_1_J_16,{},0.1874,10,5.5703,0.1925,56,3.5671,0.1926,56,3.5628
2025-08-31 19:25:00,gamma_uniform_nc_iid_J_4,{},0.3776,500,2.3974,0.3765,498,2.4004,0.3794,498,2.3881
2025-08-31 19:25:00,gamma_uniform_nc_50_J_8,{},0.3696,240,2.3855,0.3715,239,2.4007,0.3736,239,2.3881
