name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
gamma_0.01_nc_iid_J_16,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4.1500,0.1177,4.1492,0.1176,-1.0000,-1.0000
gamma_0.01_nc_iid_J_16,2,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3.1855,0.1870,3.1773,0.1871,-1.0000,-1.0000
gamma_0.01_nc_iid_J_16,3,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3.1045,0.1870,3.0952,0.1871,-1.0000,-1.0000
gamma_0.01_nc_iid_J_16,4,"[1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 2, 1, 0]",3.0580,0.1870,3.0490,0.1871,-1.0000,-1.0000
gamma_0.01_nc_iid_J_16,5,"[1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 2, 1, 0]",3.0164,0.1901,3.0077,0.1903,-1.0000,-1.0000
gamma_0.01_nc_iid_J_16,6,"[1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 2, 0, 1, 1, 0, 1, 1, 2, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 2, 0, 1, 1, 1, 0, 0, 2, 0, 1, 0, 2, 1, 0]",2.9770,0.2079,2.9685,0.2087,-1.0000,-1.0000
gamma_0.01_nc_iid_J_16,7,"[1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 2, 0, 2, 1, 1, 1, 1, 3, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 0, 0, 2, 2, 0, 1, 1, 1, 0, 0, 2, 1, 1, 0, 2, 2, 0]",2.9391,0.2291,2.9303,0.2305,-1.0000,-1.0000
gamma_0.01_nc_iid_J_16,8,"[1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 1, 2, 1, 1, 0, 2, 0, 2, 1, 1, 1, 1, 3, 1, 1, 0, 0, 0, 1, 0, 2, 2, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 2, 1, 1, 0, 0, 1, 0, 1, 0, 1, 2, 1, 2, 2, 0, 0, 3, 2, 0, 1, 1, 1, 0, 0, 2, 1, 1, 0, 2, 2, 0]",2.9052,0.2370,2.8968,0.2380,-1.0000,-1.0000
gamma_0.01_nc_iid_J_16,9,"[1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 2, 1, 0, 2, 1, 0, 0, 1, 1, 1, 2, 2, 1, 0, 2, 0, 2, 1, 1, 1, 1, 3, 1, 1, 0, 0, 0, 2, 0, 2, 2, 1, 0, 1, 1, 0, 0, 2, 0, 0, 2, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 0, 0, 3, 2, 0, 1, 1, 1, 0, 0, 2, 2, 1, 0, 2, 3, 0]",2.8761,0.2599,2.8673,0.2616,-1.0000,-1.0000
gamma_0.01_nc_iid_J_16,10,"[1, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 0, 0, 2, 0, 0, 2, 1, 1, 3, 1, 0, 0, 1, 1, 1, 2, 2, 1, 0, 3, 0, 2, 1, 1, 1, 1, 4, 2, 1, 0, 0, 0, 2, 0, 2, 2, 1, 1, 1, 1, 0, 0, 2, 0, 0, 2, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 0, 0, 3, 2, 0, 1, 1, 1, 1, 0, 2, 2, 1, 0, 2, 3, 0]",2.8491,0.2648,2.8404,0.2658,2.8460,0.2657
