name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
gamma_uniform_nc_10_J_4,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.3661,0.0210,4.3659,0.0212,-1.0000,-1.0000
gamma_uniform_nc_10_J_4,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",4.3388,0.0984,4.3385,0.0988,-1.0000,-1.0000
gamma_uniform_nc_10_J_4,3,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0]",4.3080,0.1545,4.3075,0.1544,-1.0000,-1.0000
gamma_uniform_nc_10_J_4,4,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 3, 1, 0, 1, 1, 1, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0]",4.2584,0.1826,4.2578,0.1826,-1.0000,-1.0000
gamma_uniform_nc_10_J_4,5,"[0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 3, 2, 0, 1, 2, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0]",4.1860,0.1868,4.1849,0.1868,-1.0000,-1.0000
gamma_uniform_nc_10_J_4,6,"[0, 0, 1, 2, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 3, 2, 0, 2, 2, 1, 2, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 2, 2, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 1]",4.0628,0.1870,4.0611,0.1871,-1.0000,-1.0000
gamma_uniform_nc_10_J_4,7,"[0, 0, 1, 3, 1, 1, 0, 0, 2, 0, 0, 2, 1, 1, 3, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 3, 2, 0, 2, 2, 1, 2, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 1, 0, 0, 1, 2, 2, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 1, 1]",3.7913,0.1870,3.7877,0.1871,-1.0000,-1.0000
gamma_uniform_nc_10_J_4,8,"[0, 0, 2, 3, 1, 2, 0, 1, 2, 1, 0, 2, 2, 2, 3, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 3, 2, 0, 2, 2, 1, 2, 2, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 1, 0, 0, 1, 2, 2, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 1, 1]",3.6988,0.1870,3.6933,0.1871,-1.0000,-1.0000
gamma_uniform_nc_10_J_4,9,"[0, 0, 2, 3, 1, 2, 0, 2, 2, 1, 1, 3, 2, 2, 4, 0, 0, 0, 0, 0, 1, 0, 3, 2, 0, 1, 1, 1, 1, 0, 0, 2, 0, 1, 0, 3, 2, 0, 2, 2, 1, 2, 2, 0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1, 1, 1, 1, 0, 2, 1, 0, 0, 1, 2, 2, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 1, 1]",3.6040,0.1870,3.5969,0.1871,-1.0000,-1.0000
gamma_uniform_nc_10_J_4,10,"[0, 0, 2, 3, 1, 2, 0, 2, 2, 1, 1, 3, 2, 2, 4, 0, 0, 0, 0, 0, 1, 1, 4, 2, 0, 1, 1, 1, 1, 0, 0, 2, 1, 2, 0, 3, 2, 0, 2, 2, 1, 2, 2, 0, 1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 1, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 1, 1, 0, 2, 1, 0, 0, 1, 2, 2, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 2, 2, 0, 1, 1, 1]",3.5584,0.1870,3.5502,0.1871,3.5538,0.1874
