name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
split_by_role_gamma_uniform_nc_5_J_16,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",4.1355,0.1623,4.1347,0.1621,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_5_J_16,2,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",3.1985,0.1870,3.1905,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_5_J_16,3,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",3.1028,0.1870,3.0946,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_5_J_16,4,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]",3.0546,0.1871,3.0452,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_5_J_16,5,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 3, 0, 0, 1, 0, 0, 1, 1, 1, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1]",3.0176,0.2033,3.0089,0.2041,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_5_J_16,6,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 2, 0, 0, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 3, 0, 1, 0, 0, 1, 1, 1, 0, 3, 0, 0, 1, 0, 0, 1, 1, 1, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2]",2.9712,0.2137,2.9627,0.2144,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_5_J_16,7,"[0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 2, 2, 0, 0, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 3, 0, 1, 1, 0, 1, 0, 0, 0, 3, 2, 1, 0, 1, 3, 0, 1, 0, 0, 1, 1, 1, 0, 3, 0, 0, 1, 0, 0, 1, 1, 1, 4, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2]",2.9402,0.2443,2.9312,0.2459,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_5_J_16,8,"[0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 2, 2, 0, 0, 1, 0, 2, 1, 2, 1, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 3, 0, 1, 2, 0, 1, 0, 0, 0, 3, 2, 1, 0, 1, 3, 1, 1, 0, 0, 1, 1, 1, 0, 3, 0, 0, 1, 0, 0, 1, 1, 1, 4, 0, 0, 2, 0, 2, 1, 0, 0, 0, 2, 0, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2]",2.9035,0.2384,2.8944,0.2398,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_5_J_16,9,"[0, 0, 0, 1, 0, 1, 3, 0, 0, 1, 3, 2, 0, 0, 2, 0, 2, 1, 2, 2, 0, 1, 0, 0, 1, 2, 0, 0, 2, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 3, 0, 1, 2, 0, 1, 1, 0, 0, 3, 2, 1, 0, 1, 3, 1, 1, 0, 0, 1, 1, 1, 0, 3, 0, 0, 1, 0, 0, 1, 1, 1, 4, 0, 0, 2, 0, 2, 1, 0, 0, 0, 2, 0, 1, 1, 2, 0, 2, 0, 0, 0, 2, 2, 1, 2, 1, 1, 2]",2.8709,0.2607,2.8616,0.2613,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_5_J_16,10,"[0, 1, 0, 1, 0, 1, 3, 0, 0, 1, 3, 2, 0, 0, 3, 0, 2, 1, 3, 2, 0, 1, 0, 0, 1, 2, 0, 0, 2, 1, 0, 2, 0, 1, 1, 0, 1, 1, 0, 2, 0, 3, 0, 2, 2, 0, 1, 1, 0, 0, 3, 2, 1, 0, 1, 3, 1, 2, 0, 0, 1, 1, 1, 0, 3, 0, 0, 1, 0, 0, 1, 1, 1, 4, 0, 0, 2, 0, 2, 2, 0, 0, 0, 2, 0, 1, 1, 2, 1, 2, 0, 0, 0, 2, 2, 1, 2, 1, 1, 2]",2.8464,0.2605,2.8373,0.2608,2.8430,0.2614
