name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
gamma_0.01_nc_iid_J_8,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.2760,0.1923,4.2753,0.1933,-1.0000,-1.0000
gamma_0.01_nc_iid_J_8,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",4.0846,0.1873,4.0831,0.1873,-1.0000,-1.0000
gamma_0.01_nc_iid_J_8,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",3.3696,0.1870,3.3627,0.1871,-1.0000,-1.0000
gamma_0.01_nc_iid_J_8,4,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 1, 0, 0, 1, 0, 2, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",3.2168,0.1870,3.2083,0.1871,-1.0000,-1.0000
gamma_0.01_nc_iid_J_8,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 2, 2, 1, 0, 0, 1, 0, 3, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",3.1524,0.1870,3.1433,0.1871,-1.0000,-1.0000
gamma_0.01_nc_iid_J_8,6,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 1, 1, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 2, 2, 2, 1, 0, 0, 1, 0, 3, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",3.1171,0.1870,3.1081,0.1871,-1.0000,-1.0000
gamma_0.01_nc_iid_J_8,7,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 1, 1, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 2, 2, 2, 1, 0, 0, 1, 0, 3, 2, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 2, 1, 0, 3, 0, 0, 1, 2, 0, 1, 0, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2]",3.0934,0.1870,3.0839,0.1871,-1.0000,-1.0000
gamma_0.01_nc_iid_J_8,8,"[0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 2, 0, 2, 0, 2, 1, 0, 0, 0, 0, 1, 2, 2, 2, 1, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 2, 2, 2, 1, 0, 0, 1, 0, 3, 2, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 2, 2, 0, 3, 0, 0, 1, 2, 0, 1, 0, 0, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 1, 2]",3.0679,0.1870,3.0588,0.1871,-1.0000,-1.0000
gamma_0.01_nc_iid_J_8,9,"[0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 2, 0, 2, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 2, 1, 0, 2, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 3, 2, 2, 1, 0, 0, 1, 0, 3, 2, 0, 1, 1, 2, 0, 1, 2, 1, 1, 1, 0, 1, 2, 2, 0, 3, 1, 0, 1, 2, 0, 1, 0, 0, 2, 1, 1, 2, 1, 0, 0, 1, 0, 1, 1, 1, 2]",3.0433,0.1870,3.0336,0.1871,-1.0000,-1.0000
gamma_0.01_nc_iid_J_8,10,"[0, 0, 1, 1, 1, 2, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 2, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 2, 1, 0, 2, 0, 0, 1, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 3, 2, 2, 1, 0, 1, 1, 0, 3, 3, 0, 1, 1, 2, 0, 1, 2, 1, 1, 1, 0, 1, 2, 2, 0, 3, 1, 0, 1, 2, 0, 2, 0, 0, 2, 1, 1, 2, 1, 1, 0, 1, 1, 1, 1, 1, 2]",3.0234,0.1878,3.0139,0.1878,3.0197,0.1881
