name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
gamma_1_nc_iid_J_4,1,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4.3383,0.0431,4.3384,0.0434,-1.0000,-1.0000
gamma_1_nc_iid_J_4,2,"[0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4.2835,0.1395,4.2833,0.1392,-1.0000,-1.0000
gamma_1_nc_iid_J_4,3,"[0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4.1876,0.1788,4.1868,0.1785,-1.0000,-1.0000
gamma_1_nc_iid_J_4,4,"[1, 1, 0, 0, 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 3, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",3.9393,0.1870,3.9371,0.1869,-1.0000,-1.0000
gamma_1_nc_iid_J_4,5,"[1, 2, 0, 0, 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 4, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",3.4647,0.1870,3.4592,0.1871,-1.0000,-1.0000
gamma_1_nc_iid_J_4,6,"[1, 2, 0, 0, 0, 2, 0, 1, 0, 3, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 2, 1, 0, 0, 0, 1, 2, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 1, 1, 0, 4, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",3.3044,0.1870,3.2968,0.1871,-1.0000,-1.0000
gamma_1_nc_iid_J_4,7,"[1, 2, 0, 0, 0, 2, 0, 1, 0, 4, 1, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2, 1, 0, 0, 0, 1, 2, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 1, 0, 1, 1, 0, 4, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",3.2435,0.1870,3.2355,0.1871,-1.0000,-1.0000
gamma_1_nc_iid_J_4,8,"[1, 2, 0, 0, 0, 2, 0, 1, 0, 4, 2, 0, 0, 2, 1, 0, 1, 3, 0, 0, 1, 2, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 1, 0, 2, 2, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2, 1, 0, 0, 1, 1, 2, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 1, 0, 1, 1, 0, 4, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 2, 1, 1]",3.2106,0.1870,3.2021,0.1871,-1.0000,-1.0000
gamma_1_nc_iid_J_4,9,"[1, 2, 0, 0, 0, 2, 0, 1, 0, 4, 2, 0, 0, 3, 1, 0, 1, 3, 0, 0, 1, 2, 2, 0, 0, 0, 2, 1, 0, 1, 0, 0, 2, 0, 3, 2, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 0, 1, 2, 1, 0, 0, 2, 2, 3, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 1, 0, 1, 1, 0, 4, 0, 1, 1, 0, 1, 0, 1, 0, 2, 1, 1, 0, 2, 1, 1]",3.1838,0.1870,3.1749,0.1871,-1.0000,-1.0000
gamma_1_nc_iid_J_4,10,"[1, 2, 0, 0, 0, 2, 0, 1, 0, 4, 3, 0, 0, 3, 1, 0, 1, 3, 0, 0, 1, 2, 2, 1, 0, 0, 2, 1, 0, 1, 0, 0, 2, 1, 3, 2, 1, 1, 0, 0, 0, 1, 1, 2, 1, 1, 1, 2, 1, 1, 0, 1, 1, 1, 1, 2, 1, 0, 0, 2, 2, 3, 1, 2, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 3, 2, 1, 0, 1, 1, 0, 4, 0, 1, 1, 0, 1, 1, 1, 0, 2, 1, 1, 0, 2, 1, 1]",3.1669,0.1870,3.1577,0.1871,3.1629,0.1874
