name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
gamma_uniform_nc_1_J_4,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.3855,0.0104,4.3853,0.0101,-1.0000,-1.0000
gamma_uniform_nc_1_J_4,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",4.3859,0.0187,4.3858,0.0183,-1.0000,-1.0000
gamma_uniform_nc_1_J_4,3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]",4.3807,0.0314,4.3809,0.0295,-1.0000,-1.0000
gamma_uniform_nc_1_J_4,4,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 1, 1, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0]",4.3709,0.0313,4.3712,0.0295,-1.0000,-1.0000
gamma_uniform_nc_1_J_4,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 3, 1, 3, 0, 0, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 1, 1, 1, 0, 2, 2, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2, 2, 0, 0, 2, 0]",4.3674,0.0310,4.3676,0.0292,-1.0000,-1.0000
gamma_uniform_nc_1_J_4,6,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 3, 1, 3, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 1, 1, 1, 1, 2, 2, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 2, 2, 0, 0, 2, 0]",4.3574,0.0348,4.3575,0.0332,-1.0000,-1.0000
gamma_uniform_nc_1_J_4,7,"[0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 3, 1, 3, 1, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 2, 1, 1, 1, 2, 2, 1, 2, 0, 0, 0, 1, 1, 0, 1, 1, 2, 2, 0, 0, 2, 0]",4.3438,0.0384,4.3438,0.0365,-1.0000,-1.0000
gamma_uniform_nc_1_J_4,8,"[0, 0, 1, 0, 0, 0, 2, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2, 0, 2, 1, 0, 1, 0, 2, 3, 1, 3, 1, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 2, 1, 1, 1, 3, 2, 1, 2, 0, 0, 0, 1, 1, 0, 1, 1, 2, 2, 0, 0, 3, 0]",4.2993,0.0371,4.2994,0.0354,-1.0000,-1.0000
gamma_uniform_nc_1_J_4,9,"[0, 0, 1, 0, 1, 0, 2, 2, 1, 1, 0, 2, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 2, 0, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 2, 1, 1, 1, 0, 1, 1, 0, 2, 2, 0, 2, 1, 0, 1, 0, 2, 3, 1, 3, 1, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 2, 1, 1, 1, 3, 3, 2, 2, 0, 0, 0, 1, 1, 0, 1, 1, 2, 2, 0, 0, 3, 0]",4.2616,0.0384,4.2620,0.0369,-1.0000,-1.0000
gamma_uniform_nc_1_J_4,10,"[1, 0, 1, 0, 2, 0, 3, 2, 1, 1, 1, 2, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 2, 0, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 2, 1, 1, 1, 0, 1, 1, 0, 2, 3, 0, 2, 1, 0, 1, 0, 2, 4, 1, 3, 2, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 1, 1, 3, 1, 0, 0, 0, 2, 1, 1, 1, 3, 3, 3, 2, 0, 0, 0, 2, 1, 0, 1, 1, 2, 2, 0, 0, 3, 0]",4.1968,0.0598,4.1974,0.0595,4.1973,0.0597
