name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
gamma_uniform_nc_iid_J_16,1,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.0474,0.1870,4.0462,0.1870,-1.0000,-1.0000
gamma_uniform_nc_iid_J_16,2,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.2139,0.1870,3.2042,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_16,3,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 1, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3.1220,0.1870,3.1126,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_16,4,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 2, 2, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",3.0913,0.1870,3.0820,0.1871,-1.0000,-1.0000
gamma_uniform_nc_iid_J_16,5,"[2, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 1, 0, 3, 3, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",3.0571,0.1872,3.0478,0.1873,-1.0000,-1.0000
gamma_uniform_nc_iid_J_16,6,"[2, 0, 1, 1, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 2, 0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 1, 1, 1, 3, 3, 2, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",3.0198,0.2091,3.0111,0.2099,-1.0000,-1.0000
gamma_uniform_nc_iid_J_16,7,"[2, 0, 1, 1, 3, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 2, 1, 2, 0, 2, 0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 3, 0, 0, 1, 2, 2, 3, 3, 2, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",2.9828,0.2100,2.9748,0.2106,-1.0000,-1.0000
gamma_uniform_nc_iid_J_16,8,"[2, 0, 2, 2, 3, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 3, 1, 0, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 2, 2, 0, 0, 1, 0, 1, 0, 2, 1, 2, 0, 2, 0, 1, 0, 2, 1, 0, 0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 3, 0, 0, 1, 2, 3, 3, 3, 2, 0, 0, 1, 0, 0, 2, 0, 1, 1, 0, 1, 0]",2.9499,0.2200,2.9424,0.2204,-1.0000,-1.0000
gamma_uniform_nc_iid_J_16,9,"[2, 0, 2, 2, 3, 0, 1, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0, 3, 1, 0, 1, 1, 2, 0, 0, 3, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 2, 2, 1, 0, 1, 0, 1, 1, 2, 1, 2, 0, 3, 0, 1, 0, 2, 1, 0, 0, 2, 0, 0, 1, 1, 1, 1, 1, 0, 3, 0, 1, 1, 2, 3, 3, 3, 2, 0, 0, 1, 0, 0, 2, 0, 1, 1, 0, 1, 0]",2.9185,0.2333,2.9105,0.2345,-1.0000,-1.0000
gamma_uniform_nc_iid_J_16,10,"[2, 1, 3, 2, 3, 0, 1, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 1, 0, 3, 2, 0, 1, 1, 2, 0, 0, 3, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 0, 1, 0, 1, 1, 2, 1, 2, 0, 3, 0, 1, 0, 2, 2, 0, 0, 2, 0, 0, 1, 2, 1, 1, 1, 0, 3, 0, 2, 1, 2, 3, 3, 3, 2, 0, 1, 1, 0, 0, 2, 0, 1, 1, 0, 1, 0]",2.8875,0.2396,2.8794,0.2411,2.8844,0.2409
