name,round,sel_counts,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
split_by_role_gamma_uniform_nc_1_J_16,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",4.1972,0.0942,4.1957,0.0967,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_16,2,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0]",3.2309,0.1870,3.2217,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_16,3,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 0, 0, 0]",3.1304,0.1870,3.1221,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_16,4,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 1, 0, 1]",3.0917,0.1870,3.0831,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_16,5,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 0, 1]",3.0584,0.1870,3.0504,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_16,6,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 1, 2, 1, 1, 0, 2]",3.0214,0.1871,3.0131,0.1871,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_16,7,"[0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, 0, 1, 1, 0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 2, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 2, 1, 1, 2, 1, 2, 0, 2]",2.9925,0.2002,2.9833,0.2006,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_16,8,"[1, 2, 0, 0, 0, 1, 1, 1, 1, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, 0, 1, 1, 0, 2, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 2, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 1, 2, 1, 0, 1, 2, 0, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 2, 1, 1, 2, 1, 3, 1, 2]",2.9611,0.2244,2.9523,0.2243,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_16,9,"[1, 2, 0, 1, 0, 1, 1, 1, 1, 0, 1, 2, 0, 1, 0, 1, 1, 2, 0, 2, 0, 1, 1, 1, 2, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 3, 1, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 1, 2, 1, 0, 1, 3, 0, 0, 1, 2, 0, 1, 0, 2, 1, 1, 1, 1, 0, 0, 0, 2, 1, 1, 2, 1, 3, 1, 2]",2.9293,0.2435,2.9189,0.2446,-1.0000,-1.0000
split_by_role_gamma_uniform_nc_1_J_16,10,"[1, 2, 0, 1, 0, 1, 2, 1, 1, 0, 1, 2, 0, 2, 0, 1, 1, 2, 0, 2, 0, 1, 1, 1, 3, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 3, 2, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 1, 2, 1, 0, 1, 3, 0, 0, 2, 3, 0, 1, 0, 2, 1, 2, 1, 1, 0, 0, 0, 3, 1, 2, 2, 2, 3, 1, 2]",2.8989,0.2454,2.8892,0.2459,2.8952,0.2463
